Sector,UK Share of Global Exports,Comparative Advantage
Financial Services,0.163,Yes
Business Services,0.103,Yes
Aerospace & Other Transport,0.090,Yes
IP Recreation & Media,0.073,Yes
Digital Services,0.047,Yes
Public Services,0.045,Yes
Life Sciences,0.042,Yes
Construction,0.040,Yes
Travel Services,0.037,Yes
Private Services (NIE),0.033,Yes
Automotive,0.032,No
Transport Services,0.028,No
Consumer Goods (NIE),0.027,No
Chemicals,0.024,No
Food & Beverages,0.022,No
Machinery & Equipment,0.021,No
Mining & Metals,0.020,No
Oil & Gas,0.019,No
Manufactured Materials,0.019,No
Power & Heat,0.018,No
Clothing & Footwear,0.017,No
Advanced Manufacturing,0.013,No
Agriculture,0.010,No
