Country,Year,GDP per Capita
Norway,2023,80000.0
Norway,2024,80800.0
Norway,2025,81608.0
Norway,2026,82424.08000000002
Norway,2027,83248.3208
Norway,2028,84080.804008
Norway,2029,84921.61204808002
Norway,2030,85770.82816856081
Norway,2031,86628.53645024642
Norway,2032,87494.82181474887
Norway,2033,88369.77003289637
Norway,2034,89253.46773322532
Norway,2035,90146.00241055759
Norway,2036,91047.46243466316
Norway,2037,91957.93705900981
Norway,2038,92877.5164295999
Norway,2039,93806.2915938959
Norway,2040,94744.35450983485
Norway,2041,95691.7980549332
Norway,2042,96648.71603548253
Norway,2043,97615.20319583737
Norway,2044,98591.35522779575
Norway,2045,99577.26878007369
Norway,2046,100573.04146787443
Norway,2047,101578.77188255318
Norway,2048,102594.5596013787
Norway,2049,103620.5051973925
Norway,2050,104656.71024936643
Norway,2051,105703.27735186009
Norway,2052,106760.31012537869
Norway,2053,107827.91322663249
Norway,2054,108906.19235889881
Norway,2055,109995.25428248779
Norway,2056,111095.20682531266
Norway,2057,112206.1588935658
Norway,2058,113328.22048250145
Norway,2059,114461.50268732647
Norway,2060,115606.11771419975
Norway,2061,116762.17889134174
Norway,2062,117929.80068025515
Norway,2063,119109.0986870577
Norway,2064,120300.1896739283
Norway,2065,121503.19157066758
Norway,2066,122718.22348637425
Norway,2067,123945.405721238
Norway,2068,125184.85977845037
Norway,2069,126436.70837623488
Norway,2070,127701.07545999723
Norway,2071,128978.0862145972
Norway,2072,130267.86707674318
Norway,2073,131570.54574751062
Norway,2074,132886.25120498572
Norway,2075,134215.11371703557
Norway,2076,135557.26485420592
Norway,2077,136912.83750274798
Norway,2078,138281.96587777548
Norway,2079,139664.78553655322
Norway,2080,141061.43339191875
Norway,2081,142472.04772583797
Norway,2082,143896.76820309632
Norway,2083,145335.7358851273
Norway,2084,146789.09324397857
Norway,2085,148256.98417641837
Norway,2086,149739.55401818256
Norway,2087,151236.94955836437
Norway,2088,152749.319053948
Norway,2089,154276.8122444875
Norway,2090,155819.58036693238
US,2023,70000.0
US,2024,71400.0
US,2025,72828.0
US,2026,74284.56000000001
US,2027,75770.2512
US,2028,77285.656224
US,2029,78831.36934848
US,2030,80407.9967354496
US,2031,82016.1566701586
US,2032,83656.47980356177
US,2033,85329.60939963302
US,2034,87036.20158762568
US,2035,88776.92561937819
US,2036,90552.46413176575
US,2037,92363.51341440107
US,2038,94210.78368268909
US,2039,96094.99935634287
US,2040,98016.89934346973
US,2041,99977.23733033914
US,2042,101976.78207694592
US,2043,104016.31771848485
US,2044,106096.64407285453
US,2045,108218.57695431163
US,2046,110382.94849339787
US,2047,112590.60746326583
US,2048,114842.41961253114
US,2049,117139.26800478177
US,2050,119482.05336487741
US,2051,121871.69443217496
US,2052,124309.12832081846
US,2053,126795.31088723484
US,2054,129331.21710497953
US,2055,131917.84144707912
US,2056,134556.1982760207
US,2057,137247.32224154111
US,2058,139992.26868637194
US,2059,142792.11406009938
US,2060,145647.95634130138
US,2061,148560.9154681274
US,2062,151532.13377748994
US,2063,154562.77645303975
US,2064,157654.03198210057
US,2065,160807.11262174256
US,2066,164023.25487417745
