Percentage of businesses investing in the following innovation activities in 2016-2018 to 2020-2022,2016-2018,2018-2020,2020-2022
Computer software,13.6,23.9,17.7
Computer hardware,7.8,23.2,17.2
Internal R&D,14.5,16.0,13.8
Machinery and equipment,7.5,15.7,13.0
Any form of design activity,10.2,13.8,11.5
Training for innovative activities,10.8,13.7,10.4
Acquisition of external R&D,4.5,5.3,4.8
Launch advertising,1.7,6.1,4.7
Changes to marketing methods,1.6,6.1,4.1
Changes to product or service design,2.1,5.7,4.0
Acquisition of existing knowledge,2.7,4.3,3.2
Market research,1.2,3.3,2.7
