"Figure 6: The rate of net job creation was lower in 2024 than a year earlier",""
"Net job creation rate and gross job creation and destruction rates by business dynamics, whole economy, UK, 2001 to 2024",""
"",""
"Notes","1. The job creation and job destruction rates are calculated as the ratio of jobs created or destroyed in period T over total employment in period T minus 1."
"Unit","%"
"",""
"Year","Entering businesses","Incumbent growing","Incumbent shrinking","Exiting businesses","Net job creation rate"
"2001","4.67","11.56","-9.72","-4.75","1.76"
"","undefined","undefined","undefined","undefined","undefined"
"2002","3.08","9.93","-8.89","-3.84","0.28"
"","undefined","undefined","undefined","undefined","undefined"
"2003","5.92","7.89","-7.66","-4.41","1.74"
"","undefined","undefined","undefined","undefined","undefined"
"2004","4.18","10.05","-8.65","-4.02","1.56"
"","undefined","undefined","undefined","undefined","undefined"
"2005","4.01","8.95","-7.28","-5.01","0.67"
"","undefined","undefined","undefined","undefined","undefined"
"2006","3.76","7.91","-7.90","-3.69","0.08"
"","undefined","undefined","undefined","undefined","undefined"
"2007","3.95","7.89","-7.16","-3.21","1.47"
"","undefined","undefined","undefined","undefined","undefined"
"2008","3.37","7.38","-7.17","-3.58","0.00"
"","undefined","undefined","undefined","undefined","undefined"
"2009","2.90","7.37","-6.81","-3.54","-0.08"
"","undefined","undefined","undefined","undefined","undefined"
"2010","3.52","6.61","-8.07","-3.67","-1.61"
"","undefined","undefined","undefined","undefined","undefined"
"2011","3.28","6.48","-6.00","-3.79","-0.03"
"","undefined","undefined","undefined","undefined","undefined"
"2012","3.59","8.12","-7.37","-2.77","1.57"
"","undefined","undefined","undefined","undefined","undefined"
"2013","4.33","7.08","-6.74","-3.13","1.54"
"","undefined","undefined","undefined","undefined","undefined"
"2014","3.92","6.64","-5.74","-3.06","1.76"
"","undefined","undefined","undefined","undefined","undefined"
"2015","4.51","6.79","-6.37","-2.64","2.29"
"","undefined","undefined","undefined","undefined","undefined"
"2016","4.47","7.03","-6.34","-3.04","2.12"
"","undefined","undefined","undefined","undefined","undefined"
"2017","4.56","6.73","-6.28","-3.06","1.95"
"","undefined","undefined","undefined","undefined","undefined"
"2018","4.58","7.10","-7.29","-3.19","1.20"
"","undefined","undefined","undefined","undefined","undefined"
"2019","4.22","6.65","-6.50","-3.31","1.06"
"","undefined","undefined","undefined","undefined","undefined"
"2020","3.43","5.98","-6.24","-3.38","-0.21"
"","undefined","undefined","undefined","undefined","undefined"
"2021","3.49","5.54","-6.41","-2.96","-0.34"
"","undefined","undefined","undefined","undefined","undefined"
"2022","3.75","7.42","-6.49","-2.98","1.70"
"","undefined","undefined","undefined","undefined","undefined"
"2023","3.12","7.97","-6.08","-3.39","1.62"
"","undefined","undefined","undefined","undefined","undefined"
"2024","3.08","7.47","-5.74","-3.46","1.35"
