"Date","Monthly amounts outstanding of monetary financial institutions' sterling loans to (excluding commercial paper) private non-financial corporations (in sterling millions) not seasonally adjusted              [a] [b] [c] [d] [e] [f] [g] [h] [i] [j]             LPMB6NP"
"31 Jan 26","478163"
"31 Dec 25","473077"
"30 Nov 25","471712"
"31 Oct 25","466252"
"30 Sep 25","465239"
"31 Aug 25","463689"
"31 Jul 25","457370"
"30 Jun 25","452774"
"31 May 25","450175"
"30 Apr 25","447251"
"31 Mar 25","444219"
"28 Feb 25","443391"
"31 Jan 25","443346"
"31 Dec 24","439947"
"30 Nov 24","438758"
"31 Oct 24","437141"
"30 Sep 24","434496"
"31 Aug 24","434060"
"31 Jul 24","430743"
"30 Jun 24","428311"
"31 May 24","428555"
"30 Apr 24","427332"
"31 Mar 24","427789"
"29 Feb 24","426017"
"31 Jan 24","426620"
"31 Dec 23","425762"
"30 Nov 23","426759"
"31 Oct 23","425886"
"30 Sep 23","427628"
"31 Aug 23","427853"
"31 Jul 23","427452"
"30 Jun 23","424866"
"31 May 23","427703"
"30 Apr 23","428504"
"31 Mar 23","427025"
"28 Feb 23","427280"
"31 Jan 23","426307"
"31 Dec 22","427986"
"30 Nov 22","427810"
"31 Oct 22","428397"
"30 Sep 22","428841"
"31 Aug 22","429738"
"31 Jul 22","429276"
"30 Jun 22","427316"
"31 May 22","429537"
"30 Apr 22","430139"
"31 Mar 22","429385"
"28 Feb 22","429135"
"31 Jan 22","427764"
"31 Dec 21","425183"
"30 Nov 21","425234"
"31 Oct 21","427255"
"30 Sep 21","423174"
"31 Aug 21","426822"
"31 Jul 21","428059"
"30 Jun 21","429238"
"31 May 21","424199"
"30 Apr 21","425439"
"31 Mar 21","430043"
"28 Feb 21","429310"
"31 Jan 21","426706"
"31 Dec 20","426222"
"30 Nov 20","429158"
"31 Oct 20","427339"
"30 Sep 20","429307"
"31 Aug 20","432234"
"31 Jul 20","432645"
"30 Jun 20","432503"
"31 May 20","432035"
"30 Apr 20","419128"
"31 Mar 20","419193"
"29 Feb 20","391650"
"31 Jan 20","391925"
"31 Dec 19","390873"
"30 Nov 19","395310"
"31 Oct 19","394285"
"30 Sep 19","392141"
"31 Aug 19","390795"
"31 Jul 19","387727"
"30 Jun 19","388574"
"31 May 19","385645"
"30 Apr 19","384153"
"31 Mar 19","387415"
"28 Feb 19","386598"
"31 Jan 19","385271"
"31 Dec 18","381879"
"30 Nov 18","382774"
"31 Oct 18","379032"
"30 Sep 18","378851"
"31 Aug 18","377971"
"31 Jul 18","376696"
"30 Jun 18","374861"
"31 May 18","372569"
"30 Apr 18","372495"
"31 Mar 18","338373"
"28 Feb 18","338347"
"31 Jan 18","335272"
"31 Dec 17","334597"
"30 Nov 17","335331"
"31 Oct 17","335306"
"30 Sep 17","336051"
"31 Aug 17","328954"
"31 Jul 17","329534"
"30 Jun 17","361161"
"31 May 17","361319"
"30 Apr 17","359611"
"31 Mar 17","358351"
"28 Feb 17","355601"
"31 Jan 17","353423"
"31 Dec 16","350740"
"30 Nov 16","353095"
"31 Oct 16","354015"
"30 Sep 16","353309"
"31 Aug 16","354990"
"31 Jul 16","354554"
"30 Jun 16","351220"
"31 May 16","350455"
"30 Apr 16","349775"
"31 Mar 16","350762"
"29 Feb 16","352553"
"31 Jan 16","349768"
"31 Dec 15","343600"
"30 Nov 15","346269"
"31 Oct 15","346214"
"30 Sep 15","344226"
"31 Aug 15","345033"
"31 Jul 15","344495"
"30 Jun 15","341678"
"31 May 15","348440"
"30 Apr 15","348565"
"31 Mar 15","352414"
"28 Feb 15","351584"
"31 Jan 15","350423"
"31 Dec 14","349210"
"30 Nov 14","354827"
"31 Oct 14","356488"
"30 Sep 14","358372"
"31 Aug 14","361509"
"31 Jul 14","360485"
"30 Jun 14","359903"
"31 May 14","361334"
"30 Apr 14","360586"
"31 Mar 14","362476"
"28 Feb 14","368613"
"31 Jan 14","368159"
"31 Dec 13","368946"
"30 Nov 13","370969"
"31 Oct 13","369599"
"30 Sep 13","369861"
"31 Aug 13","369616"
"31 Jul 13","372357"
"30 Jun 13","372933"
"31 May 13","375083"
"30 Apr 13","376352"
"31 Mar 13","384849"
"28 Feb 13","386028"
"31 Jan 13","388631"
