Time Period,Asset Type,Value
1997-01-01,GFCF,50
1997-04-01,GFCF,51
1997-07-01,GFCF,54
1997-10-01,GFCF,56
1998-01-01,GFCF,56
1998-04-01,GFCF,56
1998-07-01,GFCF,56
1998-10-01,GFCF,57
1999-01-01,GFCF,57
1999-04-01,GFCF,57
1999-07-01,GFCF,58
1999-10-01,GFCF,57
2000-01-01,GFCF,60
2000-04-01,GFCF,63
2000-07-01,GFCF,59
2000-10-01,GFCF,61
2001-01-01,GFCF,61
2001-04-01,GFCF,63
2001-07-01,GFCF,63
2001-10-01,GFCF,61
2002-01-01,GFCF,61
2002-04-01,GFCF,61
2002-07-01,GFCF,64
2002-10-01,GFCF,67
2003-01-01,GFCF,67
2003-04-01,GFCF,63
2003-07-01,GFCF,64
2003-10-01,GFCF,64
2004-01-01,GFCF,66
2004-04-01,GFCF,65
2004-07-01,GFCF,67
2004-10-01,GFCF,67
2005-01-01,GFCF,69
2005-04-01,GFCF,72
2005-07-01,GFCF,72
2005-10-01,GFCF,73
2006-01-01,GFCF,73
2006-04-01,GFCF,72
2006-07-01,GFCF,74
2006-10-01,GFCF,73
2007-01-01,GFCF,75
2007-04-01,GFCF,78
2007-07-01,GFCF,75
2007-10-01,GFCF,81
2008-01-01,GFCF,77
2008-04-01,GFCF,78
2008-07-01,GFCF,74
2008-10-01,GFCF,73
2009-01-01,GFCF,69
2009-04-01,GFCF,66
2009-07-01,GFCF,67
2009-10-01,GFCF,66
2010-01-01,GFCF,68
2010-04-01,GFCF,67
2010-07-01,GFCF,69
2010-10-01,GFCF,70
2011-01-01,GFCF,68
2011-04-01,GFCF,67
2011-07-01,GFCF,69
2011-10-01,GFCF,69
2012-01-01,GFCF,70
2012-04-01,GFCF,68
2012-07-01,GFCF,68
2012-10-01,GFCF,71
2013-01-01,GFCF,70
2013-04-01,GFCF,72
2013-07-01,GFCF,74
2013-10-01,GFCF,74
2014-01-01,GFCF,76
2014-04-01,GFCF,77
2014-07-01,GFCF,78
2014-10-01,GFCF,80
2015-01-01,GFCF,83
2015-04-01,GFCF,83
2015-07-01,GFCF,82
2015-10-01,GFCF,84
2016-01-01,GFCF,86
