Time Period,Asset Type,Value
1997-01-01,Transport equipment,3547
1997-04-01,Transport equipment,3730
1997-07-01,Transport equipment,3954
1997-10-01,Transport equipment,3838
1998-01-01,Transport equipment,4489
1998-04-01,Transport equipment,3991
1998-07-01,Transport equipment,3911
1998-10-01,Transport equipment,4386
1999-01-01,Transport equipment,4471
1999-04-01,Transport equipment,3987
1999-07-01,Transport equipment,4283
1999-10-01,Transport equipment,4479
2000-01-01,Transport equipment,3864
2000-04-01,Transport equipment,3846
2000-07-01,Transport equipment,3616
2000-10-01,Transport equipment,4283
2001-01-01,Transport equipment,3890
2001-04-01,Transport equipment,5290
2001-07-01,Transport equipment,4784
2001-10-01,Transport equipment,4222
2002-01-01,Transport equipment,4350
2002-04-01,Transport equipment,5003
2002-07-01,Transport equipment,4908
2002-10-01,Transport equipment,5000
2003-01-01,Transport equipment,4755
2003-04-01,Transport equipment,4031
2003-07-01,Transport equipment,4697
2003-10-01,Transport equipment,4397
2004-01-01,Transport equipment,4317
2004-04-01,Transport equipment,4243
2004-07-01,Transport equipment,4248
2004-10-01,Transport equipment,4106
2005-01-01,Transport equipment,3887
2005-04-01,Transport equipment,4410
2005-07-01,Transport equipment,4210
2005-10-01,Transport equipment,4382
2006-01-01,Transport equipment,4957
2006-04-01,Transport equipment,4310
2006-07-01,Transport equipment,5309
2006-10-01,Transport equipment,5305
2007-01-01,Transport equipment,5386
2007-04-01,Transport equipment,5285
2007-07-01,Transport equipment,5030
2007-10-01,Transport equipment,4854
2008-01-01,Transport equipment,4410
2008-04-01,Transport equipment,5747
2008-07-01,Transport equipment,4624
2008-10-01,Transport equipment,4810
2009-01-01,Transport equipment,4369
2009-04-01,Transport equipment,4902
2009-07-01,Transport equipment,4445
2009-10-01,Transport equipment,3903
2010-01-01,Transport equipment,4597
2010-04-01,Transport equipment,4137
2010-07-01,Transport equipment,4720
2010-10-01,Transport equipment,7281
2011-01-01,Transport equipment,3646
2011-04-01,Transport equipment,4352
2011-07-01,Transport equipment,3532
2011-10-01,Transport equipment,5117
2012-01-01,Transport equipment,8952
2012-04-01,Transport equipment,3079
2012-07-01,Transport equipment,1122
2012-10-01,Transport equipment,3456
2013-01-01,Transport equipment,2625
2013-04-01,Transport equipment,3250
2013-07-01,Transport equipment,4652
2013-10-01,Transport equipment,4504
2014-01-01,Transport equipment,4905
2014-04-01,Transport equipment,5309
2014-07-01,Transport equipment,4908
2014-10-01,Transport equipment,5350
2015-01-01,Transport equipment,9465
2015-04-01,Transport equipment,5311
2015-07-01,Transport equipment,5099
2015-10-01,Transport equipment,6420
2016-01-01,Transport equipment,8439
2016-04-01,Transport equipment,7792
2016-07-01,Transport equipment,8671
2016-10-01,Transport equipment,5876
2017-01-01,Transport equipment,6881
2017-04-01,Transport equipment,8040
2017-07-01,Transport equipment,7419
2017-10-01,Transport equipment,7967
2018-01-01,Transport equipment,5736
2018-04-01,Transport equipment,3661
2018-07-01,Transport equipment,6205
2018-10-01,Transport equipment,6403
2019-01-01,Transport equipment,5745
2019-04-01,Transport equipment,6380
2019-07-01,Transport equipment,5913
2019-10-01,Transport equipment,4944
2020-01-01,Transport equipment,5622
2020-04-01,Transport equipment,2450
2020-07-01,Transport equipment,6106
2020-10-01,Transport equipment,6427
2021-01-01,Transport equipment,3901
2021-04-01,Transport equipment,3785
2021-07-01,Transport equipment,4456
2021-10-01,Transport equipment,5273
2022-01-01,Transport equipment,4299
2022-04-01,Transport equipment,6737
