country,iso3,gfcf_pct_gdp,year
Turkiye,TUR,31.3157272627937,2024
"Korea, Rep.",KOR,30.029371211707,2024
Iceland,ISL,26.6450896088268,2024
Czechia,CZE,26.4879424582154,2024
Japan,JPN,26.0840902660166,2024
Sweden,SWE,25.0968871804526,2024
Switzerland,CHE,25.0546188527537,2024
Belgium,BEL,24.2476765830721,2024
Mexico,MEX,24.1240412731899,2024
Australia,AUS,24.0919767539482,2024
Estonia,EST,23.8965498272625,2024
Austria,AUT,23.5479112127244,2024
Chile,CHL,23.4893507192449,2024
Denmark,DNK,23.3320384051141,2024
New Zealand,NZL,23.2066715516941,2024
Hungary,HUN,23.0580056906236,2024
Israel,ISR,22.690494387869,2024
Canada,CAN,22.5959576167528,2024
Lithuania,LTU,22.5009606900955,2024
Latvia,LVA,22.4062700990842,2024
Italy,ITA,22.1523278072561,2024
France,FRA,22.096846539157,2024
Finland,FIN,21.9949775875751,2024
Norway,NOR,21.9878128147487,2024
United States,USA,21.6987566313724,2024
Slovenia,SVN,20.9214124483696,2024
Germany,DEU,20.4603173503166,2024
Portugal,PRT,20.4404295779662,2024
Slovak Republic,SVK,20.4183967254733,2024
Spain,ESP,20.2878325064447,2024
Netherlands,NLD,19.849010075201,2024
United Kingdom,GBR,18.6678876534931,2024
Ireland,IRL,17.3480143254281,2024
Poland,POL,17.0407167835613,2024
Colombia,COL,16.5945382423245,2024
Greece,GRC,16.0395231559948,2024
Costa Rica,CRI,15.8255239777781,2024
Luxembourg,LUX,15.375144986765,2024
