"Decade","Top_pt1_Share","Source"
1890,0.141386734987523,"Observed"
1900,0.106311812009703,"Observed"
1910,0.163352682334283,"Observed"
1920,0.177935083010215,"True"
1930,0.219010812179052,"True"
1940,0.0897991468241887,"True"
1950,0.160995941299331,"True"
1960,0.151241627140939,"True"
1970,0.196828582734215,"True"
1980,0.0955007583294807,"True"
1990,0.0740970674332454,"True"
1920,0.1855703303109,"Observed"
1930,0.228455879413178,"Observed"
1940,0.094882957476024,"Observed"
1950,0.0465996812647987,"Observed"
1960,0.0430805755646439,"Observed"
1970,0.0576608789986481,"Observed"
1980,0.0544506079024013,"Observed"
1990,0.0418923770227855,"Observed"
