year,share
1900,71.56
1901,70.88
1902,71.75
1903,71.03
1904,71.83
1905,72.51
1906,70.41000000000001
1907,69.94
1908,69.64
1909,70.25
1910,68.47000000000001
1911,68.89
1912,69.43
1913,67.63
1914,69.83
1919,62.38
1920,59.330000000000005
1921,60.8
1922,61.85000000000001
1923,59.620000000000005
1924,59.71000000000001
1925,59.160000000000004
1926,57.95
1927,59.77
1928,57.70000000000001
1929,58.040000000000006
1930,57.58
1931,55.580000000000005
1932,55.50000000000001
1933,56.50000000000001
1934,55.88000000000001
1935,56.09
1936,56.96
1937,55.75
1938,55.400000000000006
1939,53.6
1940,53.54
1941,52.5
1946,49.74
1947,48.26
1948,47.69
1949,46.79
1950,45.11
1951,44.24
1952,41.29
1953,42.449999999999996
1954,44.95
1955,41.05
1956,41.28
1957,39.08
1958,37.96
1959,39.33
1960,38.62
1961,37.59
1962,36.3
1963,36.559999999999995
1964,36.19
1965,35.02
1966,33.03
1967,33.75
1968,34.150000000000006
1969,31.230000000000004
1970,30.73
1971,30.490000000000002
1972,30.97
1973,28.33
1974,26.779999999999998
1975,25.380000000000003
1976,26.040000000000003
1977,23.77
1978,24.32
1979,20.849999999999998
1980,21.14
1981,20.380000000000003
1982,19.86
1983,20.13
1984,17.8
1985,18.55
1986,18.77
1987,19.21
1988,18.01
1989,19.23
1990,18.73
1991,18.34
1992,19.6
1993,20.3
1994,20.24
1995,18.56
1996,18.98
1997,20.75
1998,21.18
1999,20.45
2000,20.369999999999997
2001,20.43
2002,19.98
2003,18.75
2004,19.31
2005,20.23
2006,20.52
2007,20.560000000000002
2008,20.23
2009,20.09
2010,20.04
2011,20.26
2012,20.73
2013,22.63
2014,22.59
2015,21.38
2016,21.279999999999998
2017,21.23
2018,21.33
2019,21.09
2020,20.9
2021,21.15
2022,21.15
2023,21.26
2024,21.3
