date,id,value
2009-09-01,E06000015,1780
2009-09-01,E10000007,4680
2009-09-01,E06000016,1220
2009-09-01,E10000018,2840
2009-09-01,E10000019,3910
2009-09-01,E10000021,3600
2009-09-01,E06000018,1700
2009-09-01,E10000024,4760
2009-09-01,E06000017,140
2009-09-01,E06000055,510
2009-09-01,E10000003,2110
2009-09-01,E06000056,1030
2009-09-01,E10000012,6410
2009-09-01,E10000015,3320
2009-09-01,E06000032,660
2009-09-01,E10000020,3890
2009-09-01,E06000031,800
2009-09-01,E06000033,640
2009-09-01,E10000029,3710
2009-09-01,E06000034,670
2009-09-01,E09000002,730
2009-09-01,E09000003,520
2009-09-01,E09000004,980
2009-09-01,E09000005,560
2009-09-01,E09000006,970
2009-09-01,E09000007,370
2009-09-01,E09000001,10
2009-09-01,E09000008,1240
2009-09-01,E09000009,740
2009-09-01,E09000010,710
2009-09-01,E09000011,810
2009-09-01,E09000012,460
2009-09-01,E09000013,340
2009-09-01,E09000014,510
2009-09-01,E09000015,420
2009-09-01,E09000016,940
2009-09-01,E09000017,1020
2009-09-01,E09000018,720
2009-09-01,E09000019,410
2009-09-01,E09000020,150
2009-09-01,E09000021,300
2009-09-01,E09000022,640
2009-09-01,E09000023,820
2009-09-01,E09000024,430
2009-09-01,E09000025,800
2009-09-01,E09000026,610
2009-09-01,E09000027,270
2009-09-01,E09000028,680
2009-09-01,E09000029,710
2009-09-01,E09000030,780
2009-09-01,E09000031,850
2009-09-01,E09000032,440
2009-09-01,E09000033,410
2009-09-01,E06000047,3310
2009-09-01,E06000005,690
2009-09-01,E08000037,1420
2009-09-01,E06000001,670
2009-09-01,E06000002,1020
2009-09-01,E08000021,1650
2009-09-01,E08000022,1550
2009-09-01,E06000057,2230
2009-09-01,E06000003,970
2009-09-01,E08000023,1260
2009-09-01,E06000004,1270
2009-09-01,E08000024,2480
2009-09-01,E06000008,950
2009-09-01,E06000009,1300
2009-09-01,E08000001,1770
2009-09-01,E08000002,1250
2009-09-01,E06000049,1860
2009-09-01,E06000050,1790
2009-09-01,E10000006,3350
2009-09-01,E06000006,1070
2009-09-01,E08000011,1430
2009-09-01,E10000017,7460
2009-09-01,E08000012,3470
2009-09-01,E08000003,2580
2009-09-01,E08000004,1440
2009-09-01,E08000005,1420
2009-09-01,E08000006,1660
2009-09-01,E08000014,1970
2009-09-01,E08000013,1260
2009-09-01,E08000007,1940
2009-09-01,E08000008,1670
2009-09-01,E08000009,980
2009-09-01,E06000007,1890
2009-09-01,E08000010,2550
2009-09-01,E08000015,2210
2009-09-01,E06000036,520
2009-09-01,E06000043,830
2009-09-01,E10000002,2030
2009-09-01,E10000011,1990
2009-09-01,E10000014,9050
2009-09-01,E06000046,820
2009-09-01,E10000016,5020
2009-09-01,E06000035,1510
2009-09-01,E06000042,1120
2009-09-01,E10000025,2540
2009-09-01,E06000044,680
2009-09-01,E06000038,690
2009-09-01,E06000039,480
2009-09-01,E06000045,1050
2009-09-01,E10000030,4020
2009-09-01,E06000037,720
2009-09-01,E10000032,2950
2009-09-01,E06000040,450
2009-09-01,E06000041,2660
2009-09-01,E06000022,680
2009-09-01,E06000028,990
2009-09-01,E06000023,2100
2009-09-01,E06000052,3750
2009-09-01,E10000008,5170
2009-09-01,E10000009,4810
2009-09-01,E10000013,2820
