id,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E14000530,640.0,810.0,1100.0,1130.0,920.0,940.0,950.0,860.0,710.0,720.0,620.0,570.0,740.0,680.0,400.0
E14000531,460.0,800.0,870.0,850.0,720.0,880.0,930.0,850.0,640.0,690.0,580.0,520.0,600.0,520.0,300.0
E14000532,290.0,490.0,720.0,740.0,610.0,690.0,670.0,660.0,480.0,540.0,400.0,490.0,520.0,430.0,280.0
E14000533,600.0,890.0,1080.0,1070.0,930.0,1160.0,1140.0,1130.0,770.0,730.0,600.0,590.0,680.0,670.0,440.0
E14000534,300.0,470.0,480.0,470.0,400.0,440.0,440.0,470.0,430.0,410.0,410.0,420.0,430.0,420.0,230.0
E14000535,710.0,1270.0,1490.0,1380.0,1150.0,1460.0,1440.0,1380.0,1010.0,1010.0,690.0,760.0,850.0,730.0,430.0
E14000536,470.0,770.0,1340.0,1130.0,760.0,1000.0,940.0,920.0,690.0,810.0,650.0,680.0,790.0,770.0,430.0
E14000537,690.0,1260.0,1350.0,1140.0,1110.0,1110.0,1080.0,1130.0,860.0,850.0,680.0,630.0,750.0,670.0,370.0
E14000538,740.0,760.0,810.0,980.0,860.0,810.0,860.0,900.0,790.0,870.0,640.0,730.0,780.0,850.0,470.0
E14000539,590.0,790.0,1010.0,1010.0,760.0,890.0,890.0,870.0,740.0,810.0,690.0,720.0,810.0,760.0,480.0
E14000540,460.0,930.0,1030.0,1160.0,1090.0,1180.0,1170.0,1140.0,820.0,850.0,710.0,750.0,740.0,760.0,480.0
E14000541,750.0,1070.0,1320.0,1220.0,1100.0,1050.0,1180.0,1080.0,700.0,770.0,560.0,530.0,670.0,630.0,400.0
E14000542,830.0,1130.0,1420.0,1320.0,1210.0,1250.0,1350.0,1230.0,790.0,810.0,600.0,610.0,740.0,670.0,390.0
E14000543,780.0,1230.0,1250.0,1250.0,1250.0,1250.0,1420.0,1320.0,1160.0,990.0,870.0,900.0,960.0,990.0,830.0
E14000544,440.0,660.0,710.0,710.0,700.0,880.0,820.0,740.0,680.0,670.0,540.0,570.0,590.0,590.0,370.0
E14000545,510.0,910.0,1060.0,950.0,950.0,1020.0,950.0,940.0,800.0,890.0,780.0,720.0,830.0,750.0,460.0
E14000546,620.0,1000.0,1140.0,1220.0,1050.0,1240.0,1260.0,1230.0,800.0,780.0,730.0,710.0,770.0,740.0,450.0
E14000547,290.0,460.0,490.0,450.0,390.0,440.0,410.0,410.0,340.0,380.0,310.0,340.0,340.0,350.0,220.0
E14000548,620.0,1160.0,1240.0,1170.0,1040.0,1150.0,1210.0,1030.0,810.0,870.0,680.0,700.0,800.0,860.0,490.0
E14000549,160.0,340.0,370.0,330.0,270.0,340.0,310.0,350.0,360.0,470.0,390.0,470.0,490.0,430.0,270.0
E14000550,290.0,450.0,490.0,540.0,450.0,450.0,440.0,450.0,380.0,440.0,380.0,410.0,440.0,410.0,270.0
E14000551,270.0,400.0,450.0,470.0,390.0,380.0,430.0,400.0,390.0,450.0,380.0,380.0,410.0,410.0,240.0
E14000552,350.0,620.0,620.0,920.0,750.0,800.0,930.0,880.0,570.0,710.0,540.0,600.0,620.0,580.0,350.0
E14000553,320.0,680.0,800.0,840.0,650.0,750.0,680.0,690.0,540.0,680.0,600.0,830.0,700.0,610.0,370.0
E14000554,510.0,780.0,940.0,1010.0,840.0,820.0,820.0,770.0,490.0,570.0,420.0,370.0,410.0,370.0,260.0
E14000555,380.0,790.0,780.0,710.0,740.0,780.0,690.0,690.0,640.0,680.0,590.0,630.0,700.0,660.0,340.0
E14000556,4210.0,3540.0,3850.0,2890.0,2890.0,3170.0,2840.0,3160.0,2660.0,2630.0,2070.0,1670.0,1790.0,1360.0,690.0
E14000557,350.0,610.0,640.0,640.0,600.0,650.0,650.0,690.0,480.0,490.0,410.0,500.0,500.0,410.0,320.0
E14000558,380.0,630.0,740.0,790.0,640.0,700.0,730.0,690.0,620.0,710.0,560.0,580.0,590.0,540.0,350.0
E14000559,730.0,1310.0,1570.0,1460.0,1150.0,1300.0,1400.0,1360.0,850.0,780.0,620.0,580.0,650.0,680.0,380.0
E14000560,400.0,740.0,770.0,780.0,660.0,760.0,740.0,770.0,540.0,560.0,440.0,440.0,530.0,480.0,260.0
E14000561,650.0,1050.0,1160.0,1430.0,1190.0,1460.0,1420.0,1400.0,830.0,910.0,700.0,610.0,720.0,630.0,370.0
E14000562,440.0,830.0,820.0,830.0,770.0,970.0,910.0,960.0,570.0,700.0,470.0,480.0,550.0,580.0,300.0
E14000563,570.0,1060.0,1080.0,1180.0,1050.0,1360.0,1220.0,1320.0,720.0,870.0,610.0,560.0,670.0,660.0,330.0
E14000564,510.0,1050.0,1070.0,1070.0,970.0,1160.0,1080.0,1120.0,670.0,810.0,620.0,630.0,740.0,660.0,370.0
E14000565,640.0,1360.0,1440.0,1390.0,1130.0,1380.0,1210.0,1170.0,770.0,860.0,660.0,650.0,690.0,710.0,390.0
E14000566,560.0,1060.0,1060.0,1190.0,910.0,1180.0,1090.0,1150.0,720.0,800.0,580.0,550.0,660.0,640.0,360.0
E14000567,510.0,930.0,1000.0,990.0,870.0,1070.0,940.0,890.0,600.0,610.0,550.0,510.0,580.0,590.0,300.0
E14000568,640.0,1130.0,1270.0,1310.0,1130.0,1440.0,1320.0,1320.0,800.0,840.0,620.0,620.0,680.0,670.0,370.0
E14000569,510.0,1160.0,1370.0,1240.0,1070.0,1210.0,1530.0,1270.0,870.0,880.0,680.0,630.0,800.0,700.0,450.0
E14000570,670.0,1060.0,1290.0,1310.0,1240.0,1170.0,1220.0,1280.0,850.0,970.0,710.0,670.0,830.0,720.0,470.0
E14000571,680.0,1170.0,1290.0,1260.0,1080.0,1220.0,1210.0,1120.0,940.0,890.0,690.0,570.0,640.0,610.0,320.0
E14000572,680.0,990.0,1060.0,1060.0,810.0,1000.0,1060.0,1040.0,700.0,720.0,560.0,620.0,600.0,600.0,310.0
E14000573,770.0,1070.0,1140.0,1200.0,950.0,1150.0,1280.0,1180.0,800.0,760.0,570.0,580.0,650.0,620.0,320.0
E14000574,590.0,1180.0,1210.0,1120.0,1000.0,1160.0,1240.0,1060.0,750.0,740.0,560.0,530.0,610.0,610.0,430.0
E14000575,660.0,1320.0,1400.0,1370.0,1210.0,1250.0,1300.0,1180.0,880.0,870.0,740.0,640.0,750.0,710.0,440.0
E14000576,460.0,850.0,910.0,980.0,860.0,990.0,1090.0,1020.0,660.0,740.0,600.0,570.0,600.0,580.0,330.0
E14000577,590.0,1030.0,1220.0,1340.0,1110.0,1380.0,1410.0,1440.0,910.0,940.0,720.0,660.0,820.0,770.0,410.0
E14000578,660.0,1000.0,1130.0,1150.0,930.0,1090.0,1050.0,960.0,660.0,690.0,550.0,530.0,630.0,610.0,370.0
E14000579,640.0,1030.0,1270.0,1220.0,1040.0,1190.0,1280.0,1100.0,740.0,840.0,640.0,560.0,600.0,640.0,400.0
E14000580,610.0,990.0,1090.0,1060.0,930.0,1100.0,1080.0,1090.0,820.0,860.0,620.0,680.0,770.0,700.0,420.0
E14000581,930.0,1510.0,1780.0,1760.0,1260.0,1410.0,1390.0,1490.0,910.0,910.0,750.0,630.0,670.0,650.0,320.0
E14000582,510.0,880.0,910.0,950.0,780.0,930.0,880.0,870.0,610.0,700.0,470.0,470.0,540.0,590.0,310.0
E14000583,390.0,1080.0,990.0,1030.0,820.0,1050.0,970.0,1040.0,780.0,860.0,660.0,650.0,720.0,680.0,460.0
E14000584,530.0,920.0,940.0,1080.0,920.0,1060.0,950.0,940.0,720.0,680.0,550.0,590.0,640.0,620.0,350.0
E14000585,550.0,820.0,870.0,1100.0,880.0,970.0,930.0,930.0,700.0,680.0,540.0,540.0,650.0,610.0,420.0
E14000586,510.0,800.0,840.0,950.0,750.0,850.0,800.0,830.0,660.0,730.0,560.0,570.0,690.0,650.0,400.0
E14000587,610.0,1140.0,1140.0,1020.0,920.0,990.0,1170.0,1150.0,710.0,840.0,650.0,670.0,700.0,740.0,490.0
E14000588,670.0,1120.0,1240.0,1340.0,1120.0,1160.0,1370.0,1310.0,870.0,960.0,720.0,690.0,760.0,730.0,480.0
E14000589,490.0,820.0,890.0,800.0,750.0,760.0,950.0,870.0,580.0,790.0,530.0,570.0,580.0,630.0,380.0
E14000590,410.0,820.0,850.0,980.0,790.0,880.0,940.0,920.0,620.0,690.0,540.0,570.0,590.0,590.0,370.0
E14000591,280.0,690.0,840.0,750.0,650.0,900.0,880.0,840.0,580.0,650.0,530.0,490.0,580.0,590.0,330.0
E14000592,230.0,630.0,710.0,590.0,550.0,780.0,790.0,630.0,510.0,590.0,440.0,490.0,530.0,520.0,330.0
E14000593,270.0,540.0,620.0,530.0,480.0,580.0,560.0,510.0,530.0,580.0,520.0,510.0,490.0,520.0,290.0
E14000594,360.0,520.0,600.0,590.0,530.0,610.0,600.0,590.0,550.0,570.0,490.0,530.0,560.0,540.0,370.0
E14000595,620.0,1030.0,1140.0,1060.0,810.0,1090.0,1120.0,1150.0,770.0,960.0,810.0,750.0,790.0,830.0,560.0
E14000596,460.0,810.0,950.0,1020.0,830.0,940.0,960.0,960.0,700.0,740.0,510.0,570.0,650.0,580.0,370.0
E14000597,350.0,640.0,710.0,760.0,600.0,550.0,710.0,640.0,490.0,520.0,420.0,460.0,430.0,430.0,250.0
E14000598,240.0,520.0,540.0,520.0,410.0,400.0,520.0,450.0,410.0,380.0,360.0,410.0,390.0,380.0,230.0
E14000599,590.0,1050.0,1100.0,1040.0,880.0,930.0,940.0,870.0,770.0,710.0,680.0,670.0,680.0,660.0,400.0
