Year,Total GFCF,Private GFCF,Public GFCF
1960,17.3%,10.6%,6.6%
1961,18.3%,11.4%,6.9%
1962,17.9%,10.9%,7.0%
1963,18.1%,10.2%,7.9%
1964,19.5%,10.9%,8.6%
1965,19.6%,10.9%,8.7%
1966,19.5%,10.4%,9.1%
1967,20.0%,10.1%,9.9%
1968,20.9%,11.5%,9.4%
1969,20.5%,12.0%,8.5%
1970,22.0%,13.7%,8.3%
1971,22.1%,14.1%,8.0%
1972,22.0%,14.6%,7.3%
1973,22.9%,14.9%,8.0%
1974,22.9%,14.1%,8.8%
1975,20.6%,11.8%,8.8%
1976,19.8%,11.4%,8.5%
1977,19.4%,12.3%,7.1%
1978,20.0%,13.7%,6.3%
1979,20.9%,14.9%,6.0%
1980,20.1%,14.2%,5.9%
1981,18.7%,13.6%,5.2%
1982,18.7%,13.8%,4.9%
1983,18.7%,13.5%,5.2%
1984,19.7%,14.8%,5.0%
1985,19.9%,15.7%,4.3%
1986,19.9%,15.8%,4.1%
1987,21.1%,17.6%,3.5%
1988,22.9%,19.9%,3.0%
1989,24.3%,20.9%,3.5%
1990,23.4%,19.8%,3.7%
1991,21.1%,17.7%,3.4%
1992,19.5%,16.3%,3.2%
1993,18.7%,15.8%,2.9%
1994,18.3%,15.4%,2.9%
1995,18.1%,15.2%,2.8%
1996,18.6%,16.2%,2.4%
1997,17.2%,14.9%,2.3%
1998,17.5%,15.2%,2.3%
1999,17.5%,15.2%,2.2%
2000,17.8%,15.6%,2.2%
2001,17.7%,15.2%,2.6%
2002,17.7%,14.9%,2.8%
2003,17.5%,14.3%,3.2%
2004,17.4%,14.0%,3.5%
2005,17.5%,14.1%,3.4%
2006,17.8%,14.5%,3.3%
2007,18.1%,15.0%,3.1%
2008,17.5%,13.6%,4.0%
2009,16.0%,11.4%,4.6%
2010,16.0%,11.6%,4.4%
2011,15.6%,11.6%,4.0%
2012,15.6%,12.1%,3.5%
2013,15.9%,12.6%,3.3%
2014,16.5%,12.9%,3.6%
2015,17.3%,13.9%,3.4%
2016,17.7%,14.4%,3.3%
2017,18.1%,14.6%,3.6%
2018,17.9%,14.6%,3.3%
2019,18.0%,14.8%,3.2%
2020,17.3%,13.8%,3.6%
2021,17.3%,14.0%,3.4%
2022,18.1%,14.7%,3.5%
