Date,Share of Net Trade,Share of Final Consumption,Share of Investments
1970 Q1,0.007803,-0.034045,0.026242
1970 Q2,0.008423,-0.036029,0.027606
1970 Q3,0.008201,-0.035906,0.027705
1970 Q4,0.007698,-0.037752,0.030054
1971 Q1,0.009447,-0.039040,0.029593
1971 Q2,0.010815,-0.039957,0.029141
1971 Q3,0.009494,-0.037135,0.027642
1971 Q4,0.008394,-0.036231,0.027837
1972 Q1,0.004895,-0.033488,0.028592
1972 Q2,0.002659,-0.030470,0.027810
1972 Q3,0.000837,-0.032467,0.031630
1972 Q4,0.000880,-0.036808,0.035928
1973 Q1,0.001253,-0.039559,0.038306
1973 Q2,0.002966,-0.042253,0.039287
1973 Q3,0.004542,-0.042692,0.038150
1973 Q4,0.006761,-0.039467,0.032705
1974 Q1,0.008816,-0.037180,0.028364
1974 Q2,0.010734,-0.031598,0.020864
1974 Q3,0.013782,-0.024347,0.010565
1974 Q4,0.015324,-0.017418,0.002094
1975 Q1,0.015189,-0.010162,-0.005027
1975 Q2,0.016706,-0.004040,-0.012666
1975 Q3,0.019236,-0.004705,-0.014531
1975 Q4,0.020057,-0.007065,-0.012992
1976 Q1,0.020577,-0.012368,-0.008209
1976 Q2,0.023499,-0.019816,-0.003683
1976 Q3,0.024805,-0.025890,0.001085
1976 Q4,0.025393,-0.029531,0.004138
1977 Q1,0.028611,-0.034039,0.005429
1977 Q2,0.030748,-0.038105,0.007357
1977 Q3,0.030513,-0.037736,0.007223
1977 Q4,0.030242,-0.038306,0.008064
1978 Q1,0.029954,-0.037419,0.007465
1978 Q2,0.029153,-0.039137,0.009984
1978 Q3,0.025493,-0.037780,0.012287
1978 Q4,0.026186,-0.037987,0.011801
1979 Q1,0.024856,-0.039395,0.014539
1979 Q2,0.023785,-0.041029,0.017243
1979 Q3,0.021603,-0.035924,0.014322
1979 Q4,0.023217,-0.032317,0.009100
1980 Q1,0.023274,-0.027537,0.004263
1980 Q2,0.025513,-0.019105,-0.006409
1980 Q3,0.028185,-0.010868,-0.017317
1980 Q4,0.029637,-0.007342,-0.022295
1981 Q1,0.030057,-0.005522,-0.024535
1981 Q2,0.029784,-0.005765,-0.024019
1981 Q3,0.028350,-0.008468,-0.019882
1981 Q4,0.025663,-0.012528,-0.013135
1982 Q1,0.024117,-0.013997,-0.010120
1982 Q2,0.024791,-0.013446,-0.011345
1982 Q3,0.023337,-0.014284,-0.009053
1982 Q4,0.021683,-0.015052,-0.006630
1983 Q1,0.020945,-0.014313,-0.006632
1983 Q2,0.019495,-0.018404,-0.001091
