year,value,type,type2
2000,100,index_tc_mean,Average CEO Compensation
2001,99,index_tc_mean,Average CEO Compensation
2002,111,index_tc_mean,Average CEO Compensation
2003,121,index_tc_mean,Average CEO Compensation
2004,135,index_tc_mean,Average CEO Compensation
2005,133,index_tc_mean,Average CEO Compensation
2006,185,index_tc_mean,Average CEO Compensation
2007,183,index_tc_mean,Average CEO Compensation
2008,152,index_tc_mean,Average CEO Compensation
2009,139,index_tc_mean,Average CEO Compensation
2010,141,index_tc_mean,Average CEO Compensation
2011,142,index_tc_mean,Average CEO Compensation
2012,143,index_tc_mean,Average CEO Compensation
2013,158,index_tc_mean,Average CEO Compensation
2014,161,index_tc_mean,Average CEO Compensation
2015,153,index_tc_mean,Average CEO Compensation
2016,136,index_tc_mean,Average CEO Compensation
2017,142,index_tc_mean,Average CEO Compensation
2018,139,index_tc_mean,Average CEO Compensation
2019,145,index_tc_mean,Average CEO Compensation
2020,160,index_tc_mean,Average CEO Compensation
2021,164,index_tc_mean,Average CEO Compensation
2022,154,index_tc_mean,Average CEO Compensation
2023,153,index_tc_mean,Average CEO Compensation
2000,100,index_tc_median,Median CEO Compensation
2001,97,index_tc_median,Median CEO Compensation
2002,107,index_tc_median,Median CEO Compensation
2003,110,index_tc_median,Median CEO Compensation
2004,119,index_tc_median,Median CEO Compensation
2005,112,index_tc_median,Median CEO Compensation
2006,126,index_tc_median,Median CEO Compensation
2007,148,index_tc_median,Median CEO Compensation
2008,127,index_tc_median,Median CEO Compensation
2009,121,index_tc_median,Median CEO Compensation
2010,107,index_tc_median,Median CEO Compensation
2011,111,index_tc_median,Median CEO Compensation
2012,123,index_tc_median,Median CEO Compensation
2013,134,index_tc_median,Median CEO Compensation
2014,143,index_tc_median,Median CEO Compensation
2015,132,index_tc_median,Median CEO Compensation
2016,121,index_tc_median,Median CEO Compensation
2017,119,index_tc_median,Median CEO Compensation
2018,126,index_tc_median,Median CEO Compensation
2019,124,index_tc_median,Median CEO Compensation
2020,115,index_tc_median,Median CEO Compensation
2021,144,index_tc_median,Median CEO Compensation
2022,135,index_tc_median,Median CEO Compensation
2023,144,index_tc_median,Median CEO Compensation
