"","team1","elostrength1","elo.now","Freq","Freq.l16","Freq.qf","Freq.sf","Freq.f"
"8","france",1411.49441943123,1416.1523536613,21.05,98.19,79.44,57.71,34.62
"21","spain",1389.05021892891,1396.74006971756,16.64,99.84,80.1,51.36,29.52
"13","netherlands",1367.21451117823,1372.43193512713,13.12,96.91,73.38,48.08,26.49
"3","belgium",1361.18885618161,1344.77000548732,5.92,81.1,43.45,22.52,12.01
"7","england",1357.98173278845,1363.82490711549,10.89,98.22,72.62,42.11,21.69
"15","portugal",1356.22292111809,1361.40008170392,9.19,99.52,64.81,35.27,19.38
"12","italy",1346.65831219961,1349.53794124674,8.23,94.21,64.56,34.31,17.22
"10","germany",1329.34470367553,1334.87836996739,7.86,99.74,72.61,34.37,15.74
"4","croatia",1307.31205729975,1299.6222065111,3,71.33,40.01,16.96,7.5
"6","denmark",1257.15333205748,1253.46378086862,0.99,66.4,27.39,9.65,3.57
"22","switzerland",1240.26113274547,1249.13115464999,1.12,94.93,35.88,12.35,3.82
"24","ukraine",1220.57686460547,1207.5127690022,0.26,29.29,8.6,2.87,0.73
"2","austria",1204.41822415964,1199.76028992957,0.36,36.2,15.43,4.92,1.5
"18","serbia",1204.25491646081,1198.41174213377,0.22,51.28,16.36,3.66,1.05
"11","hungary",1200.83328582844,1191.96326392392,0.22,30.49,8.99,2.47,0.73
"14","poland",1186.29691332959,1181.0794893807,0.23,31.01,11.72,2.75,0.75
"5","czech rep",1173.48701414314,1168.30985355732,0.15,64.95,10.47,3.33,0.74
"23","turkey",1172.21313308825,1179.06960933861,0.32,90.89,19.16,5.99,1.38
"17","scotland",1162.40649819184,1156.87283189998,0.02,30.23,7.32,1.68,0.3
"20","slovenia",1122.62174731587,1126.31129850472,0.09,40.63,8.99,1.57,0.36
"16","romania",1110.58636394838,1123.65045955165,0.07,89.2,18.77,3.05,0.55
"19","slovakia",1096.66072596077,1113.07957665506,0.05,86.8,18.13,2.82,0.34
"9","georgia",1059.1687978093,1052.31232155894,NA,13.69,0.99,0.17,0.01
"1","albania",1036.98766229617,1034.10803324904,NA,4.95,0.82,0.03,NA
