team1,elostrength1,elo.now,series,value,fifa_code,Win,Final,Semi Finals,Quarter Finals
france,1353.10995561347,1350.714574935,Win,0.1349,FRA,0.1349,0.2086,0.3868,0.6035
spain,1337.75502733097,1356.08518329196,Win,0.2289,ESP,0.2289,0.3552,0.6231,0.9431
belgium,1313.45172716281,1298.16827751642,Win,0.0604,BEL,0.0604,0.102,0.2146,0.39649999999999996
england,1306.40841198493,1303.37663473074,Win,0.1391,ENG,0.1391,0.3189,0.5317000000000001,0.8859
portugal,1305.87179855545,1299.53103670983,Win,0.09880000000000001,POR,0.09880000000000001,0.1714,0.38060000000000005,0.8623999999999999
netherlands,1302.87611717619,1295.85059766413,Win,0.1419,NED,0.1419,0.33159999999999995,0.6043999999999999,0.8362
italy,1288.24029810179,1281.62260420155,Win,0.0694,ITA,0.0694,0.1745,0.3129,0.6332
germany,1276.82183146487,1286.22246770928,Win,0.07719999999999999,GER,0.07719999999999999,0.1371,0.3011,0.7484000000000001
denmark,1208.79433979213,1206.17648074854,Win,0.0104,DEN,0.0104,0.0227,0.06509999999999999,0.2516
switzerland,1192.93937382616,1201.77423753798,Win,0.0124,SUI,0.0124,0.053899999999999997,0.1323,0.3668
austria,1153.80776447553,1172.70898576237,Win,0.0182,AUT,0.0182,0.0687,0.2121,0.5893
turkey,1126.83449168959,1138.39249950032,Win,0.0062,TUR,0.0062,0.0352,0.1282,0.4107
slovenia,1073.82498630663,1085.17894626402,Win,0.0003,SVN,0.0003,0.0023,0.018000000000000002,0.1376
romania,1071.98815864626,1079.96153374632,Win,0.0014000000000000002,ROU,0.0014000000000000002,0.011000000000000001,0.0553,0.1638
slovakia,1055.190634517,1064.63413374021,Win,0.0005,SVK,0.0005,0.0062,0.0231,0.11410000000000001
georgia,1022.02384441282,1034.95443596286,Win,0.0,GEO,0.0,0.0007000000000000001,0.010700000000000001,0.056900000000000006
france,1353.10995561347,1350.714574935,Quarter Finals,0.6035,FRA,0.1349,0.2086,0.3868,0.6035
spain,1337.75502733097,1356.08518329196,Quarter Finals,0.9431,ESP,0.2289,0.3552,0.6231,0.9431
belgium,1313.45172716281,1298.16827751642,Quarter Finals,0.39649999999999996,BEL,0.0604,0.102,0.2146,0.39649999999999996
england,1306.40841198493,1303.37663473074,Quarter Finals,0.8859,ENG,0.1391,0.3189,0.5317000000000001,0.8859
portugal,1305.87179855545,1299.53103670983,Quarter Finals,0.8623999999999999,POR,0.09880000000000001,0.1714,0.38060000000000005,0.8623999999999999
netherlands,1302.87611717619,1295.85059766413,Quarter Finals,0.8362,NED,0.1419,0.33159999999999995,0.6043999999999999,0.8362
italy,1288.24029810179,1281.62260420155,Quarter Finals,0.6332,ITA,0.0694,0.1745,0.3129,0.6332
germany,1276.82183146487,1286.22246770928,Quarter Finals,0.7484000000000001,GER,0.07719999999999999,0.1371,0.3011,0.7484000000000001
denmark,1208.79433979213,1206.17648074854,Quarter Finals,0.2516,DEN,0.0104,0.0227,0.06509999999999999,0.2516
switzerland,1192.93937382616,1201.77423753798,Quarter Finals,0.3668,SUI,0.0124,0.053899999999999997,0.1323,0.3668
austria,1153.80776447553,1172.70898576237,Quarter Finals,0.5893,AUT,0.0182,0.0687,0.2121,0.5893
turkey,1126.83449168959,1138.39249950032,Quarter Finals,0.4107,TUR,0.0062,0.0352,0.1282,0.4107
slovenia,1073.82498630663,1085.17894626402,Quarter Finals,0.1376,SVN,0.0003,0.0023,0.018000000000000002,0.1376
romania,1071.98815864626,1079.96153374632,Quarter Finals,0.1638,ROU,0.0014000000000000002,0.011000000000000001,0.0553,0.1638
slovakia,1055.190634517,1064.63413374021,Quarter Finals,0.11410000000000001,SVK,0.0005,0.0062,0.0231,0.11410000000000001
georgia,1022.02384441282,1034.95443596286,Quarter Finals,0.056900000000000006,GEO,0.0,0.0007000000000000001,0.010700000000000001,0.056900000000000006
france,1353.10995561347,1350.714574935,Semi Finals,0.3868,FRA,0.1349,0.2086,0.3868,0.6035
spain,1337.75502733097,1356.08518329196,Semi Finals,0.6231,ESP,0.2289,0.3552,0.6231,0.9431
belgium,1313.45172716281,1298.16827751642,Semi Finals,0.2146,BEL,0.0604,0.102,0.2146,0.39649999999999996
england,1306.40841198493,1303.37663473074,Semi Finals,0.5317000000000001,ENG,0.1391,0.3189,0.5317000000000001,0.8859
portugal,1305.87179855545,1299.53103670983,Semi Finals,0.38060000000000005,POR,0.09880000000000001,0.1714,0.38060000000000005,0.8623999999999999
netherlands,1302.87611717619,1295.85059766413,Semi Finals,0.6043999999999999,NED,0.1419,0.33159999999999995,0.6043999999999999,0.8362
italy,1288.24029810179,1281.62260420155,Semi Finals,0.3129,ITA,0.0694,0.1745,0.3129,0.6332
germany,1276.82183146487,1286.22246770928,Semi Finals,0.3011,GER,0.07719999999999999,0.1371,0.3011,0.7484000000000001
denmark,1208.79433979213,1206.17648074854,Semi Finals,0.06509999999999999,DEN,0.0104,0.0227,0.06509999999999999,0.2516
switzerland,1192.93937382616,1201.77423753798,Semi Finals,0.1323,SUI,0.0124,0.053899999999999997,0.1323,0.3668
austria,1153.80776447553,1172.70898576237,Semi Finals,0.2121,AUT,0.0182,0.0687,0.2121,0.5893
turkey,1126.83449168959,1138.39249950032,Semi Finals,0.1282,TUR,0.0062,0.0352,0.1282,0.4107
slovenia,1073.82498630663,1085.17894626402,Semi Finals,0.018000000000000002,SVN,0.0003,0.0023,0.018000000000000002,0.1376
romania,1071.98815864626,1079.96153374632,Semi Finals,0.0553,ROU,0.0014000000000000002,0.011000000000000001,0.0553,0.1638
slovakia,1055.190634517,1064.63413374021,Semi Finals,0.0231,SVK,0.0005,0.0062,0.0231,0.11410000000000001
georgia,1022.02384441282,1034.95443596286,Semi Finals,0.010700000000000001,GEO,0.0,0.0007000000000000001,0.010700000000000001,0.056900000000000006
france,1353.10995561347,1350.714574935,Final,0.2086,FRA,0.1349,0.2086,0.3868,0.6035
spain,1337.75502733097,1356.08518329196,Final,0.3552,ESP,0.2289,0.3552,0.6231,0.9431
