team1,elostrength1,elo.now,series,value,fifa_code,Win,Final,Semi Finals
france,1353.10995561347,1359.21359778715,Win,0.2119,FRA,0.2119,0.33399999999999996,0.6106
spain,1337.75502733097,1358.80598407248,Win,0.1906,ESP,0.1906,0.2967,0.535
england,1306.40841198493,1307.41511515752,Win,0.16899999999999998,ENG,0.16899999999999998,0.38159999999999994,0.6816
portugal,1305.87179855545,1294.04099367849,Win,0.0894,POR,0.0894,0.16690000000000002,0.38939999999999997
netherlands,1302.87611717619,1300.32972553665,Win,0.182,NED,0.182,0.4268,0.7742
germany,1276.82183146487,1293.95847550128,Win,0.11019999999999999,GER,0.11019999999999999,0.2024,0.465
switzerland,1192.93937382616,1214.03283262818,Win,0.0352,SUI,0.0352,0.12560000000000002,0.3184
turkey,1126.83449168959,1149.37700793935,Win,0.011699999999999999,TUR,0.011699999999999999,0.066,0.22579999999999997
france,1353.10995561347,1359.21359778715,Semi Finals,0.6106,FRA,0.2119,0.33399999999999996,0.6106
spain,1337.75502733097,1358.80598407248,Semi Finals,0.535,ESP,0.1906,0.2967,0.535
england,1306.40841198493,1307.41511515752,Semi Finals,0.6816,ENG,0.16899999999999998,0.38159999999999994,0.6816
portugal,1305.87179855545,1294.04099367849,Semi Finals,0.38939999999999997,POR,0.0894,0.16690000000000002,0.38939999999999997
netherlands,1302.87611717619,1300.32972553665,Semi Finals,0.7742,NED,0.182,0.4268,0.7742
germany,1276.82183146487,1293.95847550128,Semi Finals,0.465,GER,0.11019999999999999,0.2024,0.465
switzerland,1192.93937382616,1214.03283262818,Semi Finals,0.3184,SUI,0.0352,0.12560000000000002,0.3184
turkey,1126.83449168959,1149.37700793935,Semi Finals,0.22579999999999997,TUR,0.011699999999999999,0.066,0.22579999999999997
france,1353.10995561347,1359.21359778715,Final,0.33399999999999996,FRA,0.2119,0.33399999999999996,0.6106
spain,1337.75502733097,1358.80598407248,Final,0.2967,ESP,0.1906,0.2967,0.535
england,1306.40841198493,1307.41511515752,Final,0.38159999999999994,ENG,0.16899999999999998,0.38159999999999994,0.6816
portugal,1305.87179855545,1294.04099367849,Final,0.16690000000000002,POR,0.0894,0.16690000000000002,0.38939999999999997
netherlands,1302.87611717619,1300.32972553665,Final,0.4268,NED,0.182,0.4268,0.7742
germany,1276.82183146487,1293.95847550128,Final,0.2024,GER,0.11019999999999999,0.2024,0.465
switzerland,1192.93937382616,1214.03283262818,Final,0.12560000000000002,SUI,0.0352,0.12560000000000002,0.3184
turkey,1126.83449168959,1149.37700793935,Final,0.066,TUR,0.011699999999999999,0.066,0.22579999999999997
