Date,Adj Close,Close,High,Low,Open,Midmarket_Rate
2013-01-01,0.011837,0.011837,0.011842,0.011786,0.011838,0.011814
2013-01-02,0.011608,0.011608,0.01184,0.011608,0.011836,0.011724
2013-01-03,0.011804,0.011804,0.011832,0.011608,0.011608,0.01172
2013-01-04,0.011765,0.011765,0.011826,0.011742,0.011802,0.011784
2013-01-07,0.011747,0.011747,0.011797,0.011561,0.011561,0.011679
2013-01-08,0.011762,0.011762,0.011787,0.011561,0.011747,0.011674
2013-01-09,0.011754,0.011754,0.011778,0.011554,0.011764,0.011666
2013-01-10,0.011731,0.011731,0.011783,0.011534,0.011756,0.011658
2013-01-11,0.01176,0.01176,0.01176,0.011534,0.011731,0.011647
2013-01-14,0.01173,0.01173,0.011773,0.011696,0.011737,0.011735
2013-01-15,0.01173,0.01173,0.011751,0.011601,0.01173,0.011676
2013-01-16,0.011724,0.011724,0.011763,0.011651,0.01173,0.011707
2013-01-17,0.011695,0.011695,0.011743,0.011501,0.011724,0.011622
2013-01-18,0.011624,0.011624,0.011739,0.011501,0.011696,0.01162
2013-01-21,0.01171,0.01171,0.011741,0.011663,0.011699,0.011702
2013-01-22,0.011649,0.011649,0.011713,0.011461,0.011711,0.011587
2013-01-23,0.011648,0.011648,0.011655,0.011557,0.011649,0.011606
2013-01-24,0.011627,0.011627,0.01165,0.011435,0.01165,0.011543
2013-01-25,0.01161,0.01161,0.011736,0.011435,0.011627,0.011585
2013-01-28,0.011606,0.011606,0.011633,0.011416,0.011611,0.011524
2013-01-29,0.011606,0.011606,0.011635,0.011554,0.011605,0.011594
2013-01-30,0.011604,0.011604,0.011633,0.011416,0.011604,0.011524
2013-01-31,0.011604,0.011604,0.011652,0.011416,0.011604,0.011534
2013-02-01,0.011557,0.011557,0.011644,0.011429,0.011605,0.011536
2013-02-04,0.011638,0.011638,0.011646,0.011448,0.011621,0.011547
2013-02-05,0.011603,0.011603,0.011642,0.01152,0.011642,0.011581
2013-02-06,0.011605,0.011605,0.011625,0.011416,0.011604,0.01152
2013-02-07,0.011639,0.011639,0.011643,0.011448,0.011606,0.011546
2013-02-08,0.011548,0.011548,0.01165,0.011416,0.01164,0.011533
2013-02-11,0.011612,0.011612,0.011648,0.011422,0.011607,0.011535
2013-02-12,0.011627,0.011627,0.01166,0.011435,0.011613,0.011548
2013-02-13,0.011626,0.011626,0.011735,0.01157,0.011625,0.011653
2013-02-14,0.011648,0.011648,0.011657,0.011455,0.011626,0.011556
2013-02-15,0.011621,0.011621,0.011668,0.011442,0.011648,0.011555
2013-02-18,0.011613,0.011613,0.011648,0.011566,0.0116,0.011607
2013-02-19,0.011606,0.011606,0.011634,0.011416,0.011614,0.011525
2013-02-20,0.011601,0.011601,0.011655,0.011409,0.011607,0.011532
2013-02-21,0.0116,0.0116,0.011652,0.011405,0.011602,0.011529
2013-02-22,0.011605,0.011605,0.011657,0.011422,0.0116,0.01154
2013-02-25,0.011665,0.011665,0.011684,0.011468,0.011651,0.011576
2013-02-26,0.011659,0.011659,0.011694,0.011623,0.011666,0.011658
2013-02-27,0.011601,0.011601,0.011811,0.011601,0.011659,0.011706
2013-02-28,0.011805,0.011805,0.011924,0.01159,0.011601,0.011757
2013-03-01,0.011799,0.011799,0.011876,0.011648,0.011804,0.011762
2013-03-04,0.011832,0.011832,0.011861,0.011628,0.011853,0.011745
2013-03-05,0.01191,0.01191,0.011946,0.011614,0.011833,0.01178
2013-03-06,0.011708,0.011708,0.011909,0.011669,0.011909,0.011789
2013-03-07,0.01179,0.01179,0.011853,0.011587,0.011709,0.01172
2013-03-08,0.011832,0.011832,0.011859,0.011601,0.01179,0.01173
2013-03-11,0.01193,0.01193,0.011953,0.011621,0.011621,0.011787
2013-03-12,0.011931,0.011931,0.01196,0.011723,0.011931,0.011842
2013-03-13,0.011946,0.011946,0.011962,0.011723,0.01193,0.011843
2013-03-14,0.011892,0.011892,0.011948,0.011685,0.011946,0.011816
2013-03-15,0.011868,0.011868,0.011937,0.011844,0.011892,0.011891
2013-03-18,0.011883,0.011883,0.011894,0.011665,0.011682,0.011779
2013-03-19,0.011891,0.011891,0.011912,0.01182,0.011883,0.011866
2013-03-20,0.011682,0.011682,0.011914,0.011682,0.011891,0.011798
2013-03-21,0.011878,0.011878,0.011905,0.011662,0.011682,0.011783
2013-03-22,0.011845,0.011845,0.01189,0.011669,0.011876,0.011779
2013-03-25,0.011863,0.011863,0.011881,0.011768,0.011874,0.011824
2013-03-26,0.011849,0.011849,0.011905,0.011796,0.011863,0.011851
2013-03-27,0.011878,0.011878,0.011928,0.011847,0.011849,0.011887
2013-03-28,0.011877,0.011877,0.011949,0.011703,0.01188,0.011826
2013-03-29,0.011878,0.011878,0.011878,0.011878,0.011878,0.011878
2013-04-01,0.01173,0.01173,0.01173,0.01171,0.01173,0.01172
2013-04-02,0.012012,0.012012,0.012014,0.011703,0.011703,0.011858
2013-04-03,0.011984,0.011984,0.012043,0.011934,0.012012,0.011989
2013-04-04,0.01199,0.01199,0.012051,0.011935,0.011984,0.011993
2013-04-05,0.011951,0.011951,0.012047,0.011786,0.01199,0.011916
2013-04-08,0.011968,0.011968,0.01207,0.011773,0.012003,0.011922
2013-04-09,0.012008,0.012008,0.012051,0.011954,0.011968,0.012002
2013-04-10,0.01203,0.01203,0.012104,0.011848,0.012001,0.011976
2013-04-11,0.012088,0.012088,0.012125,0.011848,0.01203,0.011987
2013-04-12,0.012097,0.012097,0.012155,0.011874,0.012089,0.012014
2013-04-15,0.012133,0.012133,0.012168,0.011891,0.012126,0.012029
2013-04-16,0.012114,0.012114,0.012191,0.012108,0.012133,0.012149
2013-04-17,0.012117,0.012117,0.012188,0.012021,0.012117,0.012105
2013-04-18,0.012039,0.012039,0.012193,0.012039,0.012119,0.012116
2013-04-19,0.012066,0.012066,0.012176,0.012066,0.012145,0.012121
2013-04-22,0.012162,0.012162,0.01219,0.011947,0.012078,0.012069
2013-04-23,0.012156,0.012156,0.012194,0.01194,0.012163,0.012067
2013-04-24,0.012134,0.012134,0.012195,0.012104,0.012156,0.01215
2013-04-25,0.012127,0.012127,0.012185,0.011905,0.012135,0.012045
2013-04-26,0.012115,0.012115,0.01218,0.011912,0.012127,0.012046
2013-04-29,0.012162,0.012162,0.012178,0.012138,0.012156,0.012158
2013-04-30,0.012154,0.012154,0.01218,0.012113,0.012162,0.012146
2013-05-01,0.012168,0.012168,0.012177,0.012096,0.012154,0.012137
2013-05-02,0.012153,0.012153,0.012193,0.01194,0.012169,0.012066
2013-05-03,0.012117,0.012117,0.012194,0.011947,0.012157,0.012071
2013-05-06,0.012104,0.012104,0.01217,0.011912,0.012169,0.012041
2013-05-07,0.012154,0.012154,0.012176,0.011926,0.012089,0.012051
2013-05-08,0.011962,0.011962,0.012185,0.01194,0.012154,0.012063
2013-05-09,0.011933,0.011933,0.012192,0.011926,0.011962,0.012059
2013-05-10,0.01211,0.01211,0.012191,0.011933,0.011933,0.012062
2013-05-13,0.012157,0.012157,0.012179,0.01194,0.012139,0.01206
2013-05-14,0.012173,0.012173,0.012182,0.012096,0.012153,0.012139
2013-05-15,0.012144,0.012144,0.012183,0.012096,0.012173,0.01214
2013-05-16,0.01218,0.01218,0.012184,0.012121,0.012144,0.012152
2013-05-17,0.012081,0.012081,0.012188,0.011976,0.01218,0.012082
2013-05-20,0.012162,0.012162,0.012175,0.011943,0.012158,0.012059
2013-05-21,0.012113,0.012113,0.012163,0.012043,0.012163,0.012103
2013-05-22,0.011848,0.011848,0.012117,0.011848,0.012117,0.011983
2013-05-23,0.012077,0.012077,0.012106,0.011848,0.011848,0.011977
2013-05-24,0.012003,0.012003,0.012093,0.011858,0.012077,0.011976
2013-05-27,0.011983,0.011983,0.012055,0.011772,0.01194,0.011913
2013-05-28,0.011955,0.011955,0.012004,0.011847,0.011982,0.011925
2013-05-29,0.011998,0.011998,0.01202,0.011786,0.011955,0.011903
2013-05-30,0.011772,0.011772,0.012025,0.011772,0.011995,0.011898
2013-05-31,0.011909,0.011909,0.011993,0.011751,0.011772,0.011872
2013-06-03,0.011744,0.011744,0.011982,0.011744,0.01196,0.011863
2013-06-04,0.011952,0.011952,0.011988,0.011737,0.011744,0.011862
2013-06-05,0.011958,0.011958,0.011989,0.011751,0.011952,0.01187
2013-06-06,0.011786,0.011786,0.012057,0.011786,0.01196,0.011921
2013-06-07,0.011903,0.011903,0.01202,0.011781,0.011786,0.011901
2013-06-10,0.01173,0.01173,0.01202,0.01173,0.011786,0.011875
2013-06-11,0.011947,0.011947,0.01202,0.01173,0.011786,0.011875
