DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,55.40848922729492,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,16.74441909790039,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,6.3345112800598145,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,38.768638610839844,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,23.842416763305664,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AZE: Azerbaijan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,6.754509925842285,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,26.672809600830078,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,1.5271508693695068,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,44.2050895690918,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BTN: Bhutan,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,10.435752868652344,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BOL: Bolivia (Plurinational State of),PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,39.891414642333984,,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BIH: Bosnia and Herzegovina,PV_CHLD_INCM-PL: Children living in households with income below the national poverty line (as a % of all children),_T: Total,2020,10.68799114227295,,PCNT: %,,,,,,,,,,,,,,_T: Total
