Unnamed: 0,Unnamed: 1,Mt,Mt.1,Unnamed: 4,Ranking,Ranking.1
,Headquarters,2023.0,2022,,2023,2022
China Baowu Group (1),China,130.77,131.84,,1,1
ArcelorMittal (2),Luxembourg,68.52,68.89,,2,2
Ansteel Group (3),China,55.89,55.65,,3,3
Nippon Steel Corporation (4),Japan,43.66,44.37,,4,4
HBIS Group,China,41.34,41.00,,5,6
Shagang Group,China,40.54,41.45,,6,5
POSCO Holdings,South Korea,38.44,38.64,,7,7
Jianlong Group (5),China,36.99,36.56,,8,8
Shougang Group,China,33.58,33.82,,9,9
Tata Steel Group,India,29.5,30.18,,10,10
Delong Steel (6),China,28.26,27.90,,11,12
JSW Steel Limited,India,26.15,23.38,,12,15
JFE Steel Corporation,Japan,25.09,26.20,,13,14
Hunan Steel Group (7),China,24.8,26.43,,14,13
Nucor Corporation,United States,21.2,20.60,,15,16
Fangda Steel,China,19.56,19.70,,16,17
Shandong Steel Group,China,19.45,29.42,,17,11
Hyundai Steel,South Korea,19.24,18.77,,18,18
Steel Authority of India Ltd. (SAIL),India,19.18,17.93,,19,20
Rizhao Steel,China,18.66,15.63,,20,22
Liuzhou Steel,China,18.62,18.21,,21,19
Cleveland-Cliffs,United States,17.27,16.80,,22,21
Tsingshan Holding,China,16.28,13.92,,23,32
United States Steel Corporation,United States,15.75,14.49,,24,26
Baotou Steel,China,15.2,14.18,,25,28
Techint Group,Argentina,14.82,14.86,,26,25
Jingye Group,China,14.51,13.97,,27,29
Novolipetsk Steel (NLMK),Russia,14.24,(r) 14.94,,28,24
CITIC Pacific,China,14.17,15.03,,29,23
Sinogiant Group,China,13.63,13.95,,30,31
Shenglong Metallurgical,China,13.12,14.21,,31,27
Magnitogorsk Iron & Steel Works (MMK),Russia,12.99,11.69,,32,37
Gerdau S.A.,Brazil,12.74,13.90,,33,33
China Steel Corporation,"Taiwan, China",12.58,13.96,,34,30
Anyang Steel,China,12.34,11.18,,35,38
Zenith Steel,China,11.92,12.23,,36,35
Shaanxi Steel,China,11.86,12.17,,37,36
Severstal,Russia,11.27,10.69,,38,41
Sanming Steel,China,11.24,11.03,,39,39
Nanjing Steel,China,11.0,11.00,,40,40
thyssenkrupp,Germany,10.35,9.93,,41,43
Mobarakeh Steel Company,Iran,10.33,10.30,,42,42
"Steel Dynamics, Inc.",United States,10.32,9.73,,43,44
EVRAZ,Russia,10.09,(r) 12.80,,44,34
Donghai Special Steel,China,9.43,9.65,,45,45
Jiuquan Steel,China,9.01,9.01,,46,46
Jindal Steel and Power Ltd (JSPL),India,7.9,8.01,,47,47
SSAB,Sweden,7.78,7.29,,48,53
Jinxi Steel,China,7.53,7.43,,49,49
Jinnan Steel,China,7.45,6.36,,50,56
