"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Argentina,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,9941.59,8489.332,10610.191,13676.216,13835.967,13415.312,14362.247
Australia,11007.11,12527.968,12234.339,11591.576,12574.63,10967.197,11244.812,12998.143,16245.405,18209.046,18877.81,18668.311,18112.564,17455.939,19748.718,20929.06,23167.547,23036.266,20394.834,21775.12,20912.038,19503.999,21703.958,27293.622,32861.496,36260.401,37980.615,45207.836,49198.059,45771.767,56584.708,67289.469,68481.215,65237.984,61629.37,51446.422,51779.836,55782.112,56357.044,54320.185,53163.316,64251.284,65574.135,64652.153,66247.96,64547.098
Brazil,1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3751.971,3163.671,2844.405,3077.735,3647.959,4806.171,5906.244,7374.237,8863.269,8640.934,11341.268,13326.088,12465.45,12406.559,12230.669,8893.346,8812.503,10055.567,9281.668,9010.512,7057.072,7951.553,9256.482,10350.437,10214.032,9964.1
Canada,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.77,24279.8,28340.085,32178.496,36440.967,40559.017,44717.074,46773.744,40989.278,47625.742,52285.815,52745.057,52711.32,51025.428,43628.425,42382.499,45192.368,46617.97,46430.975,43573.195,52912.175,56358.067,54376.269,54473.186,53558.062
"China, People's Republic of",307.533,289.007,280.5,297.077,301.687,293.534,280.42,300.37,368.709,407.249,347.545,359.122,422.899,524.75,472.505,609.022,709.843,782.914,829.995,875.403,962.844,1058.845,1157.325,1300.767,1522.4,1778.515,2128.055,2733.851,3503.948,3878.741,4578.228,5651.562,6388.178,7155.028,7774.592,8174.332,8222.25,8930.226,10040.46,10334.456,10695.519,12877.533,12968.171,12960.729,13312.7,13687.267
France,12623.85,11057.517,10433.377,9921.765,9357.211,9753.414,13487.79,16241.482,17650.437,17639.404,21735.528,21675.374,23775.543,22357.695,23505.585,26927.038,26883.799,24309.419,25024.875,24755.925,22502.094,22486.945,24295.367,29675.139,33876.29,34964.765,36685.03,41762.59,45753.56,41943.313,40988.558,44197.638,41150.451,42951.716,43277.417,36775.676,37081.496,38756.651,41539.756,40487.302,39230.928,43848.345,41096.683,44792.016,46203.675,46792.41
Germany,11150.445,9363.773,9048.007,9058.272,8569.045,8710.65,12432.393,15467.993,16575.159,16291.592,20323.326,23538.989,26660.209,25697.119,27359.713,31918.986,30778.982,27254.373,27636.064,27217.026,24158.215,24122.365,25752.683,31074.334,35000.56,35592.675,37530.238,43021.966,47153.994,43189.389,43233.452,47637.891,44763.54,47220.321,48983.25,41914.927,42949.139,45510.535,48897.189,47629.1,47341.768,52300.607,49725.343,53565.041,54989.76,55911.042
Italy,8511.792,7706.659,7610.37,7892.058,7797.171,8048.61,11397.445,14305.851,15845.543,16468.564,20536.935,21674.463,22988.054,18469.667,19043.086,20722.958,23135.807,21913.138,22395.127,22074.693,20205.515,20576.46,22473.552,27673.263,31451.559,32148.046,33602.692,37989.367,40968.981,37143.445,35963.743,38475.823,34926.415,35722.542,36022.564,30609.504,31357.601,32797.298,35042.793,33767.024,31956.874,36812.887,35671.989,39074.242,40224.012,41091.258
Japan,9671.861,10586.534,9782.353,10655.246,11210.518,11813.035,17457.069,21148.365,25506.113,25274.314,25809.663,29436.88,32007.708,36362.508,39953.203,44210.234,39164.322,35651.27,32436.929,36622.892,39172.971,34410.68,32832.296,35410.229,38307.103,37819.107,36021.9,35847.232,39992.06,41469.773,45135.796,48760.915,49175.035,40934.756,38522.771,35005.662,39411.424,38903.298,39850.331,40547.967,40159.866,40155.188,34080.084,33845.481,32498.146,33955.711
"Korea, Republic of",1744.756,1918.418,2032.027,2245.56,2468.702,2542.884,2910.824,3657.733,4888.718,5989.211,6812.886,7872.91,8386.948,9181.481,10729.637,13002.046,13864.865,12840.576,8572.751,11056.713,12716.99,11983.382,13637.337,15211.145,17107.739,20162.881,22596.681,25075.287,22291.166,19933.009,24069.073,26177.945,26600.549,28449.357,30667.091,30171.791,30825.524,33296.984,35363.952,33826.944,33653.204,37518.466,34822.405,35563.046,36128.987,34641.743
Mexico,3557.305,4461.156,3162.5,2519.488,2904.686,3015.01,2043.27,2194.692,2631.484,3144.69,3640.26,4281.697,4873.452,5933.292,6086.828,4109.778,4597.153,5484.708,5759.186,6435.62,7467.739,7902.129,7934.694,7390.343,7806.561,8626.151,9456.912,10063.621,10438.499,8346.772,9632.818,10554.35,10631.077,11099.184,11272.395,9915.089,8999.57,9542.783,9970.967,10251.145,8744.029,10207.315,11283.919,13678.989,14006.661,12691.551
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,482.052,1321.758,1979.466,2263.019,2785.402,2932.106,1948.061,1424.158,1898.156,2250.194,2546.771,3190.618,4395.821,5697.629,7416.316,9757.464,12463.775,9160.09,11432.391,14310.213,15284.626,15913.343,13984.458,9231.589,8689.358,10665.28,11182.638,11465.343,10074.759,12423.263,15646.297,14079.116,14794.697,14257.845
Saudi Arabia,19543.4,20846.201,16507.688,13252.641,11688.011,9666.717,7698.924,7221.944,7083.177,7287.351,8562.256,9143.234,9242.65,8740.725,8663.672,8957.496,9666.949,9858.984,8512.519,9144.592,10448.562,9898.29,9937.43,11027.928,12891.345,15943.431,17827.397,19196.07,23403.651,18836.967,22028.379,26966.305,28348.563,27290.188,27079.673,22453.58,21515.651,23081.196,28036.026,27892.842,23271.404,28396.104,34454.196,31676.444,30746.453,30098.871
