GE_ElectionYear,VoteShare_REFORM,Party
2024,0.2093,Reform UK
2024,0.0898,Reform UK
2024,0.069,Reform UK
2024,0.1456,Reform UK
2024,0.081,Reform UK
2024,0.1691,Reform UK
2024,0.2417,Reform UK
2024,0.0762,Reform UK
2024,0.0964,Reform UK
2024,0.2213,Reform UK
2024,0.2867,Reform UK
2024,0.0686,Reform UK
2024,0.0861,Reform UK
2024,0.0679,Reform UK
2024,0.135,Reform UK
2024,0.4278,Reform UK
2024,0.2159,Reform UK
2024,0.2477,Reform UK
2024,0.1351,Reform UK
2024,0.087,Reform UK
2024,0.1304,Reform UK
2024,0.1462,Reform UK
2024,0.1418,Reform UK
2024,0.2927,Reform UK
2024,0.3321,Reform UK
2024,0.1666,Reform UK
2024,0.2695,Reform UK
2024,0.1289,Reform UK
2024,0.2173,Reform UK
2024,0.0789,Reform UK
2024,0.0838,Reform UK
2024,0.06,Reform UK
2024,0.1269,Reform UK
2024,0.1025,Reform UK
2024,0.1119,Reform UK
2024,0.0,Reform UK
2024,0.0,Reform UK
2024,0.0,Reform UK
2024,0.0,Reform UK
2024,0.0903,Reform UK
2024,0.072,Reform UK
2024,0.0421,Reform UK
2024,0.1826,Reform UK
2024,0.1661,Reform UK
2024,0.2269,Reform UK
2024,0.1077,Reform UK
2024,0.1424,Reform UK
2024,0.1166,Reform UK
2024,0.2295,Reform UK
2024,0.055,Reform UK
2024,0.1891,Reform UK
2024,0.0404,Reform UK
2024,0.2097,Reform UK
2024,0.0653,Reform UK
2024,0.1492,Reform UK
2024,0.14,Reform UK
2024,0.2342,Reform UK
2024,0.1246,Reform UK
2024,0.211,Reform UK
2024,0.2371,Reform UK
2024,0.2862,Reform UK
2024,0.0,Reform UK
2024,0.237,Reform UK
2024,0.2687,Reform UK
2024,0.2146,Reform UK
2024,0.2152,Reform UK
2024,0.2174,Reform UK
2024,0.2261,Reform UK
2024,0.191,Reform UK
2024,0.1221,Reform UK
2024,0.3836,Reform UK
2024,0.1396,Reform UK
2024,0.1686,Reform UK
2024,0.1698,Reform UK
2024,0.1331,Reform UK
2024,0.2252,Reform UK
2024,0.08,Reform UK
2024,0.2314,Reform UK
2024,0.1411,Reform UK
2024,0.0535,Reform UK
2024,0.0498,Reform UK
2024,0.0871,Reform UK
2024,0.2431,Reform UK
2024,0.1914,Reform UK
2024,0.2221,Reform UK
2024,0.2411,Reform UK
2024,0.2492,Reform UK
2024,0.0,Reform UK
2024,0.0542,Reform UK
2024,0.0309,Reform UK
2024,0.0,Reform UK
2024,0.129,Reform UK
2024,0.1003,Reform UK
2024,0.1427,Reform UK
2024,0.1789,Reform UK
2024,0.1753,Reform UK
2024,0.1901,Reform UK
2024,0.2045,Reform UK
2024,0.1756,Reform UK
2024,0.1568,Reform UK
2024,0.1952,Reform UK
2024,0.2106,Reform UK
2024,0.1622,Reform UK
2024,0.1626,Reform UK
2024,0.1689,Reform UK
2024,0.1523,Reform UK
2024,0.2028,Reform UK
2024,0.073,Reform UK
2024,0.1541,Reform UK
2024,0.1873,Reform UK
2024,0.0,Reform UK
2024,0.2694,Reform UK
2024,0.1441,Reform UK
2024,0.1273,Reform UK
2024,0.1261,Reform UK
2024,0.1147,Reform UK
2024,0.1257,Reform UK
2024,0.2022,Reform UK
2024,0.1273,Reform UK
2024,0.3011,Reform UK
2024,0.083,Reform UK
2024,0.1457,Reform UK
2024,0.1897,Reform UK
2024,0.1161,Reform UK
2024,0.2446,Reform UK
2024,0.1015,Reform UK
2024,0.1332,Reform UK
2024,0.0667,Reform UK
2024,0.0,Reform UK
2024,0.0975,Reform UK
2024,0.1313,Reform UK
2024,0.1222,Reform UK
2024,0.19,Reform UK
2024,0.1514,Reform UK
2024,0.0753,Reform UK
2024,0.1237,Reform UK
2024,0.0784,Reform UK
2024,0.0,Reform UK
2024,0.1893,Reform UK
2024,0.0702,Reform UK
2024,0.1815,Reform UK
2024,0.4618,Reform UK
2024,0.0411,Reform UK
2024,0.1595,Reform UK
2024,0.1682,Reform UK
2024,0.0672,Reform UK
2024,0.1484,Reform UK
2024,0.1579,Reform UK
2024,0.1645,Reform UK
2024,0.1767,Reform UK
2024,0.1806,Reform UK
2024,0.1892,Reform UK
2024,0.1337,Reform UK
2024,0.0766,Reform UK
2024,0.2083,Reform UK
2024,0.1851,Reform UK
2024,0.2034,Reform UK
2024,0.1339,Reform UK
2024,0.084,Reform UK
2024,0.0563,Reform UK
2024,0.0773,Reform UK
2024,0.2418,Reform UK
2024,0.1617,Reform UK
2024,0.2141,Reform UK
2024,0.2004,Reform UK
2024,0.183,Reform UK
2024,0.2273,Reform UK
2024,0.1507,Reform UK
2024,0.1616,Reform UK
2024,0.1169,Reform UK
2024,0.2078,Reform UK
2024,0.2169,Reform UK
2024,0.0,Reform UK
2024,0.1381,Reform UK
2024,0.2377,Reform UK
2024,0.1906,Reform UK
2024,0.2638,Reform UK
2024,0.0397,Reform UK
2024,0.0942,Reform UK
2024,0.0864,Reform UK
2024,0.0608,Reform UK
2024,0.0648,Reform UK
2024,0.1753,Reform UK
2024,0.1202,Reform UK
2024,0.065,Reform UK
2024,0.0913,Reform UK
2024,0.0552,Reform UK
2024,0.0,Reform UK
2024,0.2981,Reform UK
2024,0.0,Reform UK
2024,0.0,Reform UK
2024,0.0354,Reform UK
2024,0.1292,Reform UK
2024,0.0723,Reform UK
2024,0.0,Reform UK
2024,0.047,Reform UK
2024,0.1703,Reform UK
2024,0.2011,Reform UK
2024,0.1671,Reform UK
2024,0.1461,Reform UK
2024,0.1329,Reform UK
2024,0.1325,Reform UK
2024,0.0467,Reform UK
2024,0.0367,Reform UK
2024,0.0394,Reform UK
