year,date,series,value
1998,1998-01-01,Scotland,85.48954251405716
1998,1998-04-01,Scotland,85.9404983918827
1998,1998-07-01,Scotland,85.46911874041332
1998,1998-10-01,Scotland,85.49655669513353
1999,1999-01-01,Scotland,85.5755728018529
1999,1999-04-01,Scotland,85.85589851402919
1999,1999-07-01,Scotland,86.27177942003009
1999,1999-10-01,Scotland,87.32238465904472
2000,2000-01-01,Scotland,88.24422682117546
2000,2000-04-01,Scotland,88.6104986570773
2000,2000-07-01,Scotland,88.85904248796493
2000,2000-10-01,Scotland,88.79597054129216
2001,2001-01-01,Scotland,89.1580548592765
2001,2001-04-01,Scotland,89.19711479641165
2001,2001-07-01,Scotland,90.1493405659877
2001,2001-10-01,Scotland,91.33087405677367
2002,2002-01-01,Scotland,90.98658764541696
2002,2002-04-01,Scotland,91.34596296874574
2002,,Scotland,92.04582922335264
2002,2002-10-01,Scotland,92.24534661866792
2003,2003-01-01,Scotland,92.73253269143365
2003,2003-04-01,Scotland,93.78663661770894
2003,2003-07-01,Scotland,95.14408036300283
2003,2003-10-01,Scotland,95.14379178563863
2004,2004-01-01,Scotland,96.2046552180381
2004,2004-04-01,Scotland,96.25112218460582
2004,2004-07-01,Scotland,96.09182706065657
2004,2004-10-01,Scotland,97.17184413609166
2005,2005-01-01,Scotland,96.6121844696326
2005,2005-04-01,Scotland,96.68352289220744
2005,2005-07-01,Scotland,97.4103516806726
2005,2005-10-01,Scotland,98.53029480330386
2006,2006-01-01,Scotland,99.57660807010362
2006,2006-04-01,Scotland,99.78249589987914
2006,2006-07-01,Scotland,99.41676272207198
2006,2006-10-01,Scotland,100.08967647729973
2007,2007-01-01,Scotland,100.06742234412056
2007,2007-04-01,Scotland,99.60746084361126
2007,2007-07-01,Scotland,99.8543338434114
2007,2007-10-01,Scotland,100.47078296885681
2008,2008-01-01,Scotland,101.92538977464156
2008,2008-04-01,Scotland,102.59615016776257
2008,2008-07-01,Scotland,101.26620942862448
2008,2008-10-01,Scotland,99.25096150891059
2009,2009-01-01,Scotland,98.39762171082205
2009,2009-04-01,Scotland,97.60729981648606
2009,2009-07-01,Scotland,98.08273944018721
2009,2009-10-01,Scotland,98.13009522856133
2010,2010-01-01,Scotland,98.64436072627456
2010,2010-04-01,Scotland,99.52548144150028
2010,2010-07-01,Scotland,99.98065077068347
2010,2010-10-01,Scotland,99.46105033366163
2011,2011-01-01,Scotland,100.09846477247697
2011,2011-04-01,Scotland,100.29394663977396
2011,2011-07-01,Scotland,100.67274587253432
2011,2011-10-01,Scotland,100.97037334987402
2012,2012-01-01,Scotland,101.92743794776288
2012,2012-04-01,Scotland,101.46127745930345
2012,2012-07-01,Scotland,101.67336753294262
2012,2012-10-01,Scotland,102.6281342987506
2013,2013-01-01,Scotland,102.49780375718962
2013,2013-04-01,Scotland,103.33050875111351
2013,2013-07-01,Scotland,103.56476103235607
2013,2013-10-01,Scotland,104.00450292719947
2014,2014-01-01,Scotland,104.91653679408583
2014,2014-04-01,Scotland,105.78898255254494
2014,2014-07-01,Scotland,106.78860813791091
2014,2014-10-01,Scotland,107.08731505345104
2015,2015-01-01,Scotland,107.11497105419274
2015,2015-04-01,Scotland,106.9752505700991
2015,2015-07-01,Scotland,106.80064303564605
2015,2015-10-01,Scotland,107.02042782732461
2016,2016-01-01,Scotland,107.20378613667107
2016,2016-04-01,Scotland,106.90270228504592
2016,2016-07-01,Scotland,107.33838287792652
2016,2016-10-01,Scotland,106.90573282358183
2017,2017-01-01,Scotland,108.22980105219611
2017,2017-04-01,Scotland,108.95046619424642
2017,2017-07-01,Scotland,109.49909538051958
2017,2017-10-01,Scotland,109.56674470766777
2018,2018-01-01,Scotland,109.33720529653881
2018,2018-04-01,Scotland,109.45370353986526
2018,2018-07-01,Scotland,109.08645336109993
2018,2018-10-01,Scotland,108.63036551413701
