,date,quarter,GDP growth,Policy rate
8,2002-01-01,2002 Q1,-0.01,0.5473
9,2002-04-01,2002 Q2,0.079,0.48
10,2002-07-01,2002 Q3,0.07,0.46
11,2002-10-01,2002 Q4,0.11199999999999999,0.44
12,2003-01-01,2003 Q1,0.067,0.44
13,2003-04-01,2003 Q2,0.036000000000000004,0.3823
14,2003-07-01,2003 Q3,0.059000000000000004,0.3066
15,2003-10-01,2003 Q4,0.068,0.26
16,2004-01-01,2004 Q1,0.11,0.22
17,2004-04-01,2004 Q2,0.11800000000000001,0.22
18,2004-07-01,2004 Q3,0.084,0.2
19,2004-10-01,2004 Q4,0.085,0.18
20,2005-01-01,2005 Q1,0.096,0.155
21,2005-04-01,2005 Q2,0.079,0.1425
22,2005-07-01,2005 Q3,0.081,0.1425
23,2005-10-01,2005 Q4,0.10400000000000001,0.135
24,2006-01-01,2006 Q1,0.065,0.135
25,2006-04-01,2006 Q2,0.094,0.15
26,2006-07-01,2006 Q3,0.06,0.175
27,2006-10-01,2006 Q4,0.062,0.175
28,2007-01-01,2007 Q1,0.08199999999999999,0.175
29,2007-04-01,2007 Q2,0.032,0.175
30,2007-07-01,2007 Q3,0.036000000000000004,0.1736
31,2007-10-01,2007 Q4,0.055,0.15960000000000002
32,2008-01-01,2008 Q1,0.073,0.1525
33,2008-04-01,2008 Q2,0.023,0.16
34,2008-07-01,2008 Q3,0.01,0.1675
35,2008-10-01,2008 Q4,-0.06,0.1563
36,2009-01-01,2009 Q1,-0.145,0.1103
37,2009-04-01,2009 Q2,-0.068,0.09029999999999999
38,2009-07-01,2009 Q3,-0.016,0.0758
39,2009-10-01,2009 Q4,0.03,0.065
40,2010-01-01,2010 Q1,0.069,0.065
41,2010-04-01,2010 Q2,0.081,0.065
42,2010-07-01,2010 Q3,0.087,0.0638
43,2010-10-01,2010 Q4,0.09699999999999999,0.0163
44,2011-01-01,2011 Q1,0.11800000000000001,0.015
45,2011-04-01,2011 Q2,0.115,0.015
46,2011-07-01,2011 Q3,0.11599999999999999,0.05
47,2011-10-01,2011 Q4,0.1,0.05
48,2012-01-01,2012 Q1,0.067,0.05
49,2012-04-01,2012 Q2,0.05,0.05
50,2012-07-01,2012 Q3,0.036000000000000004,0.05
51,2012-10-01,2012 Q4,0.042,0.05
52,2013-01-01,2013 Q1,0.084,0.045
53,2013-04-01,2013 Q2,0.09699999999999999,0.035
54,2013-07-01,2013 Q3,0.08900000000000001,0.035
55,2013-10-01,2013 Q4,0.07,0.035
56,2014-01-01,2014 Q1,0.086,0.08
57,2014-04-01,2014 Q2,0.027999999999999997,0.08
58,2014-07-01,2014 Q3,0.034,0.075
59,2014-10-01,2014 Q4,0.055,0.075
60,2015-01-01,2015 Q1,0.035,0.0725
61,2015-04-01,2015 Q2,0.07200000000000001,0.0725
62,2015-07-01,2015 Q3,0.057,0.0725
63,2015-10-01,2015 Q4,0.076,0.0725
64,2016-01-01,2016 Q1,0.049,0.0725
65,2016-04-01,2016 Q2,0.05,0.0725
66,2016-07-01,2016 Q3,-0.006999999999999999,0.0725
67,2016-10-01,2016 Q4,0.044000000000000004,0.0725
68,2017-01-01,2017 Q1,0.053,0.0725
69,2017-04-01,2017 Q2,0.053,0.0725
70,2017-07-01,2017 Q3,0.11800000000000001,0.0725
71,2017-10-01,2017 Q4,0.073,0.0725
72,2018-01-01,2018 Q1,0.075,0.0725
73,2018-04-01,2018 Q2,0.059000000000000004,0.1625
74,2018-07-01,2018 Q3,0.025,0.225
75,2018-10-01,2018 Q4,-0.026000000000000002,0.225
76,2019-01-01,2019 Q1,-0.025,0.225
77,2019-04-01,2019 Q2,-0.016,0.225
78,2019-07-01,2019 Q3,0.01,0.15
79,2019-10-01,2019 Q4,0.059000000000000004,0.105
80,2020-01-01,2020 Q1,0.043,0.0825
81,2020-04-01,2020 Q2,-0.10400000000000001,0.0675
82,2020-07-01,2020 Q3,0.064,0.0875
83,2020-10-01,2020 Q4,0.063,0.155
84,2021-01-01,2021 Q1,0.075,0.175
85,2021-04-01,2021 Q2,0.223,0.175
86,2021-07-01,2021 Q3,0.08,0.165
87,2021-10-01,2021 Q4,0.09699999999999999,0.125
88,2022-01-01,2022 Q1,0.078,0.125
89,2022-04-01,2022 Q2,0.076,0.125
90,2022-07-01,2022 Q3,0.040999999999999995,0.105
91,2022-10-01,2022 Q4,0.033,0.075
92,2023-01-01,2023 Q1,0.04,0.07
93,2023-04-01,2023 Q2,0.039,0.16
94,2023-07-01,2023 Q3,0.061,0.285
95,2023-10-01,2023 Q4,0.04,0.41
