currency_held,item,type,value,date
USD,Gross International Reserves,Assets,21.2093,2023-12-07
Pesos,Government Bonds,Assets,137.9648,2023-12-07
Pesos,Advances to Government,Assets,11.2267,2023-12-07
Pesos,Credit to the Financial Sector,Assets,0.0008,2023-12-07
Pesos,Active Pases Operations,Assets,53.4342,2023-12-07
USD,Other Assets,Assets,5.8797,2023-12-07
Pesos,Monetary Base,Liabilities & Equity,27.7847,2023-12-07
USD,Other Deposits in Foreign Currency,Liabilities & Equity,9.4596,2023-12-07
USD,BCRA Securities (in USD),Liabilities & Equity,5.0508,2023-12-07
Pesos,BCRA Securities (in pesos),Liabilities & Equity,64.2945,2023-12-07
Pesos,Public Sector Deposits,Liabilities & Equity,5.4526,2023-12-07
USD,Liab. w/ Int. Org.,Liabilities & Equity,2.9194,2023-12-07
USD,SDR Allocation,Liabilities & Equity,0.4230,2023-12-07
Pesos,Pasive Pases Operations,Liabilities & Equity,47.8574,2023-12-07
Pesos,Other Liabilities,Liabilities & Equity,25.6411,2023-12-07
NA,Equity,Liabilities & Equity,40.8325,2023-12-07
USD,Gross International Reserves,Assets,29.2397,2024-04-15
Pesos,Government Bonds,Assets,128.3401,2024-04-15
Pesos,Advances to Government,Assets,4.7119,2024-04-15
Pesos,Credit to the Financial Sector,Assets,0.0003,2024-04-15
Pesos,Active Pases Operations,Assets,42.4416,2024-04-15
USD,Other Assets,Assets,5.6336,2024-04-15
Pesos,Monetary Base,Liabilities & Equity,14.2553,2024-04-15
USD,Other Deposits in Foreign Currency,Liabilities & Equity,9.1460,2024-04-15
USD,BCRA Securities (in USD),Liabilities & Equity,8.9986,2024-04-15
Pesos,BCRA Securities (in pesos),Liabilities & Equity,40.6417,2024-04-15
Pesos,Public Sector Deposits,Liabilities & Equity,4.1937,2024-04-15
USD,Liab. w/ Int. Org.,Liabilities & Equity,0.1487,2024-04-15
USD,SDR Allocation,Liabilities & Equity,0.4191,2024-04-15
Pesos,Pasive Pases Operations,Liabilities & Equity,38.4006,2024-04-15
Pesos,Other Liabilities,Liabilities & Equity,25.1207,2024-04-15
NA,Equity,Liabilities & Equity,69.0428,2024-04-15
