Date,Type,Households
1998-01-01,Bed and breakfast hotels,4820.0
1998-04-01,Bed and breakfast hotels,5380.0
1998-07-01,Bed and breakfast hotels,5890.0
1998-10-01,Bed and breakfast hotels,7240.0
1999-01-01,Bed and breakfast hotels,6570.0
1999-04-01,Bed and breakfast hotels,7700.0
1999-07-01,Bed and breakfast hotels,8240.0
1999-10-01,Bed and breakfast hotels,8000.0
2000-01-01,Bed and breakfast hotels,8680.0
2000-04-01,Bed and breakfast hotels,8910.0
2000-07-01,Bed and breakfast hotels,9420.0
2000-10-01,Bed and breakfast hotels,9870.0
2001-01-01,Bed and breakfast hotels,10860.0
2001-04-01,Bed and breakfast hotels,11390.0
2001-07-01,Bed and breakfast hotels,12220.0
2001-10-01,Bed and breakfast hotels,11860.0
2002-01-01,Bed and breakfast hotels,12710.0
2002-04-01,Bed and breakfast hotels,12720.0
2002-07-01,Bed and breakfast hotels,13950.0
2002-10-01,Bed and breakfast hotels,13240.0
2003-01-01,Bed and breakfast hotels,12440.0
2003-04-01,Bed and breakfast hotels,11380.0
2003-07-01,Bed and breakfast hotels,10310.0
2003-10-01,Bed and breakfast hotels,8420.0
2004-01-01,Bed and breakfast hotels,7090.0
2004-04-01,Bed and breakfast hotels,7240.0
2004-07-01,Bed and breakfast hotels,7450.0
2004-10-01,Bed and breakfast hotels,6450.0
2005-01-01,Bed and breakfast hotels,6780.0
2005-04-01,Bed and breakfast hotels,6290.0
2005-07-01,Bed and breakfast hotels,6100.0
2005-10-01,Bed and breakfast hotels,4950.0
2006-01-01,Bed and breakfast hotels,5150.0
2006-04-01,Bed and breakfast hotels,4890.0
2006-07-01,Bed and breakfast hotels,4900.0
2006-10-01,Bed and breakfast hotels,4210.0
2007-01-01,Bed and breakfast hotels,4310.0
2007-04-01,Bed and breakfast hotels,4070.0
2007-07-01,Bed and breakfast hotels,4090.0
2007-10-01,Bed and breakfast hotels,3530.0
2008-01-01,Bed and breakfast hotels,3840.0
2008-04-01,Bed and breakfast hotels,3440.0
2008-07-01,Bed and breakfast hotels,3230.0
2008-10-01,Bed and breakfast hotels,2560.0
2009-01-01,Bed and breakfast hotels,2450.0
2009-04-01,Bed and breakfast hotels,2150.0
2009-07-01,Bed and breakfast hotels,2050.0
2009-10-01,Bed and breakfast hotels,1880.0
2010-01-01,Bed and breakfast hotels,2050.0
2010-04-01,Bed and breakfast hotels,2410.0
2010-07-01,Bed and breakfast hotels,2660.0
2010-10-01,Bed and breakfast hotels,2310.0
2011-01-01,Bed and breakfast hotels,2750.0
2011-04-01,Bed and breakfast hotels,3120.0
2011-07-01,Bed and breakfast hotels,3370.0
2011-10-01,Bed and breakfast hotels,3170.0
2012-01-01,Bed and breakfast hotels,3960.0
2012-04-01,Bed and breakfast hotels,4230.0
2012-07-01,Bed and breakfast hotels,4120.0
2012-10-01,Bed and breakfast hotels,3820.0
2013-01-01,Bed and breakfast hotels,4510.0
2013-04-01,Bed and breakfast hotels,4350.0
2013-07-01,Bed and breakfast hotels,4610.0
2013-10-01,Bed and breakfast hotels,3920.0
2014-01-01,Bed and breakfast hotels,4370.0
2014-04-01,Bed and breakfast hotels,4590.0
2014-07-01,Bed and breakfast hotels,4680.0
2014-10-01,Bed and breakfast hotels,4540.0
2015-01-01,Bed and breakfast hotels,5270.0
2015-04-01,Bed and breakfast hotels,5630.0
2015-07-01,Bed and breakfast hotels,5910.0
2015-10-01,Bed and breakfast hotels,5120.0
2016-01-01,Bed and breakfast hotels,5960.0
2016-04-01,Bed and breakfast hotels,6490.0
2016-07-01,Bed and breakfast hotels,6680.0
2016-10-01,Bed and breakfast hotels,5990.0
2017-01-01,Bed and breakfast hotels,6580.0
2017-04-01,Bed and breakfast hotels,6520.0
2017-07-01,Bed and breakfast hotels,6470.0
2017-10-01,Bed and breakfast hotels,5780.0
2018-01-01,Bed and breakfast hotels,6130.0
2018-04-01,Bed and breakfast hotels,6890.0
2018-07-01,Bed and breakfast hotels,6900.0
2018-10-01,Bed and breakfast hotels,6660.0
2019-01-01,Bed and breakfast hotels,6970.0
2019-04-01,Bed and breakfast hotels,7110.0
2019-07-01,Bed and breakfast hotels,7080.0
2019-10-01,Bed and breakfast hotels,7330.0
2020-01-01,Bed and breakfast hotels,8130.0
2020-04-01,Bed and breakfast hotels,11360.0
2020-07-01,Bed and breakfast hotels,10380.0
2020-10-01,Bed and breakfast hotels,10490.0
2021-01-01,Bed and breakfast hotels,11130.0
2021-04-01,Bed and breakfast hotels,10210.0
2021-07-01,Bed and breakfast hotels,9380.0
2021-10-01,Bed and breakfast hotels,9270.0
2022-01-01,Bed and breakfast hotels,10030.0
2022-04-01,Bed and breakfast hotels,10240.0
2022-07-01,Bed and breakfast hotels,11450.0
2022-10-01,Bed and breakfast hotels,11990.0
2023-01-01,Bed and breakfast hotels,13650.0
2023-04-01,Bed and breakfast hotels,14080.0
2023-07-01,Bed and breakfast hotels,14880.0
1998-01-01,"Private accommodation, nightly paid",
1998-04-01,"Private accommodation, nightly paid",
1998-07-01,"Private accommodation, nightly paid",
1998-10-01,"Private accommodation, nightly paid",
1999-01-01,"Private accommodation, nightly paid",
1999-04-01,"Private accommodation, nightly paid",
1999-07-01,"Private accommodation, nightly paid",
1999-10-01,"Private accommodation, nightly paid",
2000-01-01,"Private accommodation, nightly paid",
2000-04-01,"Private accommodation, nightly paid",
2000-07-01,"Private accommodation, nightly paid",
2000-10-01,"Private accommodation, nightly paid",
2001-01-01,"Private accommodation, nightly paid",
2001-04-01,"Private accommodation, nightly paid",
2001-07-01,"Private accommodation, nightly paid",
2001-10-01,"Private accommodation, nightly paid",
2002-01-01,"Private accommodation, nightly paid",3590.0
2002-04-01,"Private accommodation, nightly paid",3690.0
2002-07-01,"Private accommodation, nightly paid",4130.0
2002-10-01,"Private accommodation, nightly paid",4060.0
2003-01-01,"Private accommodation, nightly paid",4110.0
2003-04-01,"Private accommodation, nightly paid",5020.0
2003-07-01,"Private accommodation, nightly paid",4690.0
2003-10-01,"Private accommodation, nightly paid",3250.0
2004-01-01,"Private accommodation, nightly paid",3260.0
2004-04-01,"Private accommodation, nightly paid",4140.0
2004-07-01,"Private accommodation, nightly paid",4270.0
2004-10-01,"Private accommodation, nightly paid",4180.0
2005-01-01,"Private accommodation, nightly paid",4190.0
2005-04-01,"Private accommodation, nightly paid",4520.0
2005-07-01,"Private accommodation, nightly paid",4520.0
2005-10-01,"Private accommodation, nightly paid",4450.0
2006-01-01,"Private accommodation, nightly paid",4500.0
2006-04-01,"Private accommodation, nightly paid",4570.0
2006-07-01,"Private accommodation, nightly paid",4870.0
2006-10-01,"Private accommodation, nightly paid",4900.0
2007-01-01,"Private accommodation, nightly paid",5140.0
2007-04-01,"Private accommodation, nightly paid",5410.0
2007-07-01,"Private accommodation, nightly paid",5650.0
2007-10-01,"Private accommodation, nightly paid",5780.0
2008-01-01,"Private accommodation, nightly paid",6210.0
2008-04-01,"Private accommodation, nightly paid",5980.0
2008-07-01,"Private accommodation, nightly paid",5680.0
2008-10-01,"Private accommodation, nightly paid",5230.0
2009-01-01,"Private accommodation, nightly paid",4980.0
2009-04-01,"Private accommodation, nightly paid",4570.0
2009-07-01,"Private accommodation, nightly paid",4180.0
2009-10-01,"Private accommodation, nightly paid",3620.0
2010-01-01,"Private accommodation, nightly paid",3380.0
2010-04-01,"Private accommodation, nightly paid",3340.0
2010-07-01,"Private accommodation, nightly paid",3520.0
2010-10-01,"Private accommodation, nightly paid",3590.0
2011-01-01,"Private accommodation, nightly paid",3920.0
2011-04-01,"Private accommodation, nightly paid",4200.0
2011-07-01,"Private accommodation, nightly paid",4350.0
2011-10-01,"Private accommodation, nightly paid",4460.0
2012-01-01,"Private accommodation, nightly paid",4860.0
2012-04-01,"Private accommodation, nightly paid",5370.0
2012-07-01,"Private accommodation, nightly paid",5880.0
2012-10-01,"Private accommodation, nightly paid",6190.0
2013-01-01,"Private accommodation, nightly paid",7000.0
2013-04-01,"Private accommodation, nightly paid",7630.0
2013-07-01,"Private accommodation, nightly paid",8400.0
2013-10-01,"Private accommodation, nightly paid",8660.0
2014-01-01,"Private accommodation, nightly paid",9340.0
2014-04-01,"Private accommodation, nightly paid",10100.0
2014-07-01,"Private accommodation, nightly paid",11750.0
2014-10-01,"Private accommodation, nightly paid",12540.0
2015-01-01,"Private accommodation, nightly paid",13620.0
2015-04-01,"Private accommodation, nightly paid",14870.0
2015-07-01,"Private accommodation, nightly paid",15760.0
2015-10-01,"Private accommodation, nightly paid",16210.0
2016-01-01,"Private accommodation, nightly paid",17060.0
2016-04-01,"Private accommodation, nightly paid",17530.0
2016-07-01,"Private accommodation, nightly paid",18420.0
2016-10-01,"Private accommodation, nightly paid",19080.0
2017-01-01,"Private accommodation, nightly paid",19570.0
2017-04-01,"Private accommodation, nightly paid",20280.0
2017-07-01,"Private accommodation, nightly paid",20650.0
2017-10-01,"Private accommodation, nightly paid",20800.0
2018-01-01,"Private accommodation, nightly paid",21000.0
2018-04-01,"Private accommodation, nightly paid",21050.0
2018-07-01,"Private accommodation, nightly paid",21730.0
2018-10-01,"Private accommodation, nightly paid",22000.0
2019-01-01,"Private accommodation, nightly paid",22330.0
2019-04-01,"Private accommodation, nightly paid",22210.0
2019-07-01,"Private accommodation, nightly paid",21890.0
2019-10-01,"Private accommodation, nightly paid",23260.0
