,Year,England,Wales,Scotland,Northern Ireland
0,1998,102.1,86.9,91.9,80.7
1,1999,102.2,86.6,91.6,79.7
2,2000,102.1,87.0,91.2,83.3
3,2001,102.2,85.5,90.1,84.4
4,2002,102.3,84.4,90.7,82.0
5,2003,102.2,84.7,91.3,82.0
6,2004,102.0,84.5,93.8,81.2
7,2005,102.3,82.6,93.1,80.7
8,2006,102.3,82.2,92.9,81.4
9,2007,102.4,82.2,92.1,81.1
10,2008,102.3,82.0,92.9,79.9
11,2009,101.9,81.7,96.4,80.5
12,2010,101.9,82.2,96.9,78.7
13,2011,101.8,83.2,96.7,81.0
14,2012,101.4,85.0,98.1,83.6
15,2013,101.5,84.6,98.4,81.2
16,2014,101.5,83.0,99.1,80.6
17,2015,101.5,82.2,98.9,83.1
18,2016,101.5,83.2,97.4,85.0
19,2017,101.6,83.2,96.9,82.5
20,2018,101.6,82.4,98.0,82.7
21,2019,101.3,85.3,98.9,82.6
22,2020,101.5,83.9,97.2,83.1
23,2021,101.6,81.9,95.7,89.7
24,2022,101.4,82.7,98.0,86.8
