,Region,Series,Value
0,London,Real GVA,42.09500994366473
1,East Midlands,Real GVA,24.636049637171944
2,East,Real GVA,23.84773657938331
3,North East,Real GVA,9.684318261561666
4,Wales,Real GVA,16.547797547273536
5,West Midlands,Real GVA,20.634666443408396
6,South West,Real GVA,27.53400273469209
7,UK,Real GVA,27.167284644365864
8,Yorkshire & The Humber,Real GVA,20.526300034421837
9,North West,Real GVA,25.050533013215148
10,South East,Real GVA,27.756898458339318
11,Scotland,Real GVA,20.421073263927877
12,Northern Ireland,Real GVA,22.21225365373105
13,London,Hours worked per week,-34.939430915991544
14,East Midlands,Hours worked per week,-18.243036786400914
15,East,Hours worked per week,-15.845581490186936
16,North East,Hours worked per week,-1.4166853910763282
17,Wales,Hours worked per week,-7.869909851857964
18,West Midlands,Hours worked per week,-10.789218055879875
19,South West,Hours worked per week,-15.94792142176367
20,UK,Hours worked per week,-15.21629409172212
21,Yorkshire & The Humber,Hours worked per week,-9.170384806473637
22,North West,Hours worked per week,-12.413972190796736
23,South East,Hours worked per week,-13.821410074611897
24,Scotland,Hours worked per week,-4.428206086884406
25,Northern Ireland,Hours worked per week,-3.5647237740385966
