"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_GREEN","VoteShare_SNP","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining"
"E14000530","ALDERSHOT","Hampshire","South East","England",76205,0.642346302736041,"CON","LAB",0.23438202247191,2017,0.550561797752809,0.316179775280899,0.0743003064351379,0.022267620020429,0,0,0.0366905005107252,0,2.43634726824159,0.0589581205311542
"E14000531","ALDRIDGE-BROWNHILLS","West Midlands","West Midlands","England",60363,0.666550701588722,"CON","LAB",0.355585932645706,2017,0.654082266683236,0.29849633403753,0.0333788989685597,0,0,0,0,0.0140425003106748,1.92962646219958,0.0140425003106748
"E14000532","ALTRINCHAM AND SALE WEST","Greater Manchester","North West","England",73226,0.72091879933357,"CON","LAB",0.121727599924228,2017,0.510191324114416,0.388463724190188,0.076738018564122,0.0189429816253078,0,0,0,0.00566395150596704,2.39533068069089,0.0246069331312749
"E14000533","AMBER VALLEY","Derbyshire","East Midlands","England",68065,0.673047821934915,"CON","LAB",0.181179192770295,2017,0.565475540808976,0.384296348038681,0.0240117002466656,0.0141887319639388,0,0,0,0.0120276789417389,2.13506955005895,0.0262164109056777
"E14000534","ARUNDEL AND SOUTH DOWNS","West Sussex","South East","England",79478,0.758146908578475,"CON","LAB",0.396358868826341,2017,0.623556160382369,0.227197291556028,0.0793779872543813,0.0421866702071163,0,0,0.0276818906001062,0,2.2257450250468,0.0698685608072225
"E14000535","ASHFIELD","Nottinghamshire","East Midlands","England",78076,0.640312003688714,"LAB","CON",0.00882123497289622,2017,0.416938371371992,0.425759606344888,0.0193827135799012,0.00796111455603785,0,0,0.0377052787390235,0.0922529154081571,2.73612629498056,0.137919308703218
"E14000536","ASHFORD","Kent","South East","England",87387,0.685216336526028,"CON","LAB",0.291888642094891,2017,0.589822809332153,0.297934167237262,0.0517877720068805,0.0234138846674126,0,0,0.0370413667562919,0,2.26624806645787,0.0604552514237045
"E14000537","ASHTON-UNDER-LYNE","Greater Manchester","North West","England",67674,0.587714631911813,"LAB","CON",0.28398662409172,2017,0.319563522992985,0.603550147084706,0.016242174339376,0.0134261936489578,0,0,0.0472179619339753,0,2.13189055119067,0.0606441555829331
"E14000538","AYLESBURY","Buckinghamshire","South East","England",82546,0.712124148959368,"CON","LAB",0.249323784087236,2017,0.549699743123012,0.300375959035776,0.0962863412891482,0.0210434989707909,0,0,0.0220471905142643,0.0105472670670092,2.48319660479355,0.0536379565520644
"E14000539","BANBURY","Oxfordshire","South East","England",83824,0.734419736590952,"CON","LAB",0.201406711932686,2017,0.542347552061337,0.340940840128651,0.0560735518664111,0.0198986387706702,0,0,0.0256814268542283,0.0150579903187031,2.41075388226183,0.0606380559436016
"E14000540","BARKING","London","London","England",77022,0.61903092622887,"LAB","CON",0.453197424442627,2017,0.224648167956543,0.677845592399169,0.0125631829526626,0.0151848822332683,0,0,0.0635709641561274,0.00618721030222949,1.94397688107206,0.0849430566916252
"E14000541","BARNSLEY CENTRAL","South Yorkshire","Yorkshire and The Humber","England",64204,0.608793844620273,"LAB","CON",0.397728144907514,2017,0.241410187530381,0.639138332437895,0.0140455906055722,0.0145828536342006,0,0,0.0854248215519226,0.00539821424002865,2.10742308587537,0.105405889426152
"E14000542","BARNSLEY EAST","South Yorkshire","Yorkshire and The Humber","England",69214,0.589129366891091,"LAB","CON",0.325755346282127,2017,0.269692956641161,0.595448302923288,0.0183931724543849,0,0,0,0.0796301746125172,0.0368353933686482,2.2971127322417,0.116465567981165
"E14000543","BARROW AND FURNESS","Cumbria","North West","England",69474,0.68500446210093,"LAB","CON",0.00439167892414372,2017,0.470329901239756,0.4747215801639,0.0268543811725152,0.00787980668207607,0,0,0.0202143307417525,0,2.23332600654873,0.0280941374238285
"E14000544","BASILDON AND BILLERICAY","Essex","Eastern","England",69149,0.649582785000506,"CON","LAB",0.298321385636048,2017,0.609577452246316,0.311256066610268,0.0344627988779554,0,0,0,0.0447036822654615,0,2.12021125876744,0.0447036822654615
"E14000545","BASINGSTOKE","Hampshire","South East","England",81875,0.683480916030534,"CON","LAB",0.16915654038599,2017,0.527340957827019,0.358184417441029,0.0608649035025018,0.0197641172265904,0,0,0.0300393137955683,0.00380629020729092,2.43074463534633,0.0536097212294496
"E14000546","BASSETLAW","Nottinghamshire","East Midlands","England",78540,0.665266106442577,"LAB","CON",0.0928612440191387,2017,0.432822966507177,0.525684210526316,0.0220861244019139,0,0,0,0,0.0194066985645933,2.15264849665081,0.0194066985645933
"E14000547","BATH","Avon","South West","England",66778,0.742505016622241,"LIBDEM","CON",0.114837746808382,2017,0.357824254280701,0.146804348264526,0.472662001089083,0.0227093963656899,0,0,0,0,2.67727010143919,0.0227093963656899
"E14000548","BATLEY AND SPEN","West Yorkshire","Yorkshire and The Humber","England",80161,0.670899814124075,"LAB","CON",0.166623280029751,2017,0.38830420230569,0.554927482335441,0.0227593901078468,0.0129230197099293,0,0,0,0.0210859055410933,2.17460194854289,0.0340089252510227
"E14000549","BATTERSEA","London","London","England",77574,0.709748111480651,"LAB","CON",0.0438809982200588,2017,0.415489120563769,0.459370118783828,0.0799338879000327,0.0157288677394747,0,0,0.00648407134294744,0.0229939336699481,2.55846277260351,0.0452068727523702
"E14000550","BEACONSFIELD","Buckinghamshire","South East","England",77524,0.72271812599969,"CON","LAB",0.438048832726494,2017,0.652513029199686,0.214464196473192,0.0793888769900764,0.0249161133718855,0,0,0.0287177839651603,0,2.0854350066865,0.0536338973370458
"E14000551","BECKENHAM","London","London","England",67925,0.760103054839897,"CON","LAB",0.292213829169088,2017,0.593298469881852,0.301084640712764,0.078888243269417,0.0267286461359675,0,0,0,0,2.22423485480216,0.0267286461359675
"E14000552","BEDFORD","Bedfordshire","Eastern","England",71829,0.674936307062607,"LAB","CON",0.0162747524752475,2017,0.452207095709571,0.468481848184818,0.0585189768976898,0.0207920792079208,0,0,0,0,2.33741370585347,0.0207920792079208
"E14000553","BERMONDSEY AND OLD SOUTHWARK","London","London","England",87282,0.670481886299581,"LAB","LIBDEM",0.221664018044804,2017,0.129543240887886,0.532475521607628,0.310811503562824,0.0109191572256113,0,0,0.0143196459390646,0.00193093077698604,2.51734810391334,0.027169733941662
"E14000554","BERWICK-UPON-TWEED","Northumberland","North East","England",58807,0.717805703402656,"CON","LAB",0.279091253671942,2017,0.524613853880413,0.245522600208472,0.211219558419407,0.0186439874917085,0,0,0,0,2.62838101676369,0.0186439874917085
