"Constituency_Name","ID","Region","Country","ElectorateSize","Votes_CON","VoteShare_CON","Votes_GREEN","VoteShare_GREEN","Votes_LAB","VoteShare_LAB","Votes_LIBDEM","VoteShare_LIBDEM","Votes_REFORM","VoteShare_REFORM","Votes_IND","VoteShare_IND","Votes_OTH","VoteShare_OTH","Votes_UKIP","VoteShare_UKIP","Votes_SNP","VoteShare_SNP","Votes_PC","VoteShare_PC","Votes_APNI","VoteShare_APNI","Votes_DUP","VoteShare_DUP","Votes_SDLP","VoteShare_SDLP","Votes_SF","VoteShare_SF","Votes_UUP","VoteShare_UUP","Votes_TUV","VoteShare_TUV","GE_ElectionYear","TotalVotes","PartyNameWinner","PartyNameRunnerUp","WinMargin","Turnout","ShareMuslimReligion","Constituency","Region_or_Country","Cand_Conservative","Cand_Labour","Cand_LiberalDemocrats","Cand_ReformUK","Cand_Green","Cand_SNP","Cand_PlaidCymru","IncumbentLabour","IncumbentConservative","IncumbentLabourCand","IncumbentConservativeCand","VoteShare_Sans_C_L","gss_code","Leave.preds","Remain.preds","LeavePct","RemainPct"
"Aberafan Maesteg","W07000081","Wales","Wales",69817,2903,0.0812,1094,0.0306,17838,0.4989,916,0.0256,7484,0.2093,618,0.0173,183,0.0051,0,0,0,0,4719,0.132,0,0,0,0,0,0,0,0,0,0,0,0,2024,35755,"LAB","REFORM",0.2896,0.512124554191672,0.00816688092125873,"ABERAFAN MAESTEG","Wales","Abigail Mainon","Stephen Kinnock","Justin Griffiths","Mark Griffiths","Nigel Hill",NA,"Colin Deere",1,0,1,NA,0.1544,"W07000081",29213.5326493197,18330.7585580624,0.614448799370969,0.385551200629031
"Aberdeen North","S14000060","Scotland","Scotland",76895,5881,0.1397,1275,0.0303,12773,0.3034,2583,0.0614,3781,0.0898,0,0,1269,0.0302,0,0,14533,0.3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,42095,"SNP","LAB",0.0418,0.547434813707003,NA,"ABERDEEN NORTH","Scotland","Gillian Tebberen","Lynn Thomson","Desmond Bouse","Kenneth Leggat",NA,"Kirsty Blackman",NA,0,0,NA,NA,0.3754,"S14000060",22093.8776449732,28180.9705694629,0.439461846821232,0.560538153178768
"Aberdeen South","S14000061","Scotland","Scotland",76560,11300,0.2438,1609,0.0347,11455,0.2472,2921,0.063,3199,0.069,225,0.0049,423,0.0091,0,0,15213,0.3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46345,"SNP","LAB",0.0811,0.605342215256008,NA,"ABERDEEN SOUTH","Scotland","John Wheeler","Tauqeer Malik","Jeff Goodhall","Michael Pearce",NA,"Stephen Flynn",NA,0,0,NA,NA,0.3423,"S14000061",18635.1223550268,35804.0294305371,0.342311034316453,0.657688965683547
"Aberdeenshire North and Moray East","S14000062","Scotland","Scotland",71485,12513,0.3277,0,0,3876,0.1015,2782,0.0729,5562,0.1456,0,0,0,0,0,0,13455,0.3523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,38188,"SNP","CON",0.0245999999999999,0.534209974120445,NA,"ABERDEENSHIRE NORTH AND MORAY EAST","Scotland","Douglas Ross","Andrew Brown","Ian Bailey","Jo Hart",NA,"Seamus Logan",NA,0,1,NA,0,0.3523,"S14000062",26491.7391816375,22164.0867834458,0.544472088515128,0.455527911484872
"Airdrie and Shotts","S14000063","Scotland","Scotland",70420,1696,0.0463,0,0,18871,0.5147,725,0.0198,2971,0.081,0,0,1079,0.0294,0,0,11324,0.3088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,36666,"LAB","SNP",0.2059,0.520675944333996,NA,"AIRDRIE AND SHOTTS","Scotland","Alexandra Herdman","Kenneth Stevenson","Lewis Younie","David Hall",NA,"Anum Qaisar",NA,0,0,NA,NA,0.3382,"S14000063",16123.2073415328,24811.6929136118,0.393874352717067,0.606125647282933
"Aldershot","E14001063","South East","England",76765,14081,0.2901,2155,0.0444,19764,0.4071,4052,0.0835,8210,0.1691,0,0,282,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48544,"LAB","CON",0.117,0.632371523480753,0.0222237359717988,"ALDERSHOT","South East","Leo Docherty","Alex Baker","Paul Harris","Trevor Lloyd-Jones","Ed Neville",NA,NA,0,1,NA,1,0.00579999999999997,"E14001063",34073.959055532,24810.0493086978,0.57866235676019,0.42133764323981
"Aldridge-Brownhills","E14001064","West Midlands","England",73122,15901,0.3881,1746,0.0426,11670,0.2848,1755,0.0428,9903,0.2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,40975,"CON","LAB",0.1033,0.560364869669867,0.0219564288765484,"ALDRIDGE-BROWNHILLS","West Midlands","Wendy Morton","Luke John Davies","Ian Garrett","Graham Eardley","Clare Nash",NA,NA,0,1,NA,1,-2.77555756156289e-17,"E14001064",36031.3625382553,17041.7190110411,0.678900894510674,0.321099105489326
"Alloa and Grangemouth","S14000064","Scotland","Scotland",72265,3127,0.0772,1421,0.0351,18039,0.4456,1151,0.0284,3084,0.0762,881,0.0218,861,0.0213,0,0,11917,0.2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,40481,"LAB","SNP",0.1512,0.56017435826472,NA,"ALLOA AND GRANGEMOUTH","Scotland","Rachel Nunn","Brian Leishman","Adrian May","Richard Fairley",NA,"John Nicolson",NA,0,0,NA,NA,0.3375,"S14000064",20373.2125340094,25867.6703060555,0.440588744909455,0.559411255090545
"Altrincham and Sale West","E14001065","North West","England",73934,16624,0.3231,3699,0.0719,20798,0.4042,4727,0.0919,4961,0.0964,0,0,643,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,51452,"LAB","CON",0.0811,0.695917980901886,0.0641319103817989,"ALTRINCHAM AND SALE WEST","North West","Oliver Carroll","Connor Rand","Jane Brophy","Paul Swansborough","Geraldine Coggins",NA,NA,0,1,NA,0,0.0125000000000001,"E14001065",22230.8859384733,35696.7937310537,0.383769660122739,0.616230339877261
"Alyn and Deeside","W07000082","Wales","Wales",75695,7892,0.1819,1926,0.0444,18395,0.4239,2065,0.0476,9601,0.2213,1575,0.0363,0,0,0,0,0,0,1938,0.0447,0,0,0,0,0,0,0,0,0,0,0,0,2024,43392,"LAB","REFORM",0.2026,0.573247902767686,0.00554423634511401,"ALYN AND DEESIDE","Wales","Jeremy Kent","Mark Tami","Richard Marbrow","Vicky Roskams","Karl Macnaughton",NA,"Jack Morris",1,0,1,NA,0.0809000000000001,"W07000082",32794.0974122873,21634.1562630813,0.602519742924036,0.397480257075964
