year,value
1991-01-01,0.37
1992-01-01,0.43
1993-01-01,0.5
1994-01-01,0.54
1995-01-01,0.56
1996-01-01,0.57
1997-01-01,0.57
1998-01-01,0.56
1999-01-01,0.56
2000-01-01,0.55
2001-01-01,0.55
2002-01-01,0.56
2003-01-01,0.57
2004-01-01,0.57
2005-01-01,0.57
2006-01-01,0.57
2007-01-01,0.57
2008-01-01,0.58
2009-01-01,0.59
2010-01-01,0.59
2011-01-01,0.59
2012-01-01,0.6
2013-01-01,0.6
2014-01-01,0.61
2015-01-01,0.61
2016-01-01,0.62
2017-01-01,0.62
2018-01-01,0.62
2019-01-01,0.64
2020-01-01,0.65
2021-01-01,0.64
2022-01-01,0.65
2023-01-01,0.66
