year,government
1945,Labour
1946,Labour
1947,Labour
1948,Labour
1949,Labour
1950,Labour
1951,Conservative
1952,Conservative
1953,Conservative
1954,Conservative
1955,Conservative
1956,Conservative
1957,Conservative
1958,Conservative
1959,Conservative
1960,Conservative
1961,Conservative
1962,Conservative
1963,Conservative
1964,Labour
1965,Labour
1966,Labour
1967,Labour
1968,Labour
1969,Labour
1970,Conservative
1971,Conservative
1972,Conservative
1973,Conservative
1974,Labour
1975,Labour
1976,Labour
1977,Labour
1978,Labour
1979,Conservative
1980,Conservative
1981,Conservative
1982,Conservative
1983,Conservative
1984,Conservative
1985,Conservative
1986,Conservative
1987,Conservative
1988,Conservative
1989,Conservative
1990,Conservative
1991,Conservative
1992,Conservative
1993,Conservative
1994,Conservative
1995,Conservative
1996,Conservative
1997,Labour
1998,Labour
1999,Labour
2000,Labour
2001,Labour
2002,Labour
2003,Labour
2004,Labour
2005,Labour
2006,Labour
2007,Labour
2008,Labour
2009,Labour
2010,Conservative
2011,Conservative
2012,Conservative
2013,Conservative
2014,Conservative
2015,Conservative
2016,Conservative
2017,Conservative
2018,Conservative
2019,Conservative
2020,Conservative
2021,Conservative
2022,Conservative
2023,Conservative
2024,Labour
2025,Labour
2026,Labour
