Source:  https://www.whatscotlandthinks.org/questions/how-would-you-be-likely-to-use-your-constituency-vote-in-a-scottish-parliament-election-asked-since-2024-general-election-incl-reform-alba-separately/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fieldwork end date,23-Apr-26,21-Apr-26,20-Apr-26,18-Apr-26,10-Apr-26,8-Apr-26,1-Apr-26,31-Mar-26,31-Mar-26,23-Mar-26,25-Feb-26,25-Feb-26,19-Feb-26,18-Feb-26,13-Feb-26,10-Feb-26,3-Feb-26,16-Jan-26,14-Jan-26,12-Jan-26,19-Dec-25,3-Dec-25,14-Oct-25,8-Oct-25,25-Sep-25,21-Sep-25,16-Sep-25,1-Sep-25,18-Jun-25,30-May-25,5-May-25,11-Apr-25,13-Mar-25,20-Jan-25,14-Jan-25,13-Jan-25,24-Dec-24,6-Dec-24,15-Nov-24,1-Nov-24,13-Sep-24,11-Sep-24,29-Aug-24,22-Aug-24
Pollster,Poll bySurvation,Poll bySurvation,Poll byFindOutNow,Poll byJL Partners,Poll byMore in Common,Poll byYouGov,Poll byNorstat,Poll byIpsos,Poll byFind Out Now,Poll bySurvation,Poll byIpsos,Poll bySurvation,Poll byFind Out Now,Poll byYouGov,Poll byNorstat,Poll byMore in Common,Poll byMore in Common,Poll byNorstat,Poll byYouGov,Poll bySurvation,Poll byFind Out Now,Poll byIpsos,Poll bySurvation,Poll byFindOutNow,Poll byNorstat,Poll byFind Out Now,Poll bySurvation,Poll byMore in Common,Poll byIpsos,Poll byNorstat,Poll bySurvation,Poll byFind Out Now,Poll bySurvation,Poll byFindOutNow,Poll byNorstat,Poll bySurvation,Poll byFindOutNow,Poll byNorstat,Poll bySurvation,Poll byNorstat,Poll bySurvation,Poll byOpinium,Poll bySurvation,Poll byNorstat
Conservative,12%,13%,9%,10%,12%,8%,11%,11%,10%,11%,9%,12%,7%,10%,10%,11%,11%,11%,10%,13%,9%,11%,10%,8%,10%,10%,11%,12%,10%,13%,11%,12%,12%,13%,15%,14%,15%,14%,14%,15%,13%,12%,12%,12%
Labour,18%,20%,14%,20%,19%,18%,19%,15%,18%,19%,20%,18%,12%,14%,17%,19%,18%,19%,15%,16%,14%,16%,18%,17%,17%,14%,20%,17%,23%,19%,19%,15%,23%,20%,18%,22%,19%,21%,27%,23%,31%,25%,30%,30%
Liberal Democrat,10%,10%,10%,9%,11%,10%,10%,10%,10%,8%,10%,9%,9%,10%,8%,11%,10%,9%,10%,9%,9%,9%,8%,10%,11%,11%,7%,12%,9%,8%,11%,12%,8%,9%,11%,8%,9%,10%,9%,10%,8%,8%,9%,8%
Scottish National Party,38%,35%,35%,32%,32%,41%,34%,39%,34%,35%,36%,37%,36%,34%,35%,33%,35%,35%,34%,34%,34%,35%,34%,35%,34%,33%,37%,37%,34%,33%,33%,35%,34%,34%,35%,35%,35%,37%,32%,33%,31%,32%,31%,33%
Reform UK,20%,20%,16%,18%,18%,19%,15%,15%,15%,19%,16%,17%,21%,18%,19%,18%,19%,17%,20%,19%,21%,18%,22%,16%,20%,19%,18%,16%,14%,18%,19%,12%,17%,13%,14%,13%,11%,12%,10%,11%,9%,12%,9%,9%
Green,2%,1%,12%,9%,7%,2%,8%,7%,9%,8%,7%,6%,10%,11%,8%,6%,5%,7%,9%,8%,9%,9%,7%,9%,7%,10%,5%,5%,9%,7%,5%,9%,4%,9%,6%,6%,7%,5%,6%,6%,6%,7%,6%,5%
Alba,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,*,*,2%,0%,0%,0%,0%,0%,0%,1%,2%,*,1%,2%,0%,2%,1%,*,1%,0%,1%,3%,1%,2%,0%,1%,2%,0%,0%,0%,1%,0%,1%,0%
Other,2%,1%,4%,3%,2%,1%,3%,3%,4%,1%,1%,1%,3%,2%,2%,2%,2%,2%,2%,*,2%,2%,1%,1%,2%,2%,1%,*,*,2%,*,2%,*,0%,2%,0%,2%,2%,0%,0%,0%,3%,0%,2%
