DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,VARIABLE,VARIABLE_NAME,VARIABLE_CODE,VARIABLE_TYPE,VARIABLE_TYPECODE,VARIABLE_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957697,United Kingdom,K02000001,countries,499,0,111,% who are economically inactive - aged 16-64,111,variable,0,0,20599,Variable,23.7,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957697d40b22d20599,0,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957697,United Kingdom,K02000001,countries,499,0,111,% who are economically inactive - aged 16-64,111,variable,0,0,21001,Numerator,9182700.0,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957697d40b22d21001,1,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957697,United Kingdom,K02000001,countries,499,0,111,% who are economically inactive - aged 16-64,111,variable,0,0,21002,Denominator,38753300.0,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957697d40b22d21002,2,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957697,United Kingdom,K02000001,countries,499,0,111,% who are economically inactive - aged 16-64,111,variable,0,0,21003,Confidence,0.2,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957697d40b22d21003,3,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,111,% who are economically inactive - aged 16-64,111,variable,0,0,20599,Variable,23.5,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957698d40b22d20599,4,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,111,% who are economically inactive - aged 16-64,111,variable,0,0,21001,Numerator,8853800.0,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957698d40b22d21001,5,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,111,% who are economically inactive - aged 16-64,111,variable,0,0,21002,Denominator,37648300.0,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957698d40b22d21002,6,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,111,% who are economically inactive - aged 16-64,111,variable,0,0,21003,Confidence,0.2,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957698d40b22d21003,7,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957699,England,E92000001,countries,499,2,111,% who are economically inactive - aged 16-64,111,variable,0,0,20599,Variable,23.4,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957699d40b22d20599,8,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957699,England,E92000001,countries,499,2,111,% who are economically inactive - aged 16-64,111,variable,0,0,21001,Numerator,7590100.0,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957699d40b22d21001,9,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957699,England,E92000001,countries,499,2,111,% who are economically inactive - aged 16-64,111,variable,0,0,21002,Denominator,32467100.0,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957699d40b22d21002,10,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957699,England,E92000001,countries,499,2,111,% who are economically inactive - aged 16-64,111,variable,0,0,21003,Confidence,0.2,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957699d40b22d21003,11,532
2005-12,Jan 2005-Dec 2005,2005-12,date,0,0,2092957700,Wales,W92000004,countries,499,3,111,% who are economically inactive - aged 16-64,111,variable,0,0,20599,Variable,27.0,A,Normal Value,F,Free (free for publication),Nm-17d5d32092e0d2092957700d40b22d20599,12,532
