date,value
1970-01-01,1.616
1971-01-01,1.492
1972-01-01,1.422
1973-01-01,1.405
1974-01-01,1.248
1975-01-01,1.094
1976-01-01,1.06
1977-01-01,0.984
1978-01-01,0.934
1979-01-01,0.961
1980-01-01,0.929
1981-01-01,0.903
1982-01-01,0.81
1983-01-01,0.799
1984-01-01,0.797
1985-01-01,0.666
1986-01-01,0.533
1987-01-01,0.507
1988-01-01,0.381
1989-01-01,0.232
1990-01-01,0.16
1991-01-01,0.188
1992-01-01,0.14
1993-01-01,0.172
1994-01-01,0.223
1995-01-01,0.416
1996-01-01,0.399
1997-01-01,0.422
1998-01-01,0.314
1999-01-01,0.267
2000-01-01,0.303
2001-01-01,0.127
2002-01-01,0.239
2003-01-01,0.092
2004-01-01,0.021
2005-01-01,0.135
2006-01-01,0.213
2007-01-01,0.162
2008-01-01,0.343
2009-01-01,0.289
2010-01-01,0.221
2011-01-01,0.4
2012-01-01,0.396
2013-01-01,0.464
2014-01-01,0.436
2015-01-01,0.46972
2016-01-01,0.42103
