"Category","Conservative","Labour","Liberal Democrat","Scottish National Party","Other","Navigator 1"
1585192500000,27,16,5,48,3,27
1587957200000,25,15,6,51,3,25
1588648200000,26,17,5,50,2,26
1591326700000,21,19,6,51,3,21
1593745700000,21,19,6,53,2,21
1597028800000,20,16,5,54,4,20
1599447900000,20,21,6,51,3,20
1600657400000,18,15,7,56,4,18
1604372500000,18,20,8,52,2,18
1604977200000,19,17,4,53,7,19
1605063500000,21,20,5,50,3,21
1607482600000,20,21,6,51,3,20
1610506500000,19,23,7,48,3,19
1611284000000,21,19,6,50,3,21
1614307900000,23,21,6,48,2,23
1615171800000,23,17,5,50,4,23
1615517100000,22,23,7,46,2,22
1615862900000,23,19,5,50,4,23
1616035400000,21,21,7,49,2,21
1616122000000,21,19,7,47,6,21
1616380700000,24,17,4,49,6,24
1617072100000,21,21,8,49,1,21
1617676800000,24,19,4,50,3,24
1618886200000,24,19,4,48,6,24
1619058900000,21,22,8,47,2,21
1619144700000,22,20,8,48,3,22
1619404200000,22,19,7,45,7,22
1619404300000,22,22,8,46,2,22
1619750000000,20,20,7,48,5,20
1620008900000,25,20,6,47,1,25
1620095200000,22,19,5,48,7,22
1624501400000,25,18,6,47,4,25
1631067700000,21,17,5,51,6,21
1631240400000,23,19,7,47,4,23
1635214700000,21,21,7,48,4,21
1636683400000,21,20,7,48,3,21
1637547300000,20,18,6,48,7,20
1640139200000,17,22,7,48,6,17
1643940000000,20,24,8,44,4,20
1648433500000,19,27,6,45,2,19
1648692600000,19,26,6,42,7,19
1651198100000,21,24,7,42,5,21
1653271600000,19,22,6,46,6,19
1653789900000,19,23,10,44,4,19
1656381800000,18,25,8,46,3,18
1660009200000,18,26,7,46,2,18
1660701700000,20,23,8,44,5,20
1664416500000,15,31,6,44,4,15
1664848600000,15,30,7,46,2,15
1664848700000,12,31,7,45,5,12
1665107600000,15,30,5,45,4,15
1665453100000,16,30,6,42,6,16
1669513800000,16,31,8,41,5,16
1670204900000,13,25,6,51,4,13
1670550400000,14,29,6,43,8,14
1671155000000,17,28,6,45,4,17
1671587100000,19,30,6,43,2,19
1672537300000,16,31,6,44,3,16
1673487500000,18,29,7,43,2,18
1674697000000,15,29,6,42,8,15
1675733700000,18,29,6,42,4,18
1676597500000,17,30,6,43,3,17
1676597600000,17,32,6,42,3,17
1676856600000,19,29,6,38,8,19
1677201700000,19,28,7,43,4,19
1677979700000,22,29,6,39,5,22
1678411400000,16,33,6,40,5,16
1678411600000,18,32,6,40,5,18
1678670700000,16,29,6,39,10,16
1680139200000,19,31,5,39,6,19
1680225500000,19,33,6,39,4,19
1680311800000,19,31,10,36,5,19
1680484500000,17,32,7,40,4,17
1681953200000,17,28,8,37,9,17
1682989900000,18,32,9,35,6,18
1683076200000,18,31,9,38,4,18
1684631300000,17,29,6,41,6,17
1685927200000,20,28,9,37,6,20
1686704700000,17,34,7,38,4,17
1686791000000,18,34,7,34,7,18
1687914100000,17,34,9,37,4,17
1688259600000,21,32,7,35,4,21
1691283500000,17,34,7,37,5,17
1691456200000,15,32,6,36,11,15
1692320100000,17,35,6,37,5,17
1693788800000,15,35,8,35,7,15
1694566300000,16,27,7,38,12,16
1694652500000,18,28,8,37,8,18
1696466800000,18,33,8,37,4,18
1696467000000,21,32,9,34,4,21
1696553100000,20,32,5,33,9,20
1696985000000,19,35,6,35,4,19
1698626500000,23,32,8,32,5,23
1700959200000,15,30,6,40,5,15
1701045500000,17,36,6,34,6,17
1704933400000,17,35,9,35,5,17
1706142800000,16,34,8,36,7,16
1706142900000,16,36,7,33,8,16
1706661100000,14,32,6,39,8,14
1707006600000,18,34,8,33,7,18
1708388900000,15,33,8,38,7,15
1710116800000,16,34,6,34,10,16
1712017500000,14,33,7,31,15,14
1712449400000,17,33,8,32,9,17
1712881300000,16,32,9,32,11,16
1714350000000,14,34,8,33,11,14
1714695500000,16,34,8,29,14,16
1715127400000,17,37,7,33,6,17
1715213700000,14,38,8,31,9,14
1715904800000,12,39,8,29,13,12
1716595900000,17,35,10,30,8,17
1716768600000,17,36,9,32,6,17
1716854900000,17,37,7,33,5,17
1717286800000,17,39,8,29,9,17
1717891400000,13,36,5,36,8,13
1717977900000,14,35,8,34,9,14
1718323300000,14,34,9,30,13,14
1718668800000,15,38,7,33,7,15
