"Category","Yes","No","Navigator 1"
1466831000000,53,47,53
1466917500000,52,48,52
1467090400000,53,47,53
1469423300000,47,53,47
1472620200000,47,53,47
1472965900000,47,53,47
1473484600000,47,53,47
1473570800000,47,53,47
1473916500000,47,53,47
1475558300000,45,55,45
1480396800000,44,56,44
1481606500000,46,54,46
1485408200000,46,54,46
1485840300000,49,51,49
1486963600000,46,54,46
1488173400000,48,52,48
1488778100000,51,49,51
1489383200000,47,53,47
1489469500000,44,56,44
1489728900000,44,56,44
1491889200000,49,51,49
1491889300000,39,61,39
1492753000000,45,55,45
1492753100000,47,53,47
1493271800000,45,55,45
1495086300000,44,56,44
1495691200000,47,53,47
1496209800000,45,55,45
1496382500000,46,54,46
1496641900000,43,57,43
1496814800000,39,61,39
1496814900000,44,56,44
1497335100000,42,58,42
1504763800000,43,57,43
1505195900000,46,54,46
1507183200000,44,56,44
1512021700000,47,53,47
1512453800000,46,54,46
1516082700000,43,57,43
1517119600000,46,54,46
1520748500000,48,52,48
1522217400000,44,56,44
1528179100000,45,55,45
1528870400000,44,56,44
1531203300000,47,53,47
1538461100000,47,53,47
1538633800000,44,56,44
1538720400000,46,54,46
1540102900000,45,55,45
1541571800000,45,55,45
1543991200000,47,53,47
1556081500000,47,53,47
1556254700000,49,51,49
1558068400000,48,52,48
1561006800000,49,51,49
1564721800000,52,48,52
1567486400000,49,51,49
1570769400000,49,51,49
1574398500000,49,51,49
1574658100000,50,50,50
1575607500000,44,56,44
1575607700000,47,53,47
1576039400000,49,51,49
1579668000000,50,50,50
1580100100000,51,49,51
1580445500000,52,48,52
1581655000000,49,51,49
1585197300000,49,51,49
1588653200000,50,50,50
1591331500000,52,48,52
1592541000000,54,46,54
1593750500000,54,46,54
1597033600000,53,47,53
1597292600000,54,46,54
1597724700000,55,45,55
1599452500000,53,47,53
1600661800000,56,44,56
1602217100000,59,41,59
1602217200000,53,47,53
1604376900000,54,46,54
1604981600000,51,49,51
1605067900000,56,44,56
1606363800000,56,44,56
1607486900000,51,49,51
1608005200000,56,44,56
1610510600000,51,49,51
1610510700000,52,48,52
1611288100000,53,47,53
1612843200000,48,52,48
1613879900000,52,48,52
1613966100000,52,48,52
1614311800000,49,51,49
1614570100000,56,44,56
1614829800000,49,51,49
1614916300000,48,52,48
1614916400000,49,51,49
1615175300000,49,51,49
1615261200000,54,46,54
1615348000000,49,51,49
1615866300000,51,49,51
1616038700000,49,51,49
1616125400000,52,48,52
1616724000000,53,47,53
1617075400000,51,49,51
1617248100000,51,49,51
1617507200000,52,48,52
1617679800000,51,49,51
1617766300000,50,50,50
1618198100000,51,49,51
1618802500000,49,51,49
1618889100000,48,52,48
1618889200000,46,54,46
1619061800000,49,51,49
1619147000000,49,51,49
1619406800000,47,53,47
1619407100000,49,51,49
1619493600000,46,54,46
1619752500000,52,48,52
1619752600000,50,50,50
1620011100000,50,50,50
1620011500000,50,50,50
1620097600000,48,52,48
1620097700000,47,53,47
1620097800000,46,54,46
1620442800000,50,50,50
1620961300000,47,53,47
1624503500000,48,52,48
1628132200000,48,52,48
1631069400000,48,52,48
1631069700000,51,49,51
