Month,Energy,Food,Grain
2020M01,76.05782806,93.87050824,93.6377007
2020M02,66.30874083,90.51275431,91.8628447
2020M03,42.64724776,88.03062978,92.49172735
2020M04,31.63231012,85.62447868,94.52675485
2020M05,39.2468758,85.43117588,88.23017028
2020M06,48.5231595,88.31757642,88.91421285
2020M07,51.64974549,89.20199806,90.12675638
2020M08,54.30174528,91.16760818,91.06280822
2020M09,51.16881772,95.15748563,97.65313831
2020M10,51.62079341,98.80439155,102.7597617
2020M11,55.30181595,103.9994353,104.7973934
2020M12,63.74668437,107.3414966,108.11469
2021M01,69.88256612,115.0236255,119.9539124
2021M02,80.38194347,116.6348989,123.1775227
2021M03,80.76523673,115.3103839,119.4400324
2021M04,80.80171767,119.8403542,123.6525644
2021M05,86.28486081,127.6437155,133.6775704
2021M06,93.91895278,123.3795365,127.9957464
2021M07,98.28941653,122.2776324,122.7418738
2021M08,96.32359893,122.9151855,120.7296856
2021M09,107.1785864,120.3124424,118.273008
2021M10,123.3698921,121.9299332,121.1747394
2021M11,115.0087034,122.9450406,125.9315945
2021M12,112.3729584,122.8972888,129.1485537
2022M01,121.3098856,128.6933272,133.2281588
2022M02,133.3142406,136.5669112,138.6397233
2022M03,166.732393,151.9986627,158.6890306
2022M04,153.1865916,152.8788721,164.6031297
2022M05,163.6329977,153.0657137,169.0373474
2022M06,173.4822111,145.4171293,157.9252042
2022M07,171.7525065,132.6878447,144.8282245
2022M08,172.7708643,131.4698215,138.381043
2022M09,158.1736384,131.2497319,148.127569
2022M10,146.1725229,132.156264,156.6013334
2022M11,139.4413605,131.6888562,150.4792469
2022M12,130.9180477,129.5368272,143.9347627
2023M01,119.2948354,130.0315886,146.4624135
2023M02,110.5301241,131.0166148,145.5297787
2023M03,103.4658415,127.5717766,138.2632912
2023M04,109.2643708,130.9495491,142.6341095
2023M05,96.90788942,126.8912026,136.9313586
2023M06,95.17403636,122.5602427,134.3597176
2023M07,100.8588161,123.9348493,130.9683272
2023M08,108.7120064,121.6673677,125.3262652
2023M09,117.7293065,124.460962,127.7787612
2023M10,115.6835987,122.5667485,125.5285652
2023M11,106.1951429,123.6727097,120.0531197
2023M12,99.60816189,120.005026,122.6536461
