date,value,source
1948-01-01,0.8,ONS. Balance of Payments Time Series
1949-01-01,0.4,
1950-01-01,2.8,
1951-01-01,-2.2,
1952-01-01,1.6,
1953-01-01,1.3,
1954-01-01,1.0,
1955-01-01,-0.5,
1956-01-01,1.3,
1957-01-01,1.3,
1958-01-01,1.7,
1959-01-01,0.8,
1960-01-01,-0.7,
1961-01-01,0.3,
1962-01-01,0.7,
1963-01-01,0.6,
1964-01-01,-1.0,
1965-01-01,-0.1,
1966-01-01,0.4,
1967-01-01,-0.7,
1968-01-01,-0.6,
1969-01-01,0.9,
1970-01-01,1.4,
1971-01-01,1.7,
1972-01-01,0.1,
1973-01-01,-1.4,
1974-01-01,-3.6,
1975-01-01,-1.5,
1976-01-01,-0.7,
1977-01-01,-0.2,
1978-01-01,0.4,
1979-01-01,-0.4,
1980-01-01,0.7,
1981-01-01,1.7,
1982-01-01,0.7,
1983-01-01,0.4,
1984-01-01,-0.3,
1985-01-01,-0.1,
1986-01-01,-0.7,
1987-01-01,-1.3,
1988-01-01,-3.3,
1989-01-01,-3.8,
1990-01-01,-2.8,
1991-01-01,-1.1,
1992-01-01,-1.3,
1993-01-01,-1.1,
1994-01-01,-0.2,
1995-01-01,-0.4,
1996-01-01,-0.3,
1997-01-01,-0.1,
1998-01-01,-0.3,
1999-01-01,-2.1,
2000-01-01,-1.8,
2001-01-01,-1.8,
2002-01-01,-2.0,
2003-01-01,-1.8,
2004-01-01,-2.3,
2005-01-01,-2.0,
2006-01-01,-3.1,
2007-01-01,-3.7,
2008-01-01,-3.9,
2009-01-01,-3.1,
2010-01-01,-2.8,
2011-01-01,-1.6,
2012-01-01,-3.1,
2013-01-01,-4.6,
2014-01-01,-5.0,
2015-01-01,-4.9,
2016-01-01,-5.4,
2017-01-01,-3.5,
2018-01-01,-3.9,
2019-01-01,-2.7,
2020-01-01,-2.9,
2021-01-01,-0.5,
2022-01-01,-3.1,
2023-01-01,-3.3,
