Regions,Population,Population Growth Rate 2012-2018 (%),Female Rate (%),Youth Rate (%),Replacement Rate,Life Expectancy (Years),Disposable Income (USD-PPP per Cap),GRP (USD-PPP per Cap),Gini Coefficient,Composite Index
Alaska,735139,0.1,47.8,20.9,1.3,78.8,55735,74454,0.432,6.15
Northwest Territories,44956,0.5,48.6,20.3,1.4,77,32810,87799,0.328,6.11
Nunavut,38139,1.6,48.6,32,1,71.6,23189,74852,0.379,5.43
Yukon,40612,1.9,49.1,16.8,1.5,79,33006,62588,0.295,6.27
Faroe Islands,50475,0.8,48.5,21.1,1.2,82.4,21449,57554,0.227,6.38
Lapland,178522,-0.4,50,15.1,1.4,80.5,22314,45542,0.243,4.86
Northern Ostrobothnia,412161,0.3,49.5,19.6,1.3,81.6,21315,40573,0.263,5.41
Kainuu,73061,-1,49.7,14.1,1.4,80.3,22455,38840,0.241,4.63
Greenland,55877,-0.3,47.2,21,1.3,70.8,15543,50901,0.354,4.56
Iceland,348450,1.4,49,19.3,1.4,82.9,21358,59467,0.234,6.66
Finnmark,76167,0.5,48.5,16.5,1.4,79.8,24323,46138,0.224,5.68
Nordland,243335,0.3,49.3,16.5,1.4,81.1,23536,45241,0.217,5.66
Troms,166499,0.8,49.1,16.8,1.4,81.7,25375,47623,0.222,6.18
Norrbotten,250497,0.1,48.8,15.4,1.4,81.1,22889,55888,0.253,5.21
VŠsterbotten,270154,0.6,49.3,16.8,1.4,82,21717,46908,0.264,5.51
Arkhangelsk,1155028,-0.8,53.1,17.9,1.4,72.1,15358,28630,0.382,3.66
Chukotka,49348,-0.5,49.2,21.6,1.3,63.6,34941,63919,0.405,5.15
Karelia,622484,-0.5,54.4,17.3,1.4,70.6,12541,18157,0.341,3.39
Yamal-Nenets,538547,0.1,50.4,22.8,1.4,74.1,34144,231116,0.435,6.4
Komi,840873,-0.9,52.8,19.2,1.4,71.1,14014,31958,0.382,3.91
Magadan,144091,-1.2,51.6,17.8,1.5,69.6,25466,47826,0.388,4.6
Murmansk,753557,-0.7,52,17.6,1.4,71.7,17102,25848,0.356,4.32
Sakha,964330,0.1,51.5,23.5,1.3,72.7,18819,45397,0.405,4.88
