ISO3,Country,Type of indicator,Family type,Earnings of the first adult,Include social assistance benefits,Include housing benefits,Year,Value,Rank_Single,Rank_Couple
AUS,Australia,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.11,25.5,0.0
BEL,Belgium,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.06,17.0,0.0
CAN,Canada,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,-0.01,1.0,0.0
CZE,Czechia,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.4,32.0,0.0
DEU,Germany,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.0,6.5,0.0
ESP,Spain,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.14,29.0,0.0
EST,Estonia,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.0,6.5,0.0
FRA,France,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.03,13.5,0.0
GBR,United Kingdom,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.07,19.5,0.0
GRC,Greece,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.0,6.5,0.0
HUN,Hungary,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.03,13.5,0.0
IRL,Ireland,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.11,25.5,0.0
ISR,Israel,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.11,25.5,0.0
JPN,Japan,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.02,12.0,0.0
KOR,Korea,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.07,19.5,0.0
LTU,Lithuania,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.07,19.5,0.0
LUX,Luxembourg,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.0,6.5,0.0
LVA,Latvia,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.0,6.5,0.0
NLD,Netherlands,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.09,22.0,0.0
NZL,New Zealand,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.13,28.0,0.0
OECD,OECD averages,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.07,19.5,0.0
POL,Poland,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.1,23.0,0.0
PRT,Portugal,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.0,6.5,0.0
SVK,Slovak Republic,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.16,30.0,0.0
SVN,Slovenia,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.11,25.5,0.0
TUR,Türkiye,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.0,0.0,0.0
USA,United States,Percentage of net household income,Single: 2 children,Minimum Wage,Yes,Yes,2022,0.0,6.5,0.0
AUS,Australia,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.1,0.0,24.5
BEL,Belgium,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.07,0.0,18.5
CAN,Canada,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,-0.01,0.0,1.0
CZE,Czechia,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.27,0.0,31.0
DEU,Germany,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.0,0.0,6.0
ESP,Spain,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.09,0.0,22.5
EST,Estonia,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.0,0.0,6.0
FRA,France,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.06,0.0,17.0
GBR,United Kingdom,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.05,0.0,15.5
GRC,Greece,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.0,0.0,6.0
HUN,Hungary,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.1,0.0,24.5
IRL,Ireland,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.11,0.0,27.0
ISR,Israel,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.12,0.0,29.0
JPN,Japan,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.02,0.0,11.5
KOR,Korea,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.05,0.0,15.5
LTU,Lithuania,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.09,0.0,22.5
LUX,Luxembourg,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.02,0.0,11.5
LVA,Latvia,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.0,0.0,6.0
NLD,Netherlands,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.11,0.0,27.0
NZL,New Zealand,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.33,0.0,32.0
OECD,OECD averages,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.07,0.0,18.5
POL,Poland,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.08,0.0,20.5
PRT,Portugal,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.0,0.0,6.0
SVK,Slovak Republic,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.11,0.0,27.0
SVN,Slovenia,Percentage of net household income,Couple: 2 children,Minimum Wage,Yes,Yes,2022,0.08,0.0,20.5
