LAD23CD,LAD23NM,Childcare accessibility,Childcare accessibility (driving only),Childcare accessibility (public transport only),Childcare accessibility - good or outstanding providers,Childcare accessibility - good or outstanding providers (driving only),Childcare accessibility - good or outstanding providers (public transport only),Proportion of  women  in households with dependents aged 0-4 with higher education qualifications,Proportion of women in households with dependents aged 0-4 who are economically inactive due to looking after home or family,Gross disposable household income per head,Percentage of children in relative poverty
E06000001,Hartlepool,14.61013153278618,16.085660933055777,10.93634549293258,13.20615088634832,14.530815145926521,9.936568425520338,0.341545,0.257335,16934.0,26.8
E06000002,Middlesbrough,17.865492443167742,19.61239897860902,13.378344415525302,14.938032903183851,16.286514892154,11.41308941500767,0.334447,0.285254,16222.0,37.4
E06000003,Redcar and Cleveland,17.09525157172428,18.362121014514297,12.925041107567,14.47351857006803,15.58756185515989,10.801330582979,0.347855,0.224092,17128.0,27.0
E06000004,Stockton-on-Tees,20.4282974346898,21.50580543200431,15.57083498420599,17.7440851069946,18.73594208340003,13.386904366252411,0.401307,0.213331,17935.0,23.3
E06000005,Darlington,22.16918690117279,24.73796571946959,14.73098727089047,18.81802156191292,21.10614371175248,12.32131324047796,0.376081,0.227235,18376.0,25.2
E06000006,Halton,26.97112133569452,25.955740145164043,27.373818567010684,20.88189614473222,20.12529966573706,21.12570879239041,0.335546,0.205529,18216.0,21.2
E06000007,Warrington,33.13842477243379,31.69009750961941,36.49722430622654,22.97877410050009,21.772773185396062,26.17744752237264,0.458961,0.167417,20952.0,15.3
E06000008,Blackburn with Darwen,23.87262946054425,27.650497218202368,13.70566040943447,16.73877733013812,19.503145443805632,9.467534244810969,0.351289,0.329476,15025.0,36.5
E06000009,Blackpool,21.55006238551956,24.64853898082681,14.891537305110841,16.04612868099287,18.57269543704588,10.89619770359718,0.322156,0.245246,16717.0,28.5
E06000010,Kingston upon Hull,15.597413443337599,18.47629370202087,10.04021147193898,12.43208810764523,14.67207105403,8.050832935700363,0.277447,0.278058,15038.0,28.2
E06000011,East Riding of Yorkshire,26.69521132681568,28.39861832870542,16.3426676626247,20.27897295070946,21.56535003275285,12.40106962445908,0.440145,0.17048,20430.0,14.8
E06000012,North East Lincolnshire,17.667621971131812,19.9010707783132,11.77402645316508,16.15568981158676,18.130025259712028,10.85450057646224,0.300696,0.24418,17667.0,23.5
E06000013,North Lincolnshire,21.79013412257104,23.38675514412803,15.35674978380494,18.174283989026442,19.57239853604448,12.714222933620661,0.328704,0.219283,17374.0,21.3
E06000014,York,31.229132543393252,33.544609297762,19.62883430496047,22.80770874873797,24.61873170819375,13.73014802473097,0.547778,0.164482,20884.0,11.5
E06000015,Derby,21.09834626664605,23.04718979001468,14.14489670103266,16.95659570584314,18.529513483128373,11.32059831417266,0.345904,0.279071,16736.0,33.7
E06000016,Leicester,19.15841175303261,22.25503901355902,11.395557978997479,15.657195756493419,18.314680213632233,8.99439656873625,0.285025,0.322777,15020.9,38.54
E06000017,Rutland,26.670913531270056,27.330390198350052,20.80052661449354,21.06741202179971,21.42400328295223,17.28124395949484,0.489061,0.170078,24489.0,11.8
E06000018,Nottingham,23.30550977731875,24.068790058468707,21.04838430559704,16.999932932323,17.688363938792058,15.21944829694169,0.33559,0.29108,15020.9,38.54
E06000019,Herefordshire,23.36357088781059,25.354066083510762,12.35937482018455,18.380916371817342,19.98121352794068,9.69163454608109,0.40663,0.194281,21602.0,18.6
E06000020,Telford and Wrekin,21.51155764587946,23.420331812347538,12.36450957064387,17.263721651485533,18.84515851269982,9.694170706438578,0.325286,0.256883,17711.0,23.9
E06000021,Stoke-on-Trent,20.20378911031014,24.08547438846857,10.655547511402021,14.626619840286601,17.31224439510406,7.980156593159084,0.29437,0.279383,15470.0,36.1
E06000022,Bath and North East Somerset,27.0653615957007,29.25063461686535,16.1796776740055,18.700405811688512,20.018727464321532,11.642796843496631,0.539685,0.179292,23101.0,11.0
E06000023,Bristol,28.487596262522953,31.991467788571182,16.98040656954019,17.60546919224418,19.68461028485043,10.733182128043051,0.509674,0.216715,21084.0,21.8
E06000024,North Somerset,28.082738471680752,29.46309649952918,17.848882739279308,19.80649765301095,20.84175143276397,12.66831050613797,0.481897,0.15878,23137.0,13.8
E06000025,South Gloucestershire,31.4762759593422,33.003381524944245,20.63159794919889,20.33374902848976,21.35135048468709,13.177367189033781,0.466972,0.159478,21542.0,12.3
E06000026,Plymouth,22.30271412253166,22.22325218995512,21.494376424542818,18.01841622336125,17.946703884790992,17.40571980564198,0.381497,0.228225,17472.0,21.5
