"Title","BoP: trade in goods balance as per cent of GDP"
"CDID","D28J"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","28-03-2024"
"Next release","28 June 2024"
"Important notes",
"1948","-1.3"
"1949","-1.1"
"1950","-0.4"
"1951","-4.8"
"1952","-1.7"
"1953","-1.5"
"1954","-1.2"
"1955","-1.6"
"1956","0.2"
"1957","-0.2"
"1958","0.1"
"1959","-0.5"
"1960","-1.6"
"1961","-0.6"
"1962","-0.4"
"1963","-0.4"
"1964","-1.7"
"1965","-0.8"
"1966","-0.4"
"1967","-1.5"
"1968","-1.7"
"1969","-0.6"
"1970","-0.2"
"1971","0.2"
"1972","-1.2"
"1973","-3.3"
"1974","-5.8"
"1975","-2.9"
"1976","-3.0"
"1977","-1.5"
"1978","-0.9"
"1979","-1.6"
"1980","0.4"
"1981","1.0"
"1982","0.5"
"1983","-0.5"
"1984","-1.5"
"1985","-0.9"
"1986","-2.2"
"1987","-2.4"
"1988","-3.9"
"1989","-4.1"
"1990","-2.9"
"1991","-1.5"
"1992","-1.9"
"1993","-1.8"
"1994","-1.5"
"1995","-1.5"
"1996","-1.6"
"1997","-1.7"
"1998","-2.6"
"1999","-3.2"
"2000","-3.6"
"2001","-4.2"
"2002","-4.6"
"2003","-4.6"
"2004","-5.1"
"2005","-5.3"
"2006","-5.6"
"2007","-6.1"
"2008","-6.0"
"2009","-5.8"
"2010","-6.2"
"2011","-6.3"
"2012","-6.6"
"2013","-7.0"
"2014","-7.0"
"2015","-6.5"
"2016","-7.0"
"2017","-6.7"
"2018","-6.6"
"2019","-6.5"
"2020","-6.1"
"2021","-7.2"
"2022","-8.7"
"2023","-6.9"
"1955 Q1","-1.9"
"1955 Q2","-1.8"
"1955 Q3","-1.7"
"1955 Q4","-1.2"
"1956 Q1","-0.2"
"1956 Q2","0.5"
"1956 Q3","0.0"
"1956 Q4","0.6"
"1957 Q1","-0.7"
"1957 Q2","-0.4"
"1957 Q3","-0.1"
"1957 Q4","0.6"
"1958 Q1","0.6"
"1958 Q2","-0.1"
"1958 Q3","0.1"
"1958 Q4","-0.2"
"1959 Q1","-0.6"
"1959 Q2","-0.3"
"1959 Q3","-0.4"
"1959 Q4","-0.8"
"1960 Q1","-0.8"
"1960 Q2","-1.8"
"1960 Q3","-1.9"
"1960 Q4","-1.8"
"1961 Q1","-1.0"
"1961 Q2","-0.9"
"1961 Q3","-0.1"
"1961 Q4","-0.3"
"1962 Q1","-0.5"
"1962 Q2","-0.2"
"1962 Q3","-0.6"
"1962 Q4","-0.3"
"1963 Q1","-0.1"
"1963 Q2","-0.3"
"1963 Q3","-0.5"
"1963 Q4","-0.8"
"1964 Q1","-1.8"
"1964 Q2","-1.3"
"1964 Q3","-1.8"
"1964 Q4","-1.8"
"1965 Q1","-0.6"
"1965 Q2","-1.1"
"1965 Q3","-0.8"
"1965 Q4","-0.6"
"1966 Q1","-0.9"
"1966 Q2","-0.9"
"1966 Q3","-0.6"
"1966 Q4","0.9"
"1967 Q1","-0.6"
"1967 Q2","-1.0"
"1967 Q3","-1.1"
"1967 Q4","-3.4"
"1968 Q1","-1.7"
"1968 Q2","-2.2"
"1968 Q3","-1.6"
"1968 Q4","-1.3"
"1969 Q1","-1.4"
"1969 Q2","-0.7"
"1969 Q3","0.0"
"1969 Q4","-0.3"
"1970 Q1","0.5"
"1970 Q2","-0.7"
"1970 Q3","-0.8"
"1970 Q4","0.3"
"1971 Q1","-0.4"
"1971 Q2","0.2"
"1971 Q3","0.8"
"1971 Q4","0.2"
"1972 Q1","-0.8"
"1972 Q2","-0.7"
"1972 Q3","-2.0"
"1972 Q4","-1.2"
"1973 Q1","-2.2"
"1973 Q2","-2.6"
"1973 Q3","-3.4"
"1973 Q4","-4.7"
"1974 Q1","-5.9"
"1974 Q2","-6.3"
"1974 Q3","-5.6"
"1974 Q4","-5.4"
"1975 Q1","-3.4"
"1975 Q2","-2.5"
"1975 Q3","-3.6"
"1975 Q4","-2.2"
"1976 Q1","-1.8"
"1976 Q2","-3.2"
"1976 Q3","-3.6"
"1976 Q4","-3.2"
"1977 Q1","-2.6"
"1977 Q2","-2.3"
"1977 Q3","-0.5"
"1977 Q4","-0.8"
"1978 Q1","-1.4"
"1978 Q2","-0.3"
"1978 Q3","-1.2"
"1978 Q4","-0.8"
"1979 Q1","-3.0"
"1979 Q2","-0.9"
"1979 Q3","-1.1"
"1979 Q4","-1.5"
"1980 Q1","-0.8"
"1980 Q2","-0.4"
"1980 Q3","1.2"
"1980 Q4","1.6"
"1981 Q1","2.3"
"1981 Q2","1.7"
"1981 Q3","-0.3"
"1981 Q4","0.5"
"1982 Q1","0.3"
"1982 Q2","0.1"
"1982 Q3","0.6"
"1982 Q4","1.1"
"1983 Q1","-0.4"
"1983 Q2","-0.8"
"1983 Q3","-0.3"
"1983 Q4","-0.8"
"1984 Q1","-0.6"
"1984 Q2","-1.6"
"1984 Q3","-1.7"
"1984 Q4","-2.1"
"1985 Q1","-2.1"
"1985 Q2","-0.3"
"1985 Q3","-0.6"
"1985 Q4","-0.7"
"1986 Q1","-1.5"
"1986 Q2","-2.1"
"1986 Q3","-2.7"
