Year,Expenditure,Value
1956,Public investment,4.1
1957,Public investment,4.2
1958,Public investment,4
1959,Public investment,4.3
1960,Public investment,4
1961,Public investment,4.1
1962,Public investment,4.3
1963,Public investment,4.4
1964,Public investment,5.6
1965,Public investment,6
1966,Public investment,6.1
1967,Public investment,6.8
1968,Public investment,8
1969,Public investment,6.8
1970,Public investment,6.1
1971,Public investment,6.2
1972,Public investment,5.4
1973,Public investment,4.9
1974,Public investment,5.2
1975,Public investment,5.5
1976,Public investment,5.5
1977,Public investment,4.5
1978,Public investment,3.1
1979,Public investment,2.7
1980,Public investment,2.5
1981,Public investment,2.2
1982,Public investment,1.5
1983,Public investment,1.9
1984,Public investment,2.2
1985,Public investment,1.9
1986,Public investment,1.5
1987,Public investment,0.9
1988,Public investment,0.3
1989,Public investment,0
1990,Public investment,0.8
1991,Public investment,1
1992,Public investment,1.2
1993,Public investment,1
1994,Public investment,0.8
1995,Public investment,0.8
1996,Public investment,0.7
1997,Public investment,0.3
1998,Public investment,0.5
1999,Public investment,0.5
2000,Public investment,0.5
2001,Public investment,0.4
2002,Public investment,1.1
2003,Public investment,1.5
2004,Public investment,1.7
2005,Public investment,2.1
2006,Public investment,1.9
2007,Public investment,1.9
2008,Public investment,1.8
2009,Public investment,3
2010,Public investment,3
2011,Public investment,2.4
2012,Public investment,1.8
2013,Public investment,1.9
2014,Public investment,1.4
2015,Public investment,1.9
2016,Public investment,1.7
2017,Public investment,1.8
2018,Public investment,2.2
2019,Public investment,2.1
2020,Public investment,1.9
2021,Public investment,3.5
2022,Public investment,2.1
2023,Public investment,2.1
1956,Social security,4.7
1957,Social security,4.9
1958,Social security,5
1959,Social security,5.8
1960,Social security,5.8
1961,Social security,5.4
1962,Social security,5.9
1963,Social security,5.6
1964,Social security,6.1
1965,Social security,5.9
1966,Social security,6.3
1967,Social security,6.4
1968,Social security,6.8
1969,Social security,7.1
1970,Social security,6.9
1971,Social security,6.4
1972,Social security,6.7
1973,Social security,6.8
1974,Social security,6.8
1975,Social security,7.2
1976,Social security,7.9
1977,Social security,8.1
1978,Social security,8.3
1979,Social security,8.5
1980,Social security,8.3
1981,Social security,8.7
1982,Social security,9.6
1983,Social security,10
1984,Social security,10.2
1985,Social security,10.2
1986,Social security,10.2
1987,Social security,10.2
1988,Social security,9.4
1989,Social security,8.6
1990,Social security,8.2
1991,Social security,8.6
1992,Social security,9.5
1993,Social security,10.5
1994,Social security,10.9
1995,Social security,10.7
1996,Social security,10.6
1997,Social security,10.3
1998,Social security,10
1999,Social security,9.8
2000,Social security,9.8
2001,Social security,9.8
2002,Social security,10.1
2003,Social security,10
2004,Social security,10.4
2005,Social security,10.5
2006,Social security,10.4
2007,Social security,10.2
2008,Social security,11.3
2009,Social security,11.1
2010,Social security,12.3
2011,Social security,12.3
2012,Social security,12.3
2013,Social security,12.4
2014,Social security,11.7
2015,Social security,11.5
2016,Social security,11.2
2017,Social security,10.8
2018,Social security,10.5
2019,Social security,10.3
2020,Social security,10.2
2021,Social security,12
2022,Social security,10.7
2023,Social security,10.2
1956,Defence,7.6
1957,Defence,7.3
1958,Defence,6.8
1959,Defence,6.4
1960,Defence,6.1
1961,Defence,6
1962,Defence,6
1963,Defence,6
1964,Defence,5.8
1965,Defence,5.5
1966,Defence,5.4
1967,Defence,5.4
1968,Defence,5.5
1969,Defence,4.9
1970,Defence,4.4
1971,Defence,4.2
1972,Defence,4.2
1973,Defence,4.1
1974,Defence,4.2
1975,Defence,4.2
1976,Defence,4.3
1977,Defence,4.3
1978,Defence,4.1
1979,Defence,4
1980,Defence,4.1
1981,Defence,4.3
1982,Defence,4.3
1983,Defence,4.5
1984,Defence,4.4
1985,Defence,4.6
1986,Defence,4.3
1987,Defence,4.1
1988,Defence,3.7
1989,Defence,3.4
1990,Defence,3.3
1991,Defence,3.2
1992,Defence,3.2
1993,Defence,3.2
1994,Defence,3
1995,Defence,2.8
1996,Defence,2.6
1997,Defence,2.4
1998,Defence,2.2
1999,Defence,2.4
2000,Defence,2.4
2001,Defence,2.3
2002,Defence,2.2
2003,Defence,2.2
2004,Defence,2.3
2005,Defence,2.2
2006,Defence,2.2
2007,Defence,2.2
2008,Defence,2.2
2009,Defence,2.3
2010,Defence,2.4
2011,Defence,2.4
2012,Defence,2.3
2013,Defence,2.1
2014,Defence,2
2015,Defence,2
2016,Defence,1.9
2017,Defence,1.8
2018,Defence,1.8
2019,Defence,1.8
2020,Defence,1.9
2021,Defence,2.1
2022,Defence,2.1
2023,Defence,2.2
1956,Long term care,
1957,Long term care,
1958,Long term care,
1959,Long term care,
1960,Long term care,
1961,Long term care,
1962,Long term care,
1963,Long term care,
1964,Long term care,
1965,Long term care,
1966,Long term care,
1967,Long term care,
1968,Long term care,
1969,Long term care,
1970,Long term care,
1971,Long term care,
1972,Long term care,
1973,Long term care,
1974,Long term care,
1975,Long term care,
1976,Long term care,
1977,Long term care,
1978,Long term care,
1979,Long term care,
1980,Long term care,
1981,Long term care,
1982,Long term care,
1983,Long term care,
1984,Long term care,
1985,Long term care,
1986,Long term care,
1987,Long term care,
1988,Long term care,
1989,Long term care,
1990,Long term care,
1991,Long term care,
1992,Long term care,
1993,Long term care,
1994,Long term care,
1995,Long term care,
1996,Long term care,
1997,Long term care,0.8
1998,Long term care,0.8
1999,Long term care,0.8
2000,Long term care,0.9
2001,Long term care,0.9
2002,Long term care,0.9
2003,Long term care,1
2004,Long term care,1.1
2005,Long term care,1.2
2006,Long term care,1.2
2007,Long term care,1.2
2008,Long term care,1.2
2009,Long term care,1.2
2010,Long term care,1.3
2011,Long term care,1.2
2012,Long term care,1.2
2013,Long term care,1.2
2014,Long term care,1.1
2015,Long term care,1.1
2016,Long term care,1.1
2017,Long term care,1
2018,Long term care,1
2019,Long term care,1
2020,Long term care,1.1
2021,Long term care,1.3
2022,Long term care,1.1
2023,Long term care,1.1
