"Label";"Number of started dwellings - 12-month aggregate - Total - France excluding Mayotte - Estimates calculated at the time of event";"Codes"
"idBank";"001718270";""
"Last update";"03/06/2024 11:18";""
"Period";"";""
"2024-04";"282400";"A"
"2024-03";"282600";"A"
"2024-02";"286400";"A"
"2024-01";"289800";"A"
"2023-12";"298100";"A"
"2023-11";"308300";"A"
"2023-10";"317600";"A"
"2023-09";"327000";"A"
"2023-08";"335400";"A"
"2023-07";"341100";"A"
"2023-06";"348200";"A"
"2023-05";"356200";"A"
"2023-04";"363600";"A"
"2023-03";"370000";"A"
"2023-02";"380800";"A"
"2023-01";"386900";"A"
"2022-12";"392000";"A"
"2022-11";"390800";"A"
"2022-10";"395000";"A"
"2022-09";"400700";"A"
"2022-08";"402400";"A"
"2022-07";"404700";"A"
"2022-06";"409100";"A"
"2022-05";"409800";"A"
"2022-04";"411700";"A"
"2022-03";"414300";"A"
"2022-02";"412300";"A"
"2022-01";"412700";"A"
"2021-12";"410100";"A"
"2021-11";"407500";"A"
"2021-10";"404700";"A"
"2021-09";"401000";"A"
"2021-08";"399300";"A"
"2021-07";"399300";"A"
"2021-06";"399500";"A"
"2021-05";"399100";"A"
"2021-04";"392100";"A"
"2021-03";"377500";"A"
"2021-02";"367800";"A"
"2021-01";"366900";"A"
"2020-12";"368800";"A"
"2020-11";"371200";"A"
"2020-10";"372400";"A"
"2020-09";"371900";"A"
"2020-08";"372400";"A"
"2020-07";"368800";"A"
"2020-06";"369500";"A"
"2020-05";"365700";"A"
"2020-04";"368900";"A"
"2020-03";"383700";"A"
"2020-02";"388500";"A"
"2020-01";"388200";"A"
"2019-12";"387600";"A"
"2019-11";"385600";"A"
"2019-10";"386500";"A"
"2019-09";"390200";"A"
"2019-08";"389500";"A"
"2019-07";"391700";"A"
"2019-06";"389100";"A"
"2019-05";"394500";"A"
"2019-04";"398100";"A"
"2019-03";"398600";"A"
"2019-02";"401800";"A"
"2019-01";"402000";"A"
"2018-12";"401200";"A"
"2018-11";"413200";"A"
"2018-10";"418200";"A"
"2018-09";"417100";"A"
"2018-08";"419300";"A"
"2018-07";"421300";"A"
"2018-06";"425200";"A"
"2018-05";"425900";"A"
"2018-04";"425800";"A"
"2018-03";"425700";"A"
"2018-02";"430400";"A"
"2018-01";"432400";"A"
"2017-12";"434700";"A"
"2017-11";"423200";"A"
"2017-10";"415900";"A"
"2017-09";"412900";"A"
"2017-08";"410200";"A"
"2017-07";"408300";"A"
"2017-06";"401100";"A"
"2017-05";"395900";"A"
"2017-04";"395400";"A"
"2017-03";"391300";"A"
"2017-02";"379800";"A"
"2017-01";"377200";"A"
"2016-12";"370000";"A"
"2016-11";"366600";"A"
"2016-10";"364000";"A"
"2016-09";"359700";"A"
"2016-08";"358300";"A"
"2016-07";"357900";"A"
"2016-06";"357100";"A"
"2016-05";"356000";"A"
"2016-04";"346900";"A"
"2016-03";"343600";"A"
"2016-02";"346700";"A"
"2016-01";"342100";"A"
"2015-12";"341100";"A"
"2015-11";"336900";"A"
"2015-10";"332700";"A"
"2015-09";"332000";"A"
"2015-08";"330800";"A"
"2015-07";"329000";"A"
"2015-06";"331100";"A"
"2015-05";"328600";"A"
"2015-04";"331200";"A"
"2015-03";"334500";"A"
"2015-02";"334700";"A"
"2015-01";"334300";"A"
"2014-12";"337000";"A"
"2014-11";"335900";"A"
"2014-10";"336000";"A"
"2014-09";"336700";"A"
"2014-08";"336100";"A"
"2014-07";"337600";"A"
"2014-06";"337400";"A"
"2014-05";"340700";"A"
"2014-04";"343400";"A"
"2014-03";"344600";"A"
"2014-02";"350000";"A"
"2014-01";"356500";"A"
"2013-12";"357900";"A"
"2013-11";"369600";"A"
"2013-10";"374100";"A"
"2013-09";"380000";"A"
"2013-08";"379800";"A"
"2013-07";"381500";"A"
"2013-06";"382500";"A"
"2013-05";"383000";"A"
"2013-04";"381700";"A"
"2013-03";"377600";"A"
"2013-02";"381900";"A"
"2013-01";"381000";"A"
"2012-12";"382300";"A"
"2012-11";"382400";"A"
"2012-10";"396700";"A"
"2012-09";"399400";"A"
"2012-08";"407700";"A"
"2012-07";"410600";"A"
"2012-06";"413000";"A"
"2012-05";"412300";"A"
"2012-04";"422100";"A"
"2012-03";"428600";"A"
"2012-02";"427700";"A"
"2012-01";"428500";"A"
"2011-12";"430400";"A"
"2011-11";"424900";"A"
"2011-10";"418400";"A"
"2011-09";"422500";"A"
"2011-08";"424700";"A"
"2011-07";"426600";"A"
"2011-06";"428200";"A"
"2011-05";"433200";"A"
"2011-04";"428500";"A"
"2011-03";"426800";"A"
"2011-02";"422000";"A"
"2011-01";"418000";"A"
"2010-12";"412200";"A"
"2010-11";"405700";"A"
"2010-10";"394300";"A"
"2010-09";"383000";"A"
"2010-08";"372900";"A"
"2010-07";"369600";"A"
"2010-06";"366500";"A"
"2010-05";"362000";"A"
"2010-04";"356300";"A"
"2010-03";"353800";"A"
"2010-02";"348600";"A"
"2010-01";"346100";"A"
"2009-12";"345600";"A"
"2009-11";"336900";"A"
"2009-10";"331500";"A"
"2009-09";"334000";"A"
"2009-08";"339200";"A"
"2009-07";"339700";"A"
"2009-06";"339800";"A"
"2009-05";"345700";"A"
"2009-04";"353900";"A"
"2009-03";"361700";"A"
"2009-02";"371100";"A"
"2009-01";"385000";"A"
"2008-12";"398400";"A"
"2008-11";"408100";"A"
"2008-10";"421600";"A"
"2008-09";"435500";"A"
"2008-08";"443900";"A"
"2008-07";"447000";"A"
"2008-06";"459100";"A"
"2008-05";"467800";"A"
"2008-04";"475300";"A"
"2008-03";"480900";"A"
"2008-02";"486600";"A"
"2008-01";"487300";"A"
"2007-12";"488900";"A"
"2007-11";"489900";"A"
"2007-10";"492900";"A"
"2007-09";"489900";"A"
"2007-08";"490400";"A"
"2007-07";"493400";"A"
"2007-06";"487300";"A"
"2007-05";"489100";"A"
"2007-04";"491400";"A"
"2007-03";"492400";"A"
"2007-02";"493600";"A"
"2007-01";"493900";"A"
"2006-12";"493800";"A"
"2006-11";"496300";"A"
"2006-10";"491700";"A"
"2006-09";"488200";"A"
"2006-08";"489200";"A"
"2006-07";"486900";"A"
"2006-06";"485100";"A"
"2006-05";"479600";"A"
"2006-04";"477800";"A"
"2006-03";"473300";"A"
"2006-02";"469600";"A"
"2006-01";"466000";"A"
"2005-12";"464900";"A"
"2005-11";"458400";"A"
"2005-10";"458000";"A"
"2005-09";"453800";"A"
"2005-08";"447200";"A"
"2005-07";"444300";"A"
