country,date,value,label
UK,2000-01-01,192920.0,
UK,2000-04-01,192910.0,
UK,2000-07-01,191820.0,
UK,2000-10-01,186180.0,
France,2000-12-01,337600.0,
UK,2001-01-01,183480.0,
France,2001-01-01,340100.0,
France,2001-02-01,337700.0,
France,2001-03-01,333500.0,
UK,2001-04-01,185370.0,
France,2001-04-01,336900.0,
France,2001-05-01,335400.0,
France,2001-06-01,335600.0,
UK,2001-07-01,187730.0,
France,2001-07-01,336800.0,
France,2001-08-01,334500.0,
France,2001-09-01,334500.0,
France,2001-10-01,336100.0,
UK,2001-10-01,192070.0,
France,2001-11-01,335600.0,
France,2001-12-01,337200.0,
France,2002-01-01,336700.0,
UK,2002-01-01,194140.0,
France,2002-02-01,337700.0,
France,2002-03-01,338700.0,
UK,2002-04-01,192720.0,
France,2002-04-01,339600.0,
France,2002-05-01,338100.0,
France,2002-06-01,338800.0,
France,2002-07-01,340800.0,
UK,2002-07-01,194690.0,
France,2002-08-01,341200.0,
France,2002-09-01,341400.0,
France,2002-10-01,340600.0,
UK,2002-10-01,194380.0,
France,2002-11-01,340900.0,
France,2002-12-01,342400.0,
UK,2003-01-01,197120.0,
France,2003-01-01,341700.0,
France,2003-02-01,341400.0,
France,2003-03-01,345100.0,
UK,2003-04-01,201290.0,
France,2003-04-01,344600.0,
France,2003-05-01,346300.0,
France,2003-06-01,349300.0,
France,2003-07-01,351100.0,
UK,2003-07-01,202890.0,
France,2003-08-01,350700.0,
France,2003-09-01,356100.0,
France,2003-10-01,358100.0,
UK,2003-10-01,208510.0,
France,2003-11-01,361400.0,
France,2003-12-01,363900.0,
UK,2004-01-01,213200.0,
France,2004-01-01,367900.0,
France,2004-02-01,372100.0,
France,2004-03-01,374500.0,
France,2004-04-01,380000.0,
UK,2004-04-01,219200.0,
France,2004-05-01,383500.0,
France,2004-06-01,389300.0,
UK,2004-07-01,224150.0,
France,2004-07-01,392500.0,
France,2004-08-01,396400.0,
France,2004-09-01,399900.0,
UK,2004-10-01,228010.0,
France,2004-10-01,403000.0,
France,2004-11-01,410900.0,
France,2004-12-01,414400.0,
UK,2005-01-01,224560.0,
France,2005-01-01,421000.0,
France,2005-02-01,422800.0,
France,2005-03-01,427400.0,
UK,2005-04-01,223800.0,
France,2005-04-01,429900.0,
France,2005-05-01,439200.0,
France,2005-06-01,442900.0,
France,2005-07-01,444300.0,
UK,2005-07-01,222890.0,
France,2005-08-01,447200.0,
France,2005-09-01,453800.0,
France,2005-10-01,458000.0,
UK,2005-10-01,224440.0,
France,2005-11-01,458400.0,
France,2005-12-01,464900.0,
France,2006-01-01,466000.0,
UK,2006-01-01,234280.0,
France,2006-02-01,469600.0,
France,2006-03-01,473300.0,
France,2006-04-01,477800.0,
UK,2006-04-01,234190.0,
France,2006-05-01,479600.0,
France,2006-06-01,485100.0,
France,2006-07-01,486900.0,
UK,2006-07-01,230020.0,
France,2006-08-01,489200.0,
France,2006-09-01,488200.0,
France,2006-10-01,491700.0,
UK,2006-10-01,223910.0,
France,2006-11-01,496300.0,
France,2006-12-01,493800.0,
UK,2007-01-01,222900.0,
France,2007-01-01,493900.0,
France,2007-02-01,493600.0,
France,2007-03-01,492400.0,
France,2007-04-01,491400.0,
UK,2007-04-01,223900.0,
France,2007-05-01,489100.0,
France,2007-06-01,487300.0,
France,2007-07-01,493400.0,
UK,2007-07-01,228120.0,
France,2007-08-01,490400.0,
France,2007-09-01,489900.0,
UK,2007-10-01,234340.0,
France,2007-10-01,492900.0,
France,2007-11-01,489900.0,
France,2007-12-01,488900.0,
UK,2008-01-01,219080.0,
France,2008-01-01,487300.0,
France,2008-02-01,486600.0,
France,2008-03-01,480900.0,
UK,2008-04-01,202840.0,
France,2008-04-01,475300.0,
France,2008-05-01,467800.0,
France,2008-06-01,459100.0,
UK,2008-07-01,172640.0,
France,2008-07-01,447000.0,
France,2008-08-01,443900.0,
France,2008-09-01,435500.0,
France,2008-10-01,421600.0,
UK,2008-10-01,141720.0,
France,2008-11-01,408100.0,
France,2008-12-01,398400.0,
France,2009-01-01,385000.0,
UK,2009-01-01,119150.0,
France,2009-02-01,371100.0,
France,2009-03-01,361700.0,
France,2009-04-01,353900.0,
UK,2009-04-01,102040.0,
France,2009-05-01,345700.0,
France,2009-06-01,339800.0,
France,2009-07-01,339700.0,
UK,2009-07-01,107760.0,
France,2009-08-01,339200.0,
France,2009-09-01,334000.0,
UK,2009-10-01,114240.0,
France,2009-10-01,331500.0,
France,2009-11-01,336900.0,
France,2009-12-01,345600.0,
UK,2010-01-01,124130.0,
France,2010-01-01,346100.0,
France,2010-02-01,348600.0,
France,2010-03-01,353800.0,
UK,2010-04-01,138340.0,
France,2010-04-01,356300.0,
France,2010-05-01,362000.0,
France,2010-06-01,366500.0,
UK,2010-07-01,141830.0,
France,2010-07-01,369600.0,
France,2010-08-01,372900.0,
France,2010-09-01,383000.0,
France,2010-10-01,394300.0,
UK,2010-10-01,139220.0,
France,2010-11-01,405700.0,
France,2010-12-01,412200.0,
UK,2011-01-01,138220.0,
France,2011-01-01,418000.0,
France,2011-02-01,422000.0,
France,2011-03-01,426800.0,
France,2011-04-01,428500.0,
UK,2011-04-01,134200.0,
France,2011-05-01,433200.0,
France,2011-06-01,428200.0,
France,2011-07-01,426600.0,
UK,2011-07-01,133550.0,
France,2011-08-01,424700.0,
France,2011-09-01,422500.0,
UK,2011-10-01,138370.0,
France,2011-10-01,418400.0,
France,2011-11-01,424900.0,
France,2011-12-01,430400.0,
UK,2012-01-01,136130.0,
France,2012-01-01,428500.0,
France,2012-02-01,427700.0,
France,2012-03-01,428600.0,
France,2012-04-01,422100.0,
UK,2012-04-01,129930.0,
France,2012-05-01,412300.0,
France,2012-06-01,413000.0,
France,2012-07-01,410600.0,
UK,2012-07-01,127590.0,
France,2012-08-01,407700.0,
France,2012-09-01,399400.0,
UK,2012-10-01,125430.0,
France,2012-10-01,396700.0,
France,2012-11-01,382400.0,
France,2012-12-01,382300.0,
France,2013-01-01,381000.0,
UK,2013-01-01,127190.0,
France,2013-02-01,381900.0,
France,2013-03-01,377600.0,
France,2013-04-01,381700.0,
UK,2013-04-01,136970.0,
France,2013-05-01,383000.0,
France,2013-06-01,382500.0,
UK,2013-07-01,144860.0,
France,2013-07-01,381500.0,
France,2013-08-01,379800.0,
France,2013-09-01,380000.0,
UK,2013-10-01,150120.0,
France,2013-10-01,374100.0,
France,2013-11-01,369600.0,
France,2013-12-01,357900.0,
UK,2014-01-01,162210.0,
France,2014-01-01,356500.0,
France,2014-02-01,350000.0,
France,2014-03-01,344600.0,
UK,2014-04-01,167330.0,
France,2014-04-01,343400.0,
France,2014-05-01,340700.0,
France,2014-06-01,337400.0,
France,2014-07-01,337600.0,
UK,2014-07-01,170200.0,
France,2014-08-01,336100.0,
France,2014-09-01,336700.0,
France,2014-10-01,336000.0,
UK,2014-10-01,170120.0,
France,2014-11-01,335900.0,
France,2014-12-01,337000.0,
France,2015-01-01,334300.0,
UK,2015-01-01,173050.0,
France,2015-02-01,334700.0,
France,2015-03-01,334500.0,
France,2015-04-01,331200.0,
UK,2015-04-01,173040.0,
