Region,Value,Series,
North East,2564.102564, No Services Provided - Deceased,0
North East,20512.82051, No Services Provided,0
North East,80769.23077, Total Number of Requests,0
North West,5128.205128, No Services Provided - Deceased,1
North West,65384.61538, No Services Provided,1
North West,183333.3333, Total Number of Requests,1
Yorkshire and The Humber,3846.153846, No Services Provided - Deceased,2
Yorkshire and The Humber,30769.23077, No Services Provided,2
Yorkshire and The Humber,176923.0769, Total Number of Requests,2
East Midlands,3846.153846, No Services Provided - Deceased,3
East Midlands,35897.4359, No Services Provided,3
East Midlands,130769.2308, Total Number of Requests,3
West Midlands,3846.153846, No Services Provided - Deceased,4
West Midlands,42307.69231, No Services Provided,4
West Midlands,150000, Total Number of Requests,4
East of England,5128.205128, No Services Provided - Deceased,5
East of England,46153.84615, No Services Provided,5
East of England,134615.3846, Total Number of Requests,5
London,2564.102564, No Services Provided - Deceased,6
London,34615.38462, No Services Provided,6
London,126923.0769, Total Number of Requests,6
South East,3846.153846, No Services Provided - Deceased,7
South East,60256.41026, No Services Provided,7
South East,223076.9231, Total Number of Requests,7
South West,5128.205128, No Services Provided - Deceased,8
South West,61538.46154, No Services Provided,8
South West,164102.5641, Total Number of Requests,8
