date,location,value,label
2001-01-01,United Kingdom,13540,
2002-01-01,United Kingdom,11670,
2003-01-01,United Kingdom,13270,
2004-01-01,United Kingdom,13770,
2005-01-01,United Kingdom,13240,
2006-01-01,United Kingdom,13910,
2007-01-01,United Kingdom,14310,
2008-01-01,United Kingdom,13520,
2009-01-01,United Kingdom,10070,
2010-01-01,United Kingdom,9710,
2011-01-01,United Kingdom,9480,
2012-01-01,United Kingdom,9580,
2013-01-01,United Kingdom,11860,
2014-01-01,United Kingdom,12030,
2015-01-01,United Kingdom,10910,
2016-01-01,United Kingdom,7640,
2017-01-01,United Kingdom,7490,
2018-01-01,United Kingdom,7270,
2019-01-01,United Kingdom,7220,
2020-01-01,United Kingdom,7090,
2021-01-01,United Kingdom,7220,
2022-01-01,United Kingdom,5960,United Kingdom
2001-01-01,Wales,4670,
2002-01-01,Wales,2700,
2003-01-01,Wales,4000,
2004-01-01,Wales,4460,
2005-01-01,Wales,4630,
2006-01-01,Wales,5020,
2007-01-01,Wales,5230,
2008-01-01,Wales,4820,
2009-01-01,Wales,3960,
2010-01-01,Wales,4920,
2011-01-01,Wales,4580,
2012-01-01,Wales,3820,
2013-01-01,Wales,5080,
2014-01-01,Wales,5370,
2015-01-01,Wales,5180,
2016-01-01,Wales,4480,
2017-01-01,Wales,4500,
2018-01-01,Wales,3950,
2019-01-01,Wales,4310,
2020-01-01,Wales,4070,
2021-01-01,Wales,4430,
2022-01-01,Wales,3730,Wales
