Date,Units,region
12/31/2008,209082,England
03/31/2009,168074,England
06/30/2009,146917,England
09/30/2009,147093,England
12/31/2009,144472,England
03/31/2010,150981,England
06/30/2010,160831,England
09/30/2010,162328,England
12/31/2010,164323,England
03/31/2011,165064,England
06/30/2011,163490,England
09/30/2011,163031,England
12/31/2011,166176,England
03/31/2012,179573,England
06/30/2012,178178,England
09/30/2012,174061,England
12/31/2012,180697,England
03/31/2013,175086,England
06/30/2013,190677,England
09/30/2013,204610,England
12/31/2013,212755,England
03/31/2014,212450,England
06/30/2014,216800,England
09/30/2014,220009,England
12/31/2014,227715,England
03/31/2015,240783,England
06/30/2015,241581,England
09/30/2015,254922,England
12/31/2015,267699,England
03/31/2016,269580,England
06/30/2016,298409,England
09/30/2016,306121,England
12/31/2016,316094,England
03/31/2017,328671,England
06/30/2017,327619,England
09/30/2017,332106,England
12/31/2017,321831,England
03/31/2018,314040,England
06/30/2018,303364,England
09/30/2018,301127,England
12/31/2018,315820,England
03/31/2019,326933,England
06/30/2019,335709,England
09/30/2019,328632,England
12/31/2019,328424,England
03/31/2020,314965,England
06/30/2020,289443,England
09/30/2020,295149,England
12/31/2020,288131,England
03/31/2021,309936,England
06/30/2021,334409,England
09/30/2021,324949,England
12/31/2021,314804,England
03/31/2022,301855,England
06/30/2022,285913,England
09/30/2022,289582,England
12/31/2022,290837,England
03/31/2023,270119,England
06/30/2023,264401,England
09/30/2023,244481,England
12/31/2023,232748,England
