region,year,value
OCED ,1980,5.53
OCED ,1981,5.74
OCED ,1982,5.94
OCED ,1983,6.01
OCED ,1984,6
OCED ,1985,6.05
OCED ,1986,6.05
OCED ,1987,6.09
OCED ,1988,6.03
OCED ,1989,5.99
OCED ,1990,6.16
OCED ,1991,6.33
OCED ,1992,6.5
OCED ,1993,6.64
OCED ,1994,6.64
OCED ,1995,6.67
OCED ,1996,6.7
OCED ,1997,6.63
OCED ,1998,6.59
OCED ,1999,6.54
OCED ,2000,6.56
OCED ,2001,6.56
OCED ,2002,6.64
OCED ,2003,6.69
OCED ,2004,6.63
OCED ,2005,6.63
OCED ,2006,6.55
OCED ,2007,6.55
OCED ,2008,6.79
OCED ,2009,7.53
OCED ,2010,7.55
OCED ,2011,7.58
OCED ,2012,7.77
OCED ,2013,7.86
OCED ,2014,7.89
OCED ,2015,7.86
OCED ,2016,7.82
OCED ,2017,7.72
OCED ,2018,7.69
OCED ,2019,7.74
UK,1980,5.25
UK,1981,5.54
UK,1982,5.6
UK,1983,5.51
UK,1984,5.4
UK,1985,5.28
UK,1986,5.25
UK,1987,4.94
UK,1988,4.54
UK,1989,4.31
UK,1990,4.47
UK,1991,4.85
UK,1992,5.12
UK,1993,5.19
UK,1994,4.95
UK,1995,4.61
UK,1996,4.61
UK,1997,4.61
UK,1998,4.61
UK,1999,4.73
UK,2000,4.75
UK,2001,4.91
UK,2002,4.91
UK,2003,4.9
UK,2004,4.99
UK,2005,5
UK,2006,4.75
UK,2007,5.32
UK,2008,5.68
UK,2009,6.14
UK,2010,6.16
UK,2011,6.19
UK,2012,6.33
UK,2013,6.24
UK,2014,6.19
UK,2015,6.08
UK,2016,5.67
UK,2017,5.56
UK,2018,5.47
UK,2019,4.92
UK,2020,5.11
