age,census,population
50 to 54,1981,2785132.00
55 to 59,1981,2877673.00
60 to 64,1981,2532681.00
65 to 69,1981,2426229.00
70 to 74,1981,2061856.00
75 to 79,1981,1458205.00
80 to 84,1981,821235.00
85 or over,1981,506803.00
50 to 54,1991,2719857.00
55 to 59,1991,2566869.00
60 to 64,1991,2558705.00
65 to 69,1991,2490516.00
70 to 74,1991,2014394.00
75 to 79,1991,1663340.00
80 to 84,1991,1113149.00
85 or over,1991,762684.00
50 to 54,2001,3591043.00
55 to 59,2001,2962273.00
60 to 64,2001,2544754.00
65 to 69,2001,2292482.00
70 to 74,2001,2074550.00
75 to 79,2001,1755023.00
80 to 84,2001,1178314.00
85 or over,2001,1012405.00
50 to 54,2011,3601694.00
55 to 59,2011,3183915.00
60 to 64,2011,3377162.00
65 to 69,2011,2674161.00
70 to 74,2011,2178672.00
75 to 79,2011,1777547.00
80 to 84,2011,1338005.00
85 or over,2011,1254688.00
50 to 54,2021,4123400.00
55 to 59,2021,4029000.00
60 to 64,2021,3455700.00
65 to 69,2021,2945100.00
70 to 74,2021,2978000.00
75 to 79,2021,2170300.00
80 to 84,2021,1517000.00
85 or over,2021,1453000.00
