Country,ISO3,pension
Luxembourg,LUX,"5,201.88"
Spain,ESP,2709.37
Belgium,BEL,"2,698.28"
Bulgaria,BGR,"1,486.00"
Liechtenstein,LIE,"2,148.08"
Bosnia and Herzegovina,BIH,"1,022.23"
Cyprus,CYP,"1,507.12"
France,FRA,"1,564.18"
Iceland,ISL,"1,893.87"
Denmark,DNK,"1,651.18"
Switzerland,CHE,"2,148.06"
Netherlands,NLD,"1,245.48"
Norway,NOR,"1,412.74"
Ukraine,UKR,482.03
United Kingdom,GBR,958.53
Sweden,SWE,886.76
Ireland,IRL,946.53
Czech Republic,CZE,696.31
Finland,FIN,661.94
Romania,ROU,411.64
Lithuania,LTU,490.67
Montenegro,MNE,384.01
Belarus,BLR,237.98
Albania,ALB,296.45
Croatia,HRV,353.29
Greece,GRC,327.68
Russia,RUS,165.36
Georgia,GEO,109.06
Moldova,MDA,"103,36"
Armenia,ARM,74.20
