value,country,iso3,iso2,id
0.27,Hungary,HUN,HU,348
0.25,Sweden,SWE,SE,752
0.25,Norway,NOR,NO,578
0.25,Denmark,DNK,DK,208
0.24,Iceland,ISL,IS,352
0.24,Finland,FIN,FI,246
0.24,Greece,GRC,GR,300
0.23,Portugal,PRT,PT,620
0.23,Poland,POL,PL,616
0.22,Italy,ITA,IT,380
0.22,Slovenia,SVN,SI,705
0.21,Spain,ESP,ES,724
0.21,Lithuania,LTU,LT,440
0.21,Latvia,LVA,LV,428
0.21,Belgium,BEL,BE,56
0.21,Netherlands,NLD,NL,528
0.21,Czechia,CZE,CZ,203
0.2,Austria,AUT,AT,40
0.2,Estonia,EST,EE,233
0.2,Slovakia,SVK,SK,703
0.2,United Kingdom,GBR,GB,826
0.2,France,FRA,FR,250
0.19,Colombia,COL,CO,170
0.19,Germany,DEU,DE,276
0.19,Chile,CHL,CL,152
0.18,Turkey,TUR,TR,792
0.17,Israel,ISR,IL,376
0.17,Luxembourg,LUX,LU,442
0.16,Mexico,MEX,MX,484
0.15,New Zealand,NZL,NZ,554
0.13,Costa Rica,CRL,CR,188
0.1,South Korea,KOR,KR,410
0.1,Australia,AUS,AU,36
0.1,Japan,JPN,JP,392
0.077,Switzerland,CHE,CH,756
0.05,Canada,CAN,CA,124
