"Title","BoP: trade in services balance as per cent of GDP"
"CDID","D28K"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","28-03-2024"
"Next release","28 June 2024"
"Important notes",
"1948","-0.5"
"1949","-0.3"
"1950","0.1"
"1951","0.3"
"1952","0.9"
"1953","0.8"
"1954","0.7"
"1955","0.3"
"1956","0.2"
"1957","0.6"
"1958","0.6"
"1959","0.6"
"1960","0.2"
"1961","0.3"
"1962","0.2"
"1963","0.1"
"1964","0.0"
"1965","-0.1"
"1966","0.2"
"1967","0.4"
"1968","0.8"
"1969","0.8"
"1970","0.9"
"1971","1.0"
"1972","1.1"
"1973","1.2"
"1974","1.5"
"1975","1.5"
"1976","2.2"
"1977","2.4"
"1978","2.4"
"1979","2.2"
"1980","1.8"
"1981","1.8"
"1982","1.4"
"1983","1.7"
"1984","1.8"
"1985","2.2"
"1986","2.0"
"1987","2.0"
"1988","1.5"
"1989","1.3"
"1990","1.4"
"1991","1.4"
"1992","1.4"
"1993","1.7"
"1994","1.7"
"1995","2.1"
"1996","2.1"
"1997","2.2"
"1998","2.1"
"1999","2.2"
"2000","2.4"
"2001","2.5"
"2002","2.2"
"2003","2.4"
"2004","2.8"
"2005","3.2"
"2006","3.7"
"2007","4.1"
"2008","4.3"
"2009","4.5"
"2010","4.6"
"2011","5.5"
"2012","5.6"
"2013","5.6"
"2014","5.1"
"2015","5.0"
"2016","5.1"
"2017","5.4"
"2018","5.2"
"2019","5.1"
"2020","6.7"
"2021","7.0"
"2022","6.0"
"2023","5.7"
"1955 Q1","0.4"
"1955 Q2","0.4"
"1955 Q3","0.2"
"1955 Q4","0.2"
"1956 Q1","0.3"
"1956 Q2","0.2"
"1956 Q3","0.2"
"1956 Q4","0.1"
"1957 Q1","0.9"
"1957 Q2","0.8"
"1957 Q3","0.4"
"1957 Q4","0.4"
"1958 Q1","0.8"
"1958 Q2","0.6"
"1958 Q3","0.5"
"1958 Q4","0.5"
"1959 Q1","0.9"
"1959 Q2","0.4"
"1959 Q3","0.6"
"1959 Q4","0.4"
"1960 Q1","0.1"
"1960 Q2","0.2"
"1960 Q3","0.3"
"1960 Q4","0.3"
"1961 Q1","0.3"
"1961 Q2","0.2"
"1961 Q3","0.2"
"1961 Q4","0.3"
"1962 Q1","0.3"
"1962 Q2","0.2"
"1962 Q3","0.3"
"1962 Q4","0.2"
"1963 Q1","0.3"
"1963 Q2","0.1"
"1963 Q3","0.0"
"1963 Q4","0.0"
"1964 Q1","-0.2"
"1964 Q2","-0.1"
"1964 Q3","0.0"
"1964 Q4","0.1"
"1965 Q1","-0.2"
"1965 Q2","0.0"
"1965 Q3","-0.2"
"1965 Q4","-0.1"
"1966 Q1","-0.1"
"1966 Q2","0.2"
"1966 Q3","0.2"
"1966 Q4","0.4"
"1967 Q1","0.5"
"1967 Q2","0.3"
"1967 Q3","0.5"
"1967 Q4","0.3"
"1968 Q1","0.4"
"1968 Q2","0.9"
"1968 Q3","1.0"
"1968 Q4","0.9"
"1969 Q1","0.7"
"1969 Q2","0.9"
"1969 Q3","1.0"
"1969 Q4","0.7"
"1970 Q1","1.1"
"1970 Q2","0.9"
"1970 Q3","0.8"
"1970 Q4","0.6"
"1971 Q1","1.0"
"1971 Q2","0.9"
"1971 Q3","1.1"
"1971 Q4","1.1"
"1972 Q1","1.2"
"1972 Q2","1.1"
"1972 Q3","1.0"
"1972 Q4","1.0"
"1973 Q1","1.0"
"1973 Q2","1.2"
"1973 Q3","1.1"
"1973 Q4","1.3"
"1974 Q1","1.3"
"1974 Q2","1.4"
"1974 Q3","1.6"
"1974 Q4","1.5"
"1975 Q1","1.6"
"1975 Q2","1.5"
"1975 Q3","1.5"
"1975 Q4","1.6"
"1976 Q1","2.2"
"1976 Q2","1.9"
"1976 Q3","2.2"
"1976 Q4","2.3"
"1977 Q1","2.4"
"1977 Q2","2.4"
"1977 Q3","2.4"
"1977 Q4","2.4"
"1978 Q1","2.4"
"1978 Q2","2.1"
"1978 Q3","2.5"
"1978 Q4","2.5"
"1979 Q1","2.2"
"1979 Q2","1.9"
"1979 Q3","2.3"
"1979 Q4","2.3"
"1980 Q1","1.9"
"1980 Q2","1.6"
"1980 Q3","1.8"
"1980 Q4","1.9"
"1981 Q1","1.9"
"1981 Q2","1.6"
"1981 Q3","1.9"
"1981 Q4","1.6"
"1982 Q1","1.8"
"1982 Q2","1.3"
"1982 Q3","1.3"
"1982 Q4","1.4"
"1983 Q1","1.8"
"1983 Q2","1.6"
"1983 Q3","1.7"
"1983 Q4","1.7"
"1984 Q1","1.8"
"1984 Q2","1.6"
"1984 Q3","1.8"
"1984 Q4","1.9"
"1985 Q1","2.0"
"1985 Q2","2.3"
"1985 Q3","2.3"
"1985 Q4","2.2"
"1986 Q1","2.3"
"1986 Q2","1.9"
