date,value
Mar-May 1992,983597.6663
Apr-Jun 1992,999227.5971
May-Jul 1992,1012273.553
Jun-Aug 1992,1035075.336
Jul-Sep 1992,1109234.904
Aug-Oct 1992,1076992.438
Sep-Nov 1992,1044244.342
Oct-Dec 1992,1015647.241
Nov-Jan 1993,1021846.892
Dec-Feb 1993,1013268.48
Jan-Mar 1993,1007395.997
Feb-Apr 1993,1001106.018
Mar-May 1993,980215.9381
Apr-Jun 1993,1000299.392
May-Jul 1993,1027575.574
Jun-Aug 1993,1070383.869
Jul-Sep 1993,1089863.397
Aug-Oct 1993,1107346.15
Sep-Nov 1993,1103540.299
Oct-Dec 1993,1103086.964
Nov-Jan 1994,1099637.718
Dec-Feb 1994,1099800.873
Jan-Mar 1994,1113209.912
Feb-Apr 1994,1119842.956
Mar-May 1994,1144140.58
Apr-Jun 1994,1151855.332
May-Jul 1994,1121746.647
Jun-Aug 1994,1082307.871
Jul-Sep 1994,1103025.879
Aug-Oct 1994,1108889.87
Sep-Nov 1994,1134048.201
Oct-Dec 1994,1133835.038
Nov-Jan 1995,1145553.228
Dec-Feb 1995,1153114.763
Jan-Mar 1995,1151991.623
Feb-Apr 1995,1161962.555
Mar-May 1995,1171002.986
Apr-Jun 1995,1193147.718
May-Jul 1995,1160363.484
Jun-Aug 1995,1108301.912
Jul-Sep 1995,1111120.808
Aug-Oct 1995,1097792.063
Sep-Nov 1995,1114460.727
Oct-Dec 1995,1129016.879
Nov-Jan 1996,1131698.833
Dec-Feb 1996,1136820.718
Jan-Mar 1996,1146607.002
Feb-Apr 1996,1138981.188
Mar-May 1996,1140483.934
Apr-Jun 1996,1137028.139
May-Jul 1996,1150385.767
Jun-Aug 1996,1136556.591
Jul-Sep 1996,1132682.436
Aug-Oct 1996,1115902.72
Sep-Nov 1996,1106266.463
Oct-Dec 1996,1123849.012
Nov-Jan 1997,1133998.157
Dec-Feb 1997,1147214.295
Jan-Mar 1997,1136629.084
Feb-Apr 1997,1142892.645
Mar-May 1997,1134551.855
Apr-Jun 1997,1155711.059
May-Jul 1997,1157384.778
Jun-Aug 1997,1190652.804
Jul-Sep 1997,1210427.351
Aug-Oct 1997,1212668.216
Sep-Nov 1997,1207124.555
Oct-Dec 1997,1203106.656
Nov-Jan 1998,1198626.624
Dec-Feb 1998,1194663.657
Jan-Mar 1998,1208128.635
