date,series,value,label
2000-09-01,Undergraduate,1541225,
2000-09-01,Postgraduate,406905,
2000-09-01,Total,1948135,
2001-09-01,Undergraduate,1615130,
2001-09-01,Postgraduate,427455,
2001-09-01,Total,2042580,
2002-09-01,Undergraduate,1676920,
2002-09-01,Postgraduate,454190,
2002-09-01,Total,2131110,
2003-09-01,Undergraduate,1722685,
2003-09-01,Postgraduate,477495,
2003-09-01,Total,2200175,
2004-09-01,Undergraduate,1753810,
2004-09-01,Postgraduate,482115,
2004-09-01,Total,2235925,
2005-09-01,Undergraduate,1789025,
2005-09-01,Postgraduate,492755,
2005-09-01,Total,2281780,
2006-09-01,Undergraduate,1802280,
2006-09-01,Postgraduate,502965,
2006-09-01,Total,2305250,
2007-09-01,Undergraduate,1804305,
2007-09-01,Postgraduate,501480,
2007-09-01,Total,2305780,
2008-09-01,Undergraduate,1860425,
2008-09-01,Postgraduate,537160,
2008-09-01,Total,2397585,
2009-09-01,Undergraduate,1914835,
2009-09-01,Postgraduate,578915,
2009-09-01,Total,2493750,
2010-09-01,Undergraduate,1913940,
2010-09-01,Postgraduate,589070,
2010-09-01,Total,2503010,
2011-09-01,Undergraduate,1928140,
2011-09-01,Postgraduate,568490,
2011-09-01,Total,2496635,
2012-09-01,Undergraduate,1803755,
2012-09-01,Postgraduate,536715,
2012-09-01,Total,2340470,
2013-09-01,Undergraduate,1760020,
2013-09-01,Postgraduate,539440,
2013-09-01,Total,2299460,
2014-09-01,Undergraduate,1777645,
2014-09-01,Postgraduate,538195,
2014-09-01,Total,2315840,
2015-09-01,Undergraduate,1801570,
2015-09-01,Postgraduate,531255,
2015-09-01,Total,2332825,
2016-09-01,Undergraduate,1818565,
2016-09-01,Postgraduate,558410,
2016-09-01,Total,2376975,
2017-09-01,Undergraduate,1832735,
2017-09-01,Postgraduate,582010,
2017-09-01,Total,2414745,
2018-09-01,Undergraduate,1853840,
2018-09-01,Postgraduate,602710,
2018-09-01,Total,2456545,
2019-09-01,Undergraduate,1890020,
2019-09-01,Postgraduate,642145,
2019-09-01,Total,2532165,
2020-09-01,Undergraduate,2008525,
2020-09-01,Postgraduate,743340,
2020-09-01,Total,2751865,
2021-09-01,Undergraduate,2042310,Undergraduate
2021-09-01,Postgraduate,820310,Postgraduate
2021-09-01,Total,2862620,Total
