date,aged 18 to 24 in full-time education (thousands)
Mar-May 1992,984
Apr-Jun 1992,999
May-Jul 1992,"1,012"
Jun-Aug 1992,"1,035"
Jul-Sep 1992,"1,109"
Aug-Oct 1992,"1,077"
Sep-Nov 1992,"1,044"
Oct-Dec 1992,"1,016"
Nov-Jan 1993,"1,022"
Dec-Feb 1993,"1,013"
Jan-Mar 1993,"1,007"
Feb-Apr 1993,"1,001"
Mar-May 1993,980
Apr-Jun 1993,"1,000"
May-Jul 1993,"1,028"
Jun-Aug 1993,"1,070"
Jul-Sep 1993,"1,090"
Aug-Oct 1993,"1,107"
Sep-Nov 1993,"1,104"
Oct-Dec 1993,"1,103"
Nov-Jan 1994,"1,100"
Dec-Feb 1994,"1,100"
Jan-Mar 1994,"1,113"
Feb-Apr 1994,"1,120"
Mar-May 1994,"1,144"
Apr-Jun 1994,"1,152"
May-Jul 1994,"1,122"
Jun-Aug 1994,"1,082"
Jul-Sep 1994,"1,103"
Aug-Oct 1994,"1,109"
Sep-Nov 1994,"1,134"
Oct-Dec 1994,"1,134"
Nov-Jan 1995,"1,146"
Dec-Feb 1995,"1,153"
Jan-Mar 1995,"1,152"
Feb-Apr 1995,"1,162"
Mar-May 1995,"1,171"
Apr-Jun 1995,"1,193"
May-Jul 1995,"1,160"
Jun-Aug 1995,"1,108"
Jul-Sep 1995,"1,111"
Aug-Oct 1995,"1,098"
Sep-Nov 1995,"1,114"
Oct-Dec 1995,"1,129"
Nov-Jan 1996,"1,132"
Dec-Feb 1996,"1,137"
Jan-Mar 1996,"1,147"
Feb-Apr 1996,"1,139"
Mar-May 1996,"1,140"
Apr-Jun 1996,"1,137"
May-Jul 1996,"1,150"
Jun-Aug 1996,"1,137"
Jul-Sep 1996,"1,133"
Aug-Oct 1996,"1,116"
Sep-Nov 1996,"1,106"
Oct-Dec 1996,"1,124"
Nov-Jan 1997,"1,134"
Dec-Feb 1997,"1,147"
Jan-Mar 1997,"1,137"
Feb-Apr 1997,"1,143"
Mar-May 1997,"1,135"
Apr-Jun 1997,"1,156"
May-Jul 1997,"1,157"
Jun-Aug 1997,"1,191"
Jul-Sep 1997,"1,210"
Aug-Oct 1997,"1,213"
Sep-Nov 1997,"1,207"
Oct-Dec 1997,"1,203"
Nov-Jan 1998,"1,199"
Dec-Feb 1998,"1,195"
Jan-Mar 1998,"1,208"
Feb-Apr 1998,"1,212"
Mar-May 1998,"1,204"
Apr-Jun 1998,"1,218"
May-Jul 1998,"1,219"
Jun-Aug 1998,"1,229"
Jul-Sep 1998,"1,265"
Aug-Oct 1998,"1,285"
Sep-Nov 1998,"1,267"
Oct-Dec 1998,"1,276"
Nov-Jan 1999,"1,284"
Dec-Feb 1999,"1,268"
Jan-Mar 1999,"1,269"
Feb-Apr 1999,"1,272"
Mar-May 1999,"1,278"
Apr-Jun 1999,"1,272"
May-Jul 1999,"1,248"
Jun-Aug 1999,"1,262"
Jul-Sep 1999,"1,256"
Aug-Oct 1999,"1,248"
Sep-Nov 1999,"1,240"
Oct-Dec 1999,"1,222"
Nov-Jan 2000,"1,219"
Dec-Feb 2000,"1,226"
Jan-Mar 2000,"1,230"
Feb-Apr 2000,"1,234"
Mar-May 2000,"1,248"
Apr-Jun 2000,"1,274"
May-Jul 2000,"1,288"
Jun-Aug 2000,"1,271"
Jul-Sep 2000,"1,270"
Aug-Oct 2000,"1,275"
Sep-Nov 2000,"1,275"
Oct-Dec 2000,"1,283"
Nov-Jan 2001,"1,291"
Dec-Feb 2001,"1,296"
Jan-Mar 2001,"1,293"
Feb-Apr 2001,"1,279"
Mar-May 2001,"1,297"
Apr-Jun 2001,"1,294"
May-Jul 2001,"1,303"
Jun-Aug 2001,"1,297"
Jul-Sep 2001,"1,311"
