Country,Year,Value
Canada,2000,44.05310059
France,2000,50.1651001
Italy,2000,44.95270157
Japan,2000,28.66871441
Spain,2000,38.23880005
United Kingdom,2000,40.35329819
United States,2000,35.35329819
Canada,2001,41.63163813
France,2001,50.00830078
Italy,2001,44.52339935
Japan,2001,28.99350499
Spain,2001,38.11410141
United Kingdom,2001,40.6507988
United States,2001,32.25717438
Canada,2002,40.15995724
France,2002,49.58789825
Italy,2002,43.9530983
Japan,2002,28.05583906
Spain,2002,38.67210007
United Kingdom,2002,39.02399826
United States,2002,29.87701641
Canada,2003,40.14873118
France,2003,49.31029892
Italy,2003,44.43090057
Japan,2003,27.60512221
Spain,2003,38.04000092
United Kingdom,2003,38.72050095
United States,2003,29.26645689
Canada,2004,39.90234561
France,2004,49.64350128
Italy,2004,43.95980072
Japan,2004,28.36400543
Spain,2004,38.76139832
United Kingdom,2004,39.49269867
United States,2004,29.47550477
Canada,2005,40.07372027
France,2005,50.60350037
Italy,2005,43.42340088
Japan,2005,29.08104476
Spain,2005,39.70149994
United Kingdom,2005,40.67179871
United States,2005,30.85292042
Canada,2006,40.48839907
France,2006,50.59970093
Italy,2006,45.03900146
Japan,2006,30.02788646
Spain,2006,40.71889877
United Kingdom,2006,41.45420074
United States,2006,31.65565013
Canada,2007,40.33870394
France,2007,49.85820007
Italy,2007,46.04069901
Japan,2007,30.221719
Spain,2007,41.13420105
United Kingdom,2007,41.14260101
United States,2007,31.64870719
Canada,2008,38.95980848
France,2008,49.93799973
Italy,2008,45.92770004
Japan,2008,29.99758632
Spain,2008,36.96419907
United Kingdom,2008,42.85319901
United States,2008,30.53160323
Canada,2009,39.53939773
France,2009,49.16379929
Italy,2009,46.25740051
Japan,2009,28.99263828
Spain,2009,35.08779907
United Kingdom,2009,40.0625
United States,2009,28.22183236
Canada,2010,38.32638675
France,2010,49.54410172
Italy,2010,45.76229858
Japan,2010,28.66910529
Spain,2010,36.27999878
United Kingdom,2010,40.28129959
United States,2010,28.77009896
Canada,2011,38.26651026
France,2011,51.13592364
Italy,2011,45.58139591
Japan,2011,29.64110894
Spain,2011,36.41506614
United Kingdom,2011,36.0702459
United States,2011,29.08041007
Canada,2012,38.40168651
France,2012,52.12628854
Italy,2012,47.64464013
Japan,2012,30.44154489
Spain,2012,37.91974427
United Kingdom,2012,36.07816997
United States,2012,29.10896121
Canada,2013,38.46603517
France,2013,53.14369518
Italy,2013,48.09728724
Japan,2013,31.16681993
Spain,2013,38.85920815
United Kingdom,2013,36.45432633
United States,2013,31.29146586
Canada,2014,38.54537926
France,2014,53.30894307
Italy,2014,47.90107693
Japan,2014,32.77291099
Spain,2014,39.22262853
United Kingdom,2014,35.66482556
United States,2014,31.37953384
Canada,2015,39.95657244
France,2015,53.17239742
Italy,2015,47.76492052
Japan,2015,33.61743642
Spain,2015,38.73936547
United Kingdom,2015,35.74855362
United States,2015,31.66008505
Canada,2016,40.30006887
France,2016,53.04859299
Italy,2016,46.67449391
Japan,2016,33.62966659
Spain,2016,38.16469554
United Kingdom,2016,36.1799505
United States,2016,31.17935716
Canada,2017,40.34296269
France,2017,53.54503357
Italy,2017,46.34424992
Japan,2017,33.58726606
Spain,2017,38.19699404
United Kingdom,2017,36.64264118
United States,2017,30.64652532
Canada,2018,41.0222416
France,2018,53.35559593
Italy,2018,46.22875469
Japan,2018,34.26729888
Spain,2018,39.21887862
United Kingdom,2018,36.56476979
United States,2018,30.22939331
Canada,2019,40.57235528
France,2019,52.28715538
Italy,2019,46.96415382
Japan,2019,34.24905303
Spain,2019,39.22367731
United Kingdom,2019,36.31097577
United States,2019,30.22235214
Canada,2020,41.79933665
France,2020,52.36266045
Italy,2020,47.33702945
Japan,2020,35.48528921
Spain,2020,41.78443446
United Kingdom,2020,36.85955686
United States,2020,30.81469294
Canada,2021,41.47463877
France,2021,52.63090307
Italy,2021,48.29734247
Japan,2021,36.55286204
Spain,2021,43.19089578
United Kingdom,2021,38.01306114
United States,2021,31.39627473
Canada,2022,40.61919505
France,2022,53.52996655
Italy,2022,48.78757816
Japan,2022,37.23860725
Spain,2022,42.37453551
United Kingdom,2022,38.79562417
United States,2022,32.54914782
