Country Name,Country Code,Year,Value
Canada,CAN,1960-01-01,
Spain,ESP,1960-01-01,
France,FRA,1960-01-01,
United Kingdom,GBR,1960-01-01,
Italy,ITA,1960-01-01,
Japan,JPN,1960-01-01,
United States,USA,1960-01-01,
Canada,CAN,1961-01-01,20.4142667560163
Spain,ESP,1961-01-01,
France,FRA,1961-01-01,
United Kingdom,GBR,1961-01-01,
Italy,ITA,1961-01-01,
Japan,JPN,1961-01-01,
United States,USA,1961-01-01,
Canada,CAN,1962-01-01,21.6567604580786
Spain,ESP,1962-01-01,
France,FRA,1962-01-01,
United Kingdom,GBR,1962-01-01,
Italy,ITA,1962-01-01,
Japan,JPN,1962-01-01,
United States,USA,1962-01-01,
Canada,CAN,1963-01-01,21.8337430981312
Spain,ESP,1963-01-01,
France,FRA,1963-01-01,
United Kingdom,GBR,1963-01-01,
Italy,ITA,1963-01-01,
Japan,JPN,1963-01-01,
United States,USA,1963-01-01,
Canada,CAN,1964-01-01,23.0258258344473
Spain,ESP,1964-01-01,
France,FRA,1964-01-01,
United Kingdom,GBR,1964-01-01,
Italy,ITA,1964-01-01,
Japan,JPN,1964-01-01,
United States,USA,1964-01-01,
Canada,CAN,1965-01-01,24.0461535345411
Spain,ESP,1965-01-01,
France,FRA,1965-01-01,
United Kingdom,GBR,1965-01-01,
Italy,ITA,1965-01-01,
Japan,JPN,1965-01-01,
United States,USA,1965-01-01,
Canada,CAN,1966-01-01,24.4968609383801
Spain,ESP,1966-01-01,
France,FRA,1966-01-01,
United Kingdom,GBR,1966-01-01,
Italy,ITA,1966-01-01,
Japan,JPN,1966-01-01,
United States,USA,1966-01-01,
Canada,CAN,1967-01-01,22.643923608126
Spain,ESP,1967-01-01,
France,FRA,1967-01-01,
United Kingdom,GBR,1967-01-01,
Italy,ITA,1967-01-01,
Japan,JPN,1967-01-01,
United States,USA,1967-01-01,
Canada,CAN,1968-01-01,22.0552605659457
Spain,ESP,1968-01-01,
France,FRA,1968-01-01,
United Kingdom,GBR,1968-01-01,
Italy,ITA,1968-01-01,
Japan,JPN,1968-01-01,
United States,USA,1968-01-01,
Canada,CAN,1969-01-01,22.0290164461553
Spain,ESP,1969-01-01,
France,FRA,1969-01-01,
United Kingdom,GBR,1969-01-01,
Italy,ITA,1969-01-01,
Japan,JPN,1969-01-01,
United States,USA,1969-01-01,
Canada,CAN,1970-01-01,21.2120018315903
Spain,ESP,1970-01-01,
France,FRA,1970-01-01,
United Kingdom,GBR,1970-01-01,24.4621229827858
Italy,ITA,1970-01-01,27.0771113369562
Japan,JPN,1970-01-01,
United States,USA,1970-01-01,21.5594291639919
Canada,CAN,1971-01-01,21.2871236946741
Spain,ESP,1971-01-01,
France,FRA,1971-01-01,
United Kingdom,GBR,1971-01-01,23.4577958801977
Italy,ITA,1971-01-01,25.4938262640035
Japan,JPN,1971-01-01,
United States,USA,1971-01-01,21.4783019272868
Canada,CAN,1972-01-01,21.3187193390859
Spain,ESP,1972-01-01,
France,FRA,1972-01-01,
United Kingdom,GBR,1972-01-01,22.111734492729
Italy,ITA,1972-01-01,24.7803074367012
Japan,JPN,1972-01-01,
United States,USA,1972-01-01,22.1088100319754
Canada,CAN,1973-01-01,23.3959995752318
Spain,ESP,1973-01-01,
France,FRA,1973-01-01,
United Kingdom,GBR,1973-01-01,22.9242458767363
Italy,ITA,1973-01-01,24.9801556133126
Japan,JPN,1973-01-01,
United States,USA,1973-01-01,23.7859343780167
Canada,CAN,1974-01-01,24.287766432265
Spain,ESP,1974-01-01,
France,FRA,1974-01-01,
United Kingdom,GBR,1974-01-01,20.0630866392019
Italy,ITA,1974-01-01,25.7350182033687
Japan,JPN,1974-01-01,
United States,USA,1974-01-01,22.6833578925774
Canada,CAN,1975-01-01,21.2404310644036
Spain,ESP,1975-01-01,25.0968415668704
France,FRA,1975-01-01,25.3972361956146
United Kingdom,GBR,1975-01-01,19.3114249011386
Italy,ITA,1975-01-01,24.0560130312049
Japan,JPN,1975-01-01,
United States,USA,1975-01-01,20.9152568929743
Canada,CAN,1976-01-01,21.8837631156678
Spain,ESP,1976-01-01,22.5158225772892
France,FRA,1976-01-01,25.160132414894
United Kingdom,GBR,1976-01-01,20.6210309266121
Italy,ITA,1976-01-01,25.6267189400978
Japan,JPN,1976-01-01,
United States,USA,1976-01-01,21.4645790674982
Canada,CAN,1977-01-01,20.5988889092706
Spain,ESP,1977-01-01,22.9302797742048
France,FRA,1977-01-01,24.9533226211096
United Kingdom,GBR,1977-01-01,21.7693108790608
Italy,ITA,1977-01-01,25.6276517174437
Japan,JPN,1977-01-01,
United States,USA,1977-01-01,22.2081960740235
Canada,CAN,1978-01-01,20.299221587014
Spain,ESP,1978-01-01,23.5354849754755
France,FRA,1978-01-01,25.0323532735091
United Kingdom,GBR,1978-01-01,22.1242878945567
Italy,ITA,1978-01-01,26.0550739325719
Japan,JPN,1978-01-01,
