latitude,longitude,accessibility_type_group_text
50.81775,-0.07526183,Private
53.37419,-2.755077,Public Access
53.04291,-2.227043,Public Access
50.99318,-1.364538,Public Access
53.65384,-1.838647,Public Access
51.36094,1.418563,Public Access
51.65045,-0.3916484,Public Access
51.65968,-0.06135222,Public Access
50.8233,-0.3808207,Private
55.13187,-1.604959,Public Access
51.36393,-2.325884,Public Access
52.03807,-2.728422,Private
51.91349,-2.110466,Public Access
53.36758,-0.7557988,Private
51.44941,-1.01144,Public Access
52.89108,-1.46071,Public Access
51.63456,0.3514612,Public Access
52.94909,-1.104389,Public Access
51.65689,-0.3888908,Public Access
53.82311,-3.041885,Public Access
54.03379,-1.495437,Public Access
52.49701,0.05157512,Public Access
53.78401,-1.66318,Public Access
51.44941,-1.01144,Public Access
51.65045,-0.3916484,Public Access
51.91349,-2.110466,Private
51.75438,0.1044521,Public Access
52.03807,-2.728422,Private
52.80777,-2.116613,Public Access
53.61516,-1.469054,Public Access
53.471,-2.777977,Public Access
51.43131,-0.05913807,Public Access
52.79436,1.259534,Public Access
53.57826,-0.6458744,Public Access
50.71555,-1.985649,Private
53.10025,-2.321518,Public Access
51.45219,-0.05980706,Private
50.12468,-5.543798,Public Access
53.10474,-1.242339,Public Access
51.43131,-0.05913807,Public Access
52.94747,-1.034631,Public Access
52.94909,-1.104389,Public Access
51.57288,0.05891595,Public Access
52.25666,0.7021984,Public Access
50.70778,-1.305345,Public Access
51.45879,0.08839723,Public Access
53.35906,-2.896152,Public Access
54.58196,-1.298114,Public Access
53.71512,-2.484323,Public Access
51.45211,-1.027933,Private
50.81775,-0.07526183,Private
54.68643,-1.620933,Public Access
53.44341,-2.153672,Public Access
52.1806,0.8504918,Public Access
50.85513,0.4547033,Public Access
54.66648,-1.238422,Public Access
53.70772,-1.512464,Private
53.70772,-1.512464,Private
54.58196,-1.298114,Private
53.76505,-0.3868604,Private
53.75082,-2.369088,Public Access
54.58196,-1.298114,Private
51.91349,-2.110466,Public Access
51.44281,0.06205164,Public Access
53.5736,-2.395129,Public Access
54.1109,-3.256609,Public Access
50.6849,-4.104704,Private
51.45795,0.1690157,Public Access
51.45806,-0.02753002,Public Access
53.37951,-2.583433,Private
52.07706,0.4437359,Public Access
51.89011,-0.1879282,Private
51.59953,-1.142539,Public Access
51.62188,-0.3752108,Public Access
53.60175,-2.18929,Public Access
53.57826,-0.6458744,Public Access
51.53626,-2.417225,Private
51.51957,-0.1749972,Private
51.51934,-0.3898474,Public Access
51.91349,-2.110466,Public Access
53.23192,-1.470521,Public Access
50.85513,0.4547033,Public Access
53.49785,-1.316035,Private
50.78057,-1.129478,Private
53.71199,-1.627144,Public Access
53.72034,-1.888243,Public Access
51.91349,-2.110466,Public Access
51.45879,0.08839723,Private
51.91349,-2.110466,Public Access
52.64347,1.21749,Public Access
51.35727,-0.1221169,Public Access
51.53428,-0.192418,Public Access
53.37419,-2.755077,Public Access
54.58196,-1.298114,Private
51.58925,-1.756244,Public Access
54.69874,-1.599737,Public Access
51.54053,0.6919739,Public Access
51.09304,-4.141367,Private
51.88535,-0.177613,Public Access
52.31256,-1.922448,Public Access
52.94747,-1.034631,Public Access
52.31256,-1.922448,Public Access
50.81775,-0.07526183,Private
51.36095,1.422084,Private
54.89803,-2.928395,Public Access
52.30992,-1.530162,Public Access
50.85813,-2.734536,Public Access
51.02652,-0.4503269,Public Access
54.69874,-1.599737,Public Access
51.68542,-0.4059194,Public Access
53.56681,-1.998495,Public Access
51.36094,1.418563,Public Access
53.71512,-2.484323,Public Access
51.69806,-0.3917569,Public Access
50.85513,0.4547033,Public Access
53.44341,-2.153672,Public Access
51.41179,-2.575439,Public Access
52.03807,-2.728422,Private
53.56681,-1.998495,Public Access
51.58719,-0.09054026,Public Access
51.54053,0.6919739,Public Access
50.81775,-0.07526183,Private
51.19839,1.363988,Private
52.03807,-2.728422,Private
52.33168,0.8498347,Public Access
53.75082,-2.369088,Public Access
51.49511,-2.478171,Public Access
51.41684,0.3770547,Public Access
50.85513,0.4547033,Public Access
54.54238,-1.405749,Public Access
51.174,-1.515721,Private
53.58653,-1.026242,Public Access
52.0862,-2.354442,Private
53.41782,-2.894428,Public Access
52.80777,-2.116613,Public Access
51.36094,1.418563,Public Access
52.95514,-1.138525,Public Access
50.85813,-2.734536,Public Access
53.19835,-2.880467,Public Access
52.64347,1.21749,Public Access
53.04291,-2.227043,Public Access
52.69782,-1.166057,Public Access
51.46918,0.1002626,Private
53.73159,-2.755673,Private
51.7623,-1.58164,Private
54.58196,-1.298114,Public Access
54.58196,-1.298114,Public Access
51.69806,-0.3917569,Public Access
54.58196,-1.298114,Public Access
54.66765,-3.35081,Public Access
52.79436,1.259534,Public Access
51.9972,-0.7261089,Public Access
51.9972,-0.7261089,Public Access
52.58285,-1.958288,Public Access
51.9972,-0.7261089,Public Access
51.9972,-0.7261089,Public Access
51.9972,-0.7261089,Public Access
53.01554,-2.231493,Public Access
51.9972,-0.7261089,Public Access
53.01554,-2.231493,Private
51.9972,-0.7261089,Public Access
53.37123,0.006951718,Public Access
53.37123,0.006951718,Public Access
51.46425,-0.1339458,Public Access
51.46425,-0.1339458,Public Access
51.46425,-0.1339458,Public Access
51.46425,-0.1339458,Public Access
51.46425,-0.1339458,Public Access
51.46425,-0.1339458,Public Access
51.58965,-1.784259,Private
51.66649,-0.5491987,Public Access
52.31348,0.3925263,Public Access
52.76242,-1.252259,Public Access
52.76242,-1.252259,Public Access
53.42384,-1.204493,Public Access
52.56358,-1.688223,Public Access
53.55765,-3.061039,Public Access
50.28788,-4.785776,Public Access
51.57042,-0.1165314,Public Access
53.73881,-0.3548271,Public Access
50.33848,-4.891424,Public Access
53.42384,-1.204493,Public Access
53.42384,-1.204493,Public Access
50.33848,-4.891424,Private
54.92441,-2.94046,Public Access
51.50582,-0.4148341,Public Access
51.57042,-0.1165314,Public Access
53.42384,-1.204493,Public Access
53.80196,-2.253235,Public Access
53.55765,-3.061039,Public Access
50.95742,-3.542804,Public Access
50.67636,-1.093472,Private
52.45823,-1.959583,Public Access
52.45823,-1.959583,Public Access
51.70412,-0.3469646,Public Access
51.70412,-0.3469646,Public Access
51.70412,-0.3469646,Public Access
51.70412,-0.3469646,Public Access
51.70412,-0.3469646,Public Access
52.92059,1.226739,Private
50.94428,-2.646021,Public Access
54.53013,-1.541709,Private
51.23829,-0.6047302,Public Access
52.57106,-1.854529,Public Access
53.82269,-1.771498,Public Access
51.10072,0.8374204,Public Access
51.24299,-0.5949883,Public Access
51.82286,-0.2837891,Public Access
50.5553,-2.441054,Public Access
51.24299,-0.5949883,Public Access
51.24299,-0.5949883,Public Access
53.83369,-1.485749,Not Known
51.14811,0.8702961,Public Access
51.82286,-0.2837891,Public Access
52.43802,-1.815712,Public Access
53.83369,-1.485749,Not Known
51.44161,0.103579,Public Access
51.60878,0.1150617,Private
51.23829,-0.6047302,Public Access
52.92059,1.226739,Private
51.24299,-0.5949883,Public Access
53.99793,-1.070676,Public Access
51.23829,-0.6047302,Public Access
53.0385,-2.253626,Public Access
53.69118,-2.695712,Public Access
50.40987,-4.154677,Public Access
52.62287,-1.937043,Public Access
53.16821,-1.41712,Public Access
52.92059,1.226739,Private
52.51907,-1.810369,Public Access
51.23829,-0.6047302,Public Access
53.99793,-1.070676,Public Access
51.99173,1.06964,Private
51.23829,-0.6047302,Public Access
53.99793,-1.070676,Public Access
52.43802,-1.815712,Public Access
51.24299,-0.5949883,Public Access
52.52086,-1.955722,Public Access
52.28682,-1.544436,Public Access
53.99793,-1.070676,Public Access
53.69118,-2.695712,Public Access
52.56173,-1.789288,Public Access
51.82286,-0.2837891,Public Access
52.26592,1.016959,Public Access
51.10072,0.8374204,Public Access
53.16451,-2.203902,Public Access
53.99793,-1.070676,Private
52.92059,1.226739,Private
53.99793,-1.070676,Public Access
53.16451,-2.203902,Public Access
50.5553,-2.441054,Public Access
52.62287,-1.937043,Public Access
53.55597,-2.447317,Public Access
53.55597,-2.447317,Public Access
51.54185,-0.4718989,Public Access
53.72228,-2.498242,Public Access
51.54185,-0.4718989,Private
51.54185,-0.4718989,Public Access
51.54185,-0.4718989,Public Access
51.54185,-0.4718989,Public Access
51.54185,-0.4718989,Private
51.54185,-0.4718989,Public Access
51.70432,-0.05208454,Public Access
51.89893,-2.331749,Public Access
53.7225,-1.855102,Public Access
51.63105,-0.1067468,Public Access
52.59088,-1.181585,Public Access
50.81227,-1.08024,Public Access
52.05418,-2.710034,Public Access
50.38774,-3.920685,Public Access
52.97168,-1.170716,Public Access
52.97168,-1.170716,Public Access
52.97168,-1.170716,Public Access
51.66649,-0.07888911,Public Access
51.52946,-1.676443,Private
51.85143,1.066303,Public Access
53.80999,-1.687148,Public Access
53.22124,-1.400274,Public Access
53.53753,-2.692979,Public Access
51.70432,-0.05208454,Public Access
52.99609,-2.19889,Public Access
53.53753,-2.692979,Public Access
51.89893,-2.331749,Public Access
51.70432,-0.05208454,Public Access
53.53753,-2.692979,Public Access
52.59088,-1.181585,Public Access
50.73501,-3.429813,Public Access
53.53753,-2.692979,Public Access
52.99609,-2.19889,Public Access
52.78122,-0.8873041,Public Access
52.21306,-1.853356,Public Access
52.33047,-0.08731817,Public Access
52.59088,-1.181585,Public Access
53.80999,-1.687148,Public Access
53.53753,-2.692979,Private
51.65131,-0.08700684,Public Access
52.21306,-1.853356,Public Access
53.7225,-1.855102,Public Access
51.70432,-0.05208454,Public Access
52.09878,0.2713128,Public Access
51.89893,-2.331749,Public Access
52.62349,-1.204431,Private
51.87824,-0.5282165,Public Access
53.29379,-3.081502,Public Access
53.29379,-3.081502,Public Access
53.29379,-3.081502,Public Access
52.62349,-1.204431,Public Access
53.29379,-3.081502,Public Access
51.6217,-0.04851789,Public Access
51.70432,-0.05208454,Public Access
51.60878,0.1150617,Private
52.95514,-1.138525,Public Access
53.29379,-3.081502,Public Access
51.91349,-2.110466,Public Access
52.97168,-1.170716,Public Access
52.62349,-1.204431,Private
53.76423,-0.3889779,Private
52.97168,-1.170716,Public Access
53.77468,-1.777099,Public Access
52.99609,-2.19889,Public Access
53.85423,-3.039131,Public Access
53.29379,-3.081502,Private
51.4115,-0.1683028,Public Access
51.4115,-0.1683028,Public Access
51.38201,1.370628,Public Access
51.51821,-0.4333503,Public Access
51.51821,-0.4333503,Public Access
51.51821,-0.4333503,Public Access
51.47446,0.07718677,Public Access
51.62645,-0.0658279,Public Access
54.89438,-1.38708,Public Access
53.78906,-2.249736,Public Access
50.08175,-5.257882,Private
53.32486,-2.679303,Public Access
51.45082,0.04298345,Public Access
52.0272,-0.7709104,Public Access
53.78906,-2.249736,Public Access
53.94594,-1.114934,Public Access
53.50949,-2.076604,Private
52.0272,-0.7709104,Public Access
53.33038,-2.750426,Public Access
52.0272,-0.7709104,Public Access
53.32486,-2.679303,Public Access
53.32486,-2.679303,Public Access
51.47987,0.1203165,Public Access
51.88993,-0.5252342,Private
51.43385,0.05322944,Public Access
53.94246,-1.059096,Public Access
50.38297,-3.924714,Public Access
51.62645,-0.0658279,Public Access
51.60466,-0.1000322,Public Access
53.50949,-2.076604,Private
53.82755,-2.219815,Public Access
52.0272,-0.7709104,Public Access
50.86403,-2.171479,Private
53.68661,-1.694356,Public Access
52.12844,0.2021334,Public Access
51.47987,0.1203165,Public Access
51.51212,-0.6072466,Public Access
53.82755,-2.219815,Public Access
53.96614,-1.092511,Public Access
52.65778,1.2061,Public Access
51.47608,0.3294724,Public Access
53.32486,-2.679303,Public Access
53.81988,-1.765696,Public Access
55.33359,-1.585742,Public Access
53.39336,-2.95173,Public Access
53.87554,-2.72788,Private
54.58491,-1.241476,Public Access
51.50898,-0.4200275,Public Access
51.50898,-0.4200275,Public Access
51.50898,-0.4200275,Public Access
51.50898,-0.4200275,Public Access
53.45425,-2.510839,Private
50.88789,0.5570576,Public Access
51.18619,-0.6129013,Public Access
50.97755,0.4026417,Public Access
51.03546,-2.271472,Public Access
51.18619,-0.6129013,Public Access
53.56104,-2.333183,Public Access
51.41978,-2.566403,Private
52.40101,0.2630299,Public Access
51.41978,-2.566403,Public Access
51.41978,-2.566403,Private
53.55347,-0.09336215,Public Access
51.41978,-2.566403,Private
51.54285,0.6949836,Public Access
50.85666,0.5677226,Public Access
54.51989,-1.519934,Public Access
52.42522,-0.8004673,Public Access
52.64133,-1.692755,Public Access
52.49832,-2.006107,Public Access
53.39765,-2.239462,Public Access
51.43615,-0.3358851,Public Access
53.44844,-2.027657,Public Access
51.41978,-2.566403,Private
53.43684,-2.173801,Public Access
52.39003,-1.571317,Private
53.45425,-2.510839,Public Access
53.57496,-1.378479,Public Access
54.8106,-2.428456,Public Access
54.61884,-1.598606,Public Access
51.38253,-2.150334,Public Access
53.57496,-1.378479,Public Access
51.41978,-2.566403,Private
51.4242,-2.595598,Public Access
51.38253,-2.150334,Public Access
51.41978,-2.566403,Private
51.54285,0.6949836,Public Access
51.79548,-0.6582912,Public Access
51.4242,-2.595598,Public Access
53.45425,-2.510839,Public Access
53.45425,-2.510839,Private
50.88789,0.5570576,Public Access
51.38253,-2.150334,Public Access
51.4242,-2.595598,Private
53.37597,-2.233592,Public Access
51.41978,-2.566403,Private
51.4242,-2.595598,Public Access
52.00453,1.044444,Private
51.79548,-0.6582912,Public Access
51.41978,-2.566403,Private
53.56104,-2.333183,Public Access
51.41978,-2.566403,Private
50.78263,-2.993059,Private
53.39487,-2.057772,Public Access
52.22454,1.352204,Public Access
51.101,-0.1906977,Private
52.62913,1.288558,Private
52.64133,-1.692755,Public Access
51.2841,-0.07845649,Public Access
51.38253,-2.150334,Public Access
51.26156,-0.1729363,Private
53.56104,-2.333183,Public Access
53.55347,-0.09336215,Public Access
53.49485,-2.303673,Public Access
52.63102,-1.102551,Public Access
51.41978,-2.566403,Private
50.77394,0.1010475,Public Access
50.88789,0.5570576,Public Access
51.44262,-2.471243,Public Access
53.41422,-2.141144,Public Access
52.63102,-1.102551,Public Access
53.45425,-2.510839,Private
50.47485,-4.980454,Private
51.38253,-2.150334,Public Access
55.01223,-1.575064,Private
50.42706,-4.13956,Public Access
51.64363,-0.154703,Private
51.64363,-0.154703,Private
51.64363,-0.154703,Private
51.64363,-0.154703,Private
51.64363,-0.154703,Public Access
53.01519,-1.159598,Private
53.01519,-1.159598,Public Access
53.01519,-1.159598,Private
53.01519,-1.159598,Private
53.01519,-1.159598,Public Access
53.01519,-1.159598,Public Access
53.01519,-1.159598,Private
53.01519,-1.159598,Private
53.88797,-2.75501,Public Access
53.88797,-2.75501,Public Access
53.88797,-2.75501,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
54.96651,-1.407068,Public Access
52.93599,-1.131837,Public Access
51.10043,-0.633592,Public Access
