month,closures,public_closed,private_closed,openings,public_opened,private_opened
2010-01-01,174.0,136.0,38.0,4.0,3.0,1.0
2010-02-01,199.0,159.0,40.0,4.0,3.0,1.0
2010-03-01,262.0,210.0,50.0,4.0,3.0,1.0
2010-04-01,328.0,269.0,57.0,4.0,3.0,1.0
2010-05-01,373.0,308.0,63.0,8.0,7.0,1.0
2010-06-01,472.0,376.0,94.0,11.0,10.0,1.0
2010-07-01,610.0,465.0,142.0,11.0,10.0,1.0
2010-08-01,677.0,512.0,162.0,13.0,12.0,1.0
2010-09-01,861.0,639.0,219.0,17.0,16.0,1.0
2010-10-01,912.0,674.0,235.0,18.0,17.0,1.0
2010-11-01,949.0,704.0,242.0,20.0,19.0,1.0
2010-12-01,1026.0,770.0,253.0,22.0,21.0,1.0
2011-01-01,1123.0,842.0,273.0,26.0,25.0,1.0
2011-02-01,1159.0,869.0,282.0,29.0,28.0,1.0
2011-03-01,1216.0,917.0,291.0,29.0,28.0,1.0
2011-04-01,1283.0,976.0,298.0,30.0,29.0,1.0
2011-05-01,1328.0,1013.0,306.0,30.0,29.0,1.0
2011-06-01,1368.0,1050.0,309.0,30.0,29.0,1.0
2011-07-01,1617.0,1219.0,389.0,31.0,30.0,1.0
2011-08-01,1777.0,1334.0,434.0,37.0,34.0,3.0
2011-09-01,1904.0,1438.0,457.0,47.0,44.0,3.0
2011-10-01,1955.0,1476.0,470.0,48.0,45.0,3.0
2011-11-01,1988.0,1505.0,473.0,49.0,45.0,4.0
2011-12-01,2090.0,1593.0,487.0,50.0,46.0,4.0
2012-01-01,2232.0,1719.0,501.0,54.0,49.0,5.0
2012-02-01,2264.0,1748.0,504.0,59.0,53.0,6.0
2012-03-01,2321.0,1787.0,519.0,60.0,53.0,7.0
2012-04-01,2360.0,1820.0,525.0,63.0,54.0,9.0
2012-05-01,2397.0,1854.0,528.0,75.0,63.0,11.0
2012-06-01,2446.0,1900.0,530.0,83.0,67.0,15.0
2012-07-01,2595.0,2008.0,570.0,100.0,79.0,20.0
2012-08-01,2697.0,2079.0,601.0,113.0,92.0,20.0
2012-09-01,2762.0,2135.0,609.0,216.0,173.0,42.0
2012-10-01,2791.0,2160.0,612.0,242.0,194.0,47.0
2012-11-01,2841.0,2207.0,615.0,248.0,198.0,49.0
2012-12-01,2909.0,2268.0,622.0,251.0,201.0,49.0
2013-01-01,2984.0,2333.0,632.0,278.0,223.0,54.0
