Year,Value
1891,6809
1892,7382
1893,30439
1894,9506
1895,5701
1896,3565
1897,10327
1898,15257
1899,2503
1900,3088
1901,4130
1902,3438
1903,2320
1904,1464
1905,2368
1906,3019
1907,2148
1908,10785
1909,2687
1910,9867
1911,10155
1912,40890
1913,9804
1914,9878
1915,2953
1916,2446
1917,5647
1918,5875
1919,34969
1920,26568
1921,85872
1922,19850
1923,10672
1924,8424
1925,7952
1926,162233
1927,1174
1928,1388
1929,8287
1930,4399
1931,6983
1932,6488
1933,1072
1934,959
1935,1955
1936,1829
1937,3413
1938,1334
1939,1356
1940,940
1941,1079
1942,1527
1943,1808
1944,3714
1945,2835
1946,2158
1947,2433
1948,1944
1949,1807
1950,1389
1951,1694
1952,1792
1953,2184
1954,2457
1955,3781
1956,2083
1957,8412
1958,3462
1959,5270
1960,3024
1961,3046
1962,5798
1963,1755
1964,2277
1965,2925
1966,2398
1967,2787
1968,4690
1969,6846
1970,10980
1971,13551
1972,23909
1973,7197
1974,14750
1975,6012
1976,3284
1977,10142
1978,9405
1979,29474
1980,11964
1981,4266
1982,5313
1983,3754
1984,27135
1985,6402
1986,1920
1987,3546
1988,3702
1989,4128
1990,1903
1991,761
1992,528
1993,649
1994,278
1995,415
1996,1303
1997,235
1998,282
1999,242
2000,499
2001,525
2002,1323
2003,499
2004,905
2005,157
2006,755
2007,1041
2008,759
2009,455
2010,365
2011,1390
2012,249
2013,444
2014,788
2015,170
2016,322
2017,276
2018,273
2019,234
2020,18
2021,,
2022,2518
2023,1701
