"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H6","008","ALB","Albania","070993","000","WLD","World",2022,"Gross Exports",503.668403
"H6","031","AZE","Azerbaijan","070993","000","WLD","World",2022,"Gross Exports",0.01702
"H6","036","AUS","Australia","070993","000","WLD","World",2022,"Gross Exports",2574.628911
"H6","040","AUT","Austria","070993","000","WLD","World",2022,"Gross Exports",9725.725476
"H6","048","BHR","Bahrain","070993","000","WLD","World",2022,"Gross Exports",74.392526
"H6","051","ARM","Armenia","070993","000","WLD","World",2022,"Gross Exports",38.02762
"H6","056","BEL","Belgium","070993","000","WLD","World",2022,"Gross Exports",10530.522399
"H6","068","BOL","Bolivia","070993","000","WLD","World",2022,"Gross Exports",11.8465
"H6","070","BIH","Bosnia Herzg","070993","000","WLD","World",2022,"Gross Exports",34.29626
"H6","072","BWA","Botswana","070993","000","WLD","World",2022,"Gross Exports",0.942315
"H6","076","BRA","Brazil","070993","000","WLD","World",2022,"Gross Exports",2765.34
"H6","097","EUN","European Union","070993","000","WLD","World",2022,"Gross Exports",123741.437282
"H6","100","BGR","Bulgaria","070993","000","WLD","World",2022,"Gross Exports",1487.588841
"H6","104","MMR","Myanmar","070993","000","WLD","World",2022,"Gross Exports",1516.8102
"H6","124","CAN","Canada","070993","000","WLD","World",2022,"Gross Exports",26341.96695
"H6","152","CHL","Chile","070993","000","WLD","World",2022,"Gross Exports",162.95506
"H6","156","CHN","China","070993","000","WLD","World",2022,"Gross Exports",9961.441
"H6","170","COL","Colombia","070993","000","WLD","World",2022,"Gross Exports",220.18636
"H6","188","CRI","Costa Rica","070993","000","WLD","World",2022,"Gross Exports",7963.97724
"H6","191","HRV","Croatia","070993","000","WLD","World",2022,"Gross Exports",658.86
"H6","196","CYP","Cyprus","070993","000","WLD","World",2022,"Gross Exports",1.529027
"H6","203","CZE","Czech Rep","070993","000","WLD","World",2022,"Gross Exports",2349.96
"H6","208","DNK","Denmark","070993","000","WLD","World",2022,"Gross Exports",448.972809
"H6","222","SLV","El Salvador","070993","000","WLD","World",2022,"Gross Exports",59.645
"H6","231","ETH","Ethiopia","070993","000","WLD","World",2022,"Gross Exports",493.172885
"H6","233","EST","Estonia","070993","000","WLD","World",2022,"Gross Exports",110.3946
"H6","242","FJI","Fiji","070993","000","WLD","World",2022,"Gross Exports",7.864516
"H6","246","FIN","Finland","070993","000","WLD","World",2022,"Gross Exports",44.041653
"H6","251","FRA","France+Monac","070993","000","WLD","World",2022,"Gross Exports",40635.814525
"H6","276","DEU","Germany","070993","000","WLD","World",2022,"Gross Exports",9952.729063
"H6","300","GRC","Greece","070993","000","WLD","World",2022,"Gross Exports",1571.221216
"H6","320","GTM","Guatemala","070993","000","WLD","World",2022,"Gross Exports",1527.537
"H6","344","HKG","Hong Kong","070993","000","WLD","World",2022,"Gross Exports",91.264197
"H6","348","HUN","Hungary","070993","000","WLD","World",2022,"Gross Exports",1249.65
"H6","352","ISL","Iceland","070993","000","WLD","World",2022,"Gross Exports",0.285844
"H6","360","IDN","Indonesia","070993","000","WLD","World",2022,"Gross Exports",215.773
"H6","372","IRL","Ireland","070993","000","WLD","World",2022,"Gross Exports",238.612395
"H6","376","ISR","Israel","070993","000","WLD","World",2022,"Gross Exports",355
"H6","380","ITA","Italy","070993","000","WLD","World",2022,"Gross Exports",54594.059413
"H6","388","JAM","Jamaica","070993","000","WLD","World",2022,"Gross Exports",388.56778
